isin_code, comp_name, buy_qty, sale_qty, buy_price, sale_price, last_txn_type, last_txn_date
INE001A01036,Housing development finance co,8,0,10979,0,Buy,06-Dec-2017
INE001B01026,Krbl ,5,0,1957,0,Buy,03-Jul-2018
INE002A01018,Reliance industries,22,7,12953,6083,Buy,27-Nov-2017
INE003A01024,Siemens ,4,2,3415,624,Buy,02-Jan-2018
INE007A01025,Crisil ,2,0,3726,0,Buy,04-Apr-2018
INE008A01015,Idbi bank ,25,25,2000,2225,Sell,05-Aug-2008
INE008I01026,Cox kings ,8,0,2068,0,Buy,01-Feb-2018
INE009A01021,Infosys ,13,1,12936,2313,Buy,03-Jul-2018
INE010B01027,Cadila healthcare ,5,0,2119,0,Buy,03-Jul-2018
INE010V01017,L&t technologies ,1,0,1304,0,Buy,28-May-2018
INE012A01025,Acc ,15,13,12886,8954,Buy,01-Nov-2017
INE016A01026,Dabur ,7,0,2179,0,Buy,02-Jan-2018
INE018A01030,Larsen toubro ,8,1,8387,1492,Buy,04-Apr-2018
INE019A01038,Jsw steel ,10,0,2205,0,Buy,06-Dec-2017
INE020B01018,Rural electrification corporat,77,65,8973,4355,Buy,01-Nov-2017
INE021A01026,Asian paints ,8,0,8218,0,Buy,06-Dec-2017
INE022I01019,Asian granito ,2,0,1064,0,Buy,02-Feb-2018
INE028A01039,Bank of baroda,15,15,4010,4446,Sell,11-Nov-2008
INE029A01011,Bharat petroleum corpn ,21,16,7008,5458,Buy,02-Jan-2018
INE030A01027,Hindustan unilever ,23,16,9354,6961,Buy,04-Apr-2018
INE031A01017,Housing urban dev co hudco,32,0,2156,0,Buy,03-Jul-2018
INE034A01011,Arvind ,6,0,2406,0,Buy,03-Jul-2018
INE036A01016,Reliance infrastructure ,1,1,633,606,Sell,11-Nov-2008
INE038A01020,Hindalco industries ,30,16,4601,1792,Buy,03-Jul-2018
INE040A01026,Hdfc bank ,24,6,19401,3942,Buy,14-Mar-2017
INE040H01021,Suzlon energy ,36,36,2596,1076,Sell,01-Jan-2013
INE044A01036,Sun pharmaceutical industries,15,0,10799,0,Buy,10-Mar-2017
INE047A01021,Grasim industries ,2,1,2797,1050,Buy,16-Oct-2017
INE053A01029,Indian hotels co ,106,50,12365,2400,Buy,06-Dec-2017
INE054A01027,Vip industries ,9,0,2232,0,Buy,02-Jan-2018
