screener_name, isin_name
Adani enterp., Adani enterprises
Aditya Bir. Fas., ABFRL
Asian Granito, ASISANTILES
Bayer Crop Sci., Bayer
Central Dep. Ser, CDSL
Cholaman.Inv.&Fn, CHOLAINV
Crompton Gr. Con, Crompton greaves
Dewan Hsg. Fin., DHFL
Dr Reddy's Labs, Dr Reddy
GlaxoSmith C H L, GSKCONS
Glaxosmi. Pharma, GLAXO
Godrej Inds., Godrej Industries
HDFC Life Insur., HDFCLIFE 
Heidelberg Cem., HEIDELBERG 
Hind.Aeronautics, HAL
Hind. Unilever, Hindustan Unilever
Huhtamaki PPL, Huhtamaki
H P C L, HINDPETRO
ICICI pru life, ICICI pru
Indraprastha gas, IGL
I O C L, Indian Oil
Johnson Con. Hit, Johnson Controls
Kotak Mah. Bank, Kotak Mahindra
L&T Fin.Holdings, L&T Finance
L & T Infotech, LTI
Multi Comm. Exc., MCX
Mahindra Logis., Mahindra Logistics
M & M, Mahindra & mahindra
M & M Fin. Serv., Mahindra & Mahindra Financial
Natl. Aluminium, National Aluminium
New India Assura, NIACL
Power Fin.Corpn., Power Finance
Power Grid Corpn, Power Grid
P I Inds., Pi Industries 
P & G Hygiene, PGHH
REC Ltd, RECLTD
Rural Elec.Corp., RECLTD
Sh.Renuka Sugar, Shree renuka sugars
St Bk of India, SBI
Talwal.Better, TALWALKARS
Talwalkars Heal., TALWGYM
VST Till. Tract., VSTTILLERS
Wonderla holiday, Wonderla
Westlife develop., Westlife
Vodafone idea, IDEA
