tock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
UNIBR,UNITED BREWERIES LTD,INE686F01025,3,1069.37,1352.80,- 0.69,3208.11,4058.40,0.00,850.29,26.50,
UNISPI,UNITED SPIRITS LIMITED,INE854D01024,27,507.45,618.05,- 0.48,13701.15,16687.35,(395.31),2986.20,21.80,
AMARAJ,AMARA RAJA BATTERIES LTD,INE885A01032,3,817.16,733.95,- 0.66,2451.48,2201.85,0.00,-249.63,(10.18),
APOTYR,APOLLO TYRES LTD,INE438A01022,9,258.84,233.75,- 0.30,2329.56,2103.75,0.00,-225.81,(9.69),
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,12,287.68,256.95,- 2.43,3452.16,3083.40,(1346.15),-368.76,(10.68),
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,9,116.96,99.55,- 2.93,1052.64,895.95,0.00,-156.69,(14.89),
BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,2,2837.95,2689.85,- 1.28,5675.90,5379.70,0.00,-296.20,(5.22),
BAJHOL,BAJAJ HOLDINGS & INVESTMENT LI,INE118A01012,1,3034.71,2937.15,- 0.65,3034.71,2937.15,0.00,-97.56,(3.21),
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,3,904.07,914.30,- 1.57,2712.21,2742.90,0.00,30.69,1.13,
CEAT,CEAT LIMITED,INE482A01020,3,1445.64,1288.55,- 0.38,4336.92,3865.65,0.00,-471.27,(10.87),
ENDTEC,ENDURANCE TECHNOLOGIES LIMITED,INE913H01037,1,1510.35,1240.25,- 1.73,1510.35,1240.25,0.00,-270.10,(17.88),
EXIIND,EXIDE INDUSTRIES LTD,INE302A01020,9,243.47,261.90,- 2.17,2191.23,2357.10,0.00,165.87,7.57,
FAGBEA,SCHAEFFLER INDIA LIMITED,INE513A01014,1,5587.21,5700.00,+ 0.95,5587.21,5700.00,0.00,112.79,2.02,
GOOIND,GOODYEAR INDIA LTD,INE533A01012,1,951.62,933.75,- 0.33,951.62,933.75,0.00,-17.87,(1.88),
HERHON,HERO MOTOCORP LIMITED,INE158A01026,2,3661.38,3049.85,- 2.52,7322.76,6099.70,(191.79),-1223.06,(16.70),
JKTYRE,JK TYRE AND INDUSTRIES LIMITED,INE573A01042,14,175.79,104.10,+ 0.53,2461.06,1457.40,0.00,-1003.66,(40.78),
MAHCIE,MAHINDRA CIE AUTOMOTIVE LTD,INE536H01010,4,243.74,248.50,- 2.95,974.96,994.00,0.00,19.04,1.95,
MAHMAH,MAHINDRA & MAHINDRA LIMITED,INE101A01026,6,715.01,742.45,- 4.03,4290.06,4454.70,(2035.36),164.64,3.84,
MARUTI,MARUTI SUZUKI INDIA LTD,INE585B01010,2,7563.02,7310.00,- 2.24,15126.04,14620.00,(4371.96),-506.04,(3.35),
MOTSUM,MOTHERSON SUMI SYSTEMS LIMITED,INE775A01035,15,204.72,163.45,- 1.30,3070.80,2451.75,0.00,-619.05,(20.16),
