Sr. No.,Company name,ISIN,BSE Symbol,BSE avg,NSE Symbol,NSE avg,MSE Symbol,MSE,Avg,"Categorization",,
1,TATA CONSULTANCY SERVICES LTD.,INE467B01029,TCS," 609,958.72 ",TCS," 609,940.04 ",,," 609,949.38 ", Large Cap ,,
2,RELIANCE INDUSTRIES LTD,INE002A01018,RELIANCE," 595,735.64 ",RELIANCE," 612,025.23 ",,," 603,880.43 ", Large Cap ,,
3,HDFC BANK LTD.,INE040A01026,HDFCBANK," 505,304.99 ",HDFCBANK," 504,394.51 ",,," 504,849.75 ", Large Cap ,,
4,ITC LTD,INE154A01025,ITC," 328,382.63 ",ITC," 328,392.83 ",,," 328,387.73 ", Large Cap ,,
5,"HINDUSTAN UNILEVER LTD.,",INE030A01027,HINDUNILVR," 310,485.75 ",HINDUNILVR," 310,460.99 ",,," 310,473.37 ", Large Cap ,,
6,HOUSING DEVELOPMENT FINANCE CORP.LT,INE001A01036,HDFC," 303,634.12 ",HDFC," 301,090.03 ",,," 302,362.07 ", Large Cap ,,
7,MARUTI SUZUKI INDIA  LTD.,INE585B01010,MARUTI," 270,749.89 ",MARUTI," 270,687.97 ",,," 270,718.93 ", Large Cap ,,
8,INFOSYS LTD,INE009A01021,INFY," 254,667.88 ",INFY," 260,910.63 ",,," 257,789.25 ", Large Cap ,,
9,OIL AND NATURAL GAS CORPORATION LTD,INE213A01029,ONGC," 234,422.84 ",ONGC," 234,525.82 ",,," 234,474.33 ", Large Cap ,,
10,"STATE BANK OF INDIA,",INE062A01020,SBIN," 236,152.86 ",SBIN," 232,532.14 ",,," 234,342.50 ", Large Cap ,,
11,KOTAK MAHINDRA BANK LTD.,INE237A01028,KOTAKBANK," 220,022.52 ",KOTAKBANK," 219,989.09 ",,," 220,005.81 ", Large Cap ,,
12,ICICI BANK LTD.,INE090A01021,ICICIBANK," 194,471.45 ",ICICIBANK," 194,441.95 ",,," 194,456.70 ", Large Cap ,,
13,LARSEN & TOUBRO LIMITED,INE018A01030,LT," 187,298.65 ",LT," 187,323.60 ",,," 187,311.13 ", Large Cap ,,
14,COAL INDIA LIMITED,INE522F01014,COALINDIA," 177,645.79 ",COALINDIA," 177,696.35 ",,," 177,671.07 ", Large Cap ,,
15,INDIAN OIL CORPORATION LTD.,INE242A01010,IOC," 173,533.79 ",IOC," 173,441.57 ",,," 173,487.68 ", Large Cap ,,
16,BHARTI AIRTEL  LTD.,INE397D01024,BHARTIARTL," 165,749.94 ",BHARTIARTL," 165,857.93 ",,," 165,803.94 ", Large Cap ,,
17,NTPC LIMITED,INE733E01010,NTPC," 138,018.43 ",NTPC," 138,134.80 ",,," 138,076.62 ", Large Cap ,,
18,AXIS BANK LTD.,INE238A01034,AXISBANK," 138,216.62 ",AXISBANK," 137,494.98 ",,," 137,855.80 ", Large Cap ,,
19,HCL TECHNOLOGIES LTD,INE860A01027,HCLTECH," 131,813.99 ",HCLTECH," 131,833.29 ",,," 131,823.64 ", Large Cap ,,
20,"WIPRO  LTD.,",INE075A01022,WIPRO," 129,267.03 ",WIPRO," 130,179.93 ",,," 129,723.48 ", Large Cap ,,
21,"HINDUSTAN ZINC LTD.,",INE267A01025,HINDZINC," 129,339.23 ",HINDZINC," 129,332.24 ",,," 129,335.74 ", Large Cap ,,
22,SUN PHARMACEUTICAL INDUSTRIES LTD.,INE044A01036,SUNPHARMA," 127,707.90 ",SUNPHARMA," 127,736.11 ",,," 127,722.01 ", Large Cap ,,
23,ASIAN PAINTS LTD.,INE021A01026,ASIANPAINT," 114,178.81 ",ASIANPAINT," 114,193.70 ",,," 114,186.25 ", Large Cap ,,
24,TATA MOTORS LTD.,INE155A01022,TATAMOTORS," 110,885.44 ",TATAMOTORS," 110,876.71 ",,," 110,881.07 ", Large Cap ,,
25,ULTRATECH CEMENT LTD,INE481G01011,ULTRACEMCO," 110,732.80 ",ULTRACEMCO," 110,785.11 ",,," 110,758.96 ", Large Cap ,,
26,VEDANTA LIMITED,INE205A01025,VEDL," 109,172.66 ",VEDL," 109,201.12 ",,," 109,186.89 ", Large Cap ,,
27,BAJAJ FINANCE LIMITED,INE296A01024,BAJFINANCE," 108,144.99 ",BAJFINANCE," 108,167.44 ",,," 108,156.21 ", Large Cap ,,
28,INDUSIND BANK LTD.,INE095A01012,INDUSINDBK," 108,093.33 ",INDUSINDBK," 108,054.72 ",,," 108,074.03 ", Large Cap ,,
29,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID," 104,402.49 ",POWERGRID," 104,353.55 ",,," 104,378.02 ", Large Cap ,,
30,MAHINDRA & MAHINDRA LTD.,INE101A01026,M&M," 99,787.71 ",M&M," 99,812.42 ",,," 99,800.07 ", Large Cap ,,
31,HDFC STANDARD LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE," 93,953.30 ",HDFCLIFE," 93,934.65 ",,," 93,943.97 ", Large Cap ,,
32,"BHARAT PETROLEUM CORPN. LTD.,",INE029A01011,BPCL," 93,552.26 ",BPCL," 93,544.21 ",,," 93,548.24 ", Large Cap ,,
33,BAJAJ AUTO LIMITED,INE917I01010,BAJAJ-AUTO," 85,672.65 ",BAJAJ-AUTO," 85,678.74 ",,," 85,675.69 ", Large Cap ,,
34,BAJAJ FINSERV LIMITED,INE918I01018,BAJAJFINSV," 85,314.91 ",BAJAJFINSV," 85,328.30 ",,," 85,321.61 ", Large Cap ,,
35,AVENUE SUPERMARTS LIMITED,INE192R01011,DMART," 85,031.23 ",DMART," 85,067.45 ",,," 85,049.34 ", Large Cap ,,
36,NESTLE INDIA LTD.,INE239A01016,NESTLEIND," 82,051.80 ",,,,," 82,051.80 ", Large Cap ,,
37,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,INE742F01042,ADANIPORTS," 81,478.67 ",ADANIPORTS," 81,527.86 ",,," 81,503.26 ", Large Cap ,,
38,TITAN COMPANY LIMITED,INE280A01028,TITAN," 79,394.22 ",TITAN," 79,395.86 ",,," 79,395.04 ", Large Cap ,,
39,EICHER MOTORS LTD.,INE066A01013,EICHERMOT," 78,970.15 ",EICHERMOT," 78,989.22 ",,," 78,979.68 ", Large Cap ,,
40,YES BANK LTD.,INE528G01027,YESBANK," 75,889.94 ",YESBANK," 75,831.49 ",,," 75,860.71 ", Large Cap ,,
41,JSW STEEL LIMITED,INE019A01038,JSWSTEEL," 74,553.90 ",JSWSTEEL," 74,579.24 ",,," 74,566.57 ", Large Cap ,,
42,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,GODREJCP," 73,967.17 ",GODREJCP," 74,004.06 ",,," 73,985.62 ", Large Cap ,,
43,HERO MOTOCORP LIMITED,INE158A01026,HEROMOTOCO," 72,397.19 ",HEROMOTOCO," 72,387.68 ",,," 72,392.44 ", Large Cap ,,
