security_name, buyback_share, buyback_count
EXPLEOSOL , - , 1
METROGLOBL , - , 1
ZENIFIB , - , 1
BALRAMCHIN , - , 1
TULIVE , - , 1
GLANCE , - , 1
QUICKHEAL , - , 1
ECLERX , - , 1
JAMESWARREN , - , 1
FRONTSEC , - , 1
FDC , - , 1
GEECEE , - , 1
SOTL , - , 1
KPRMILL , - , 1
TRIVENI , - , 1
SHK , - , 1
ADANIPORTS , - , 1
WIPRO , - , 1
SASKEN , - , 1
SKPSEC , - , 1
STARCEMENT , - , 1
WELCORP , - , 1
GREAVESCOT , - , 1
ERIS , - , 1
SMARTLINK , - , 1
GANDHITUBE , - , 1
ACGL , - , 1
FRSHTRP , - , 1
NIITLTD , - , 1
