security_name, dividend_amount, dividend_count
HARITASEAT , 3.0 , 1
SBILIFE , 2.0 , 1
EIDPARRY , 1.0 , 1
GOCLCORP , 2.0 , 1
MUTHOOTFIN , 12.0 , 1
INDNIPPON , 4.0 , 1
VESUVIUS , 7.0 , 1
PAPERPROD , 3.0 , 1
KSB , 6.0 , 1
SANOFI , 66.0 , 1
ABB , 4.8 , 1
ELANTAS , 4.5 , 1
GMBREW , 3.0 , 1
IBVENTURES , 1.0 , 1
LINDEINDIA , 1.5 , 1
RNAM , 3.0 , 1
JMFINANCIL , 0.5 , 1
SUNDRMFAST , 3.1 , 1
TATACOFFEE , 1.5 , 1
GDL , 4.5 , 1
GHCL , 5.0 , 1
ITC , 5.8 , 1
APCOTEXIND , 7.5 , 1
DCBBANK , 1.0 , 1
RAYMOND , 3.0 , 1
KENNAMET , 2.0 , 1
TATAGLOBAL , 2.5 , 1
DBCORP , 8.0 , 1
UPL , 8.0 , 1
ALLSEC , 10.0 , 1
APTECHT , 3.5 , 1
CYIENT , 9.0 , 1
MRPL , 1.0 , 1
AVADHSUGAR , 3.0 , 1
MAGADHSUGAR , 2.0 , 1
PRITHVIEXCH , 0.8 , 1
VTMLTD , 0.9 , 1
YESBANK , 2.0 , 1
TATAPOWER , 1.3 , 1
HINDPETRO , 9.4 , 1
MMFL , 2.5 , 1
NAVINFLUOR , 4.0 , 1
JUMPNET , 0.0 , 1
MONSANTO , 25.0 , 1
ESSELPRO , 1.2 , 1
EXCELCROP , 6.2 , 1
INDHOTEL , 0.5 , 1
ASIANPAINT , 7.7 , 1
INFY , 10.5 , 1
KANSAINER , 2.6 , 1
TORNTPHARM , 4.0 , 1
TORNTPOWER , 5.0 , 1
VISHNU , 1.0 , 1
ASMTEC , 3.0 , 1
MASFIN , 3.6 , 1
POLYCAB , 3.0 , 1
ACGL , 12.5 , 1
CHEMFABALKA , 1.2 , 1
DEEPAKNI , 2.0 , 1
ICICIGI , 3.5 , 1
RALLIS , 2.5 , 1
SIS , 3.5 , 1
SRTRANSFIN , 7.0 , 1
BANDHANBNK , 3.0 , 1
BCPL , 0.6 , 1
GRAPHITE , 35.0 , 1
HINDUNILVR , 13.0 , 1
INDICAP , 1.0 , 1
INFLAME , 0.5 , 1
JAYAGROGN , 2.0 , 1
NILKAMAL , 9.0 , 1
SHANKARA , 1.5 , 1
VISAKAIND , 7.0 , 1
POLYCHEM , 2.5 , 1
NEULANDLAB , 1.2 , 1
DAMOINDUS , 0.8 , 1
DIL , 1.2 , 1
NUCLEUS , 9.0 , 1
ORIENTREF , 2.5 , 1
TATACHEM , 12.5 , 1
CENTENKA , 7.0 , 1
RBLBANK , 2.7 , 1
MAHSHRE , 0.5 , 1
SUPREMEIND , 9.0 , 1
KAKATCEM , 3.0 , 1
LAURUSLABS , 1.5 , 1
ALFREDHE , 2.5 , 1
AVANTEL , 2.0 , 1
AXISBANK , 1.0 , 1
HDFCAMC , 12.0 , 1
TATASTEEL , 13.0 , 1
TATASTLLP , 12.5 , 1
WELCORP , 0.5 , 1
QUICKHEAL , 2.0 , 1
SIYSIL , 2.2 , 1
ATFL , 2.5 , 1
IMFA , 5.0 , 1
JSWSTEEL , 4.1 , 1
ROLCOEN , 1.5 , 1
SUPPETRO , 2.0 , 1
TATAELXSI , 13.5 , 1
TIINDIA , 0.8 , 1
CANFINHOME , 2.0 , 1
GRUH , 2.0 , 1
ICICIPRULI , 1.6 , 1
SOUTHBANK , 0.2 , 1
BAYERCROP , 18.0 , 1
COROMANDEL , 3.5 , 1
KARURVYSYA , 0.6 , 1
LGBBROSLTD , 5.0 , 1
ORIENTPPR , 0.6 , 1
RISHIROOP , 1.2 , 1
RITES , 4.0 , 1
ULTRACEMCO , 11.5 , 1
AMARAJABAT , 5.1 , 1
ATUL , 15.0 , 1
BAJAJ-AUTO , 60.0 , 1
BAJAJFINSV , 2.5 , 1
BAJAJHLDNG , 32.5 , 1
BAJFINANCE , 6.0 , 1
ESCORTS , 2.5 , 1
GANDHITUBE , 9.0 , 1
GLAXO , 20.0 , 1
KIRLFER , 1.0 , 1
KIRLPNU , 1.5 , 1
LTI , 15.5 , 1
LTTS , 13.5 , 1
MAHSCOOTER , 33.0 , 1
MASTEK , 5.0 , 1
MPHASIS , 27.0 , 1
ORIENTELEC , 0.5 , 1
PERSISTENT , 3.0 , 1
RAJGLOWIR , 2.0 , 1
SAREGAMA , 3.0 , 1
SASKEN , 7.5 , 1
SHANTIGEAR , 1.0 , 1
SHREYAS , 1.2 , 1
SKFINDIA , 12.0 , 1
VAIBHAVGBL* , 5.0 , 1
WELSPUNIND , 0.3 , 1
WENDT , 15.0 , 1
AMJLAND , 0.3 , 1
CERA , 13.0 , 1
DCMSHRIRAM , 1.6 , 1
INDIANHUME , 3.6 , 1
ITHL , 2.5 , 1
JYOTHYLAB , 3.0 , 1
KOTAKBANK , 0.8 , 1
LAXMIMACH , 35.0 , 1
PDMJEPAPER , 0.1 , 1
DELTACORP , 0.7 , 1
DRREDDY , 20.0 , 1
GEPIL , 6.0 , 1
INDAG , 1.5 , 1
KEC , 2.7 , 1
KELENRG , 2.5 , 1
NAVNETEDUL , 1.0 , 1
NELCO , 1.5 , 1
ORIENTHOT , 0.5 , 1
PIXTRANS , 2.8 , 1
PONNIERODE , 2.0 , 1
PRAJIND , 1.6 , 1
TATAINVEST , 20.0 , 1
ZEEL , 3.5 , 1
CHEVIOT , 1.0 , 1
EVERESTIND , 7.5 , 1
GET&D , 1.8 , 1
HEROMOTOCO , 32.0 , 1
HIL , 12.5 , 1
IPRINGLTD , 1.0 , 1
MPSLTD , 25.0 , 1
ORIENTBELL , 0.5 , 1
PVR , 2.0 , 1
RML , 4.5 , 1
SAGARSOFT , 1.5 , 1
SAGCEM , 2.5 , 1
SESHAPAPER , 20.0 , 1
SYNGENE , 0.5 , 1
TAJGVK , 0.6 , 1
VGUARD , 0.8 , 1
VINATIORGA , 7.0 , 1
BALAMINES , 2.8 , 1
BIMETAL , 10.0 , 1
CREATIVE , 10.0 , 1
EDELWEISS , 0.3 , 1
EIMCOELECO , 7.0 , 1
EMPIND , 25.0 , 1
FEDERALBNK , 1.4 , 1
GRINDWELL , 6.0 , 1
KALYANIFRG , 4.0 , 1
MAHEPC , 1.0 , 1
MEGH , 0.4 , 1
ONWARDTEC , 1.5 , 1
PTL , 2.5 , 1
RBL , 9.0 , 1
SMRUTHIORG , 2.0 , 1
TEJASNET , 1.0 , 1
TIRUMALCHM , 2.0 , 1
VOLTAS , 4.0 , 1
ZYDUSWELL , 5.0 , 1
ADORWELD , 6.5 , 1
ALICON , 5.0 , 1
APLLTD , 5.5 , 1
ASTEC , 1.5 , 1
AUBANK , 0.8 , 1
BIOCON , 0.5 , 1
CEATLTD , 12.0 , 1
COSMOFILMS , 6.0 , 1
CROMPTON , 2.0 , 1
GOODRICKE , 4.0 , 1
HAVELLS , 4.5 , 1
HESTERBIO , 7.0 , 1
IFGLEXPOR , 2.5 , 1
JAMNAAUTO , 0.5 , 1
M&M , 8.5 , 1
MAHLIFE , 6.0 , 1
MENNPIS , 0.8 , 1
NIACL , 1.5 , 1
ORIENTCQ , 8.0 , 1
PEL , 28.0 , 1
PLASTIBLEN , 2.8 , 1
SOLARINDS , 7.0 , 1
STRTECH , 3.5 , 1
TASTYBIT , 2.0 , 1
TTFL , 1.0 , 1
UNICHEMLAB , 4.0 , 1
VIMTALABS , 2.0 , 1
ZUARIGLOB , 1.0 , 1
ADCINDIA , 4.0 , 1
AEGISLOG , 0.9 , 1
CENTURYTEX , 7.5 , 1
EIHAHOTELS , 4.5 , 1
GICRE , 6.8 , 1
HDFC , 17.5 , 1
KAIRA , 6.5 , 1
L&TFH , 1.0 , 1
PNBHOUSING , 9.0 , 1
SHRIRAMCIT , 16.0 , 1
TRENT , 1.3 , 1
ULTRAMAR , 4.5 , 1
VIPIND , 2.0 , 1
BATAINDIA , 6.2 , 1
BLUEDART , 12.5 , 1
CARBORUNIV , 1.2 , 1
CHOLAFIN , 0.4 , 1
CTCL , 0.2 , 1
DLF , 2.0 , 1
FLFL , 1.4 , 1
ICICIBANK , 1.0 , 1
JENBURPH , 10.2 , 1
JMCPROJECT , 0.7 , 1
KALPATPOWR , 3.0 , 1
NATPEROX , 65.0 , 1
NOCIL , 2.5 , 1
RADHIKAJWE , 0.5 , 1
REDINGTON , 3.3 , 1
RPGLIFE , 2.4 , 1
SHOPERSTOP , 0.8 , 1
SOLIMAC , 1.1 , 1
WSTCSTPAPR , 5.0 , 1
APOLLOTYRE , 3.2 , 1
ASHOKLEY , 3.1 , 1
DIXON , 2.0 , 1
GEOJITFSL , 1.0 , 1
HIKAL , 0.6 , 1
HINDCOPPER , 0.5 , 1
JKCEMENT , 10.0 , 1
MAHLOG , 1.8 , 1
SICAGEN , 0.4 , 1
SINGER , 0.4 , 1
TCIEXP , 0.6 , 1
VICTMILL , 50.0 , 1
ADORFO , 3.5 , 1
CHOLAHLDNG , 0.7 , 1
CMIFPE , 10.0 , 1
EICHERMOT , 125.0 , 1
INDTONER , 1.5 , 1
LT , 18.0 , 1
MAGMA , 0.8 , 1
MOTILALOFS , 4.5 , 1
ORIENTCEM , 0.8 , 1
PECOS , 1.0 , 1
SOBHA , 7.0 , 1
THANGAMAYL , 5.0 , 1
UFLEX , 2.0 , 1
VMART , 1.7 , 1
WIREFABR , 0.6 , 1
AHLEAST , 2.5 , 1
ALKALI , 1.2 , 1
ASTRAL , 0.4 , 1
BAJAJELEC , 3.5 , 1
BOMDYEING , 1.5 , 1
CADILAHC , 3.5 , 1
CGCL , 0.4 , 1
CHEMBOND , 2.0 , 1
DFM , 1.2 , 1
DYNAMIND , 1.5 , 1
ELGIEQUIP , 1.3 , 1
EXIDEIND , 0.8 , 1
FINEORG , 7.0 , 1
FSC , 1.2 , 1
FSL , 2.0 , 1
GAEL , 1.0 , 1
GODREJAGRO , 4.5 , 1
GSKCONS , 105.0 , 1
INDPRUD , 25.0 , 1
