security_name, bonus_share, bonus_count
BAJAJHCARE ,  1:1 , 1
INDOUS ,  1:4 , 1
FOODSIN ,  2:1 , 1
KAPASHI ,  3:2 , 1
TTKPRESTIG ,  1:5 , 1
VITESSE ,  1:1 , 1
SYNGENE ,  1:1 , 1
BIOCON ,  1:1 , 1
BTSYN ,  4:5 , 1
RELAXO ,  1:1 , 1
AVADHSUGAR ,  1:1 , 1
GGENG ,  2:3 , 1
MAGADHSUGAR ,  4:10 , 1
OCEANIC ,  2:1 , 1
UPL ,  1:2 , 1
GAIL ,  1:1 , 1
PRITHVIEXCH ,  1:2 , 1
BHAGIL ,  1:1 , 1
CTCL ,  1:1 , 1
VBL ,  1:2 , 1
RITES ,  1:4 , 1
BOMBCYC ,  1:1 , 1
ECORECO ,  1:10 , 1
SWELECTES ,  1:2 , 1
BRIGADE ,  1:2 , 1
RAJGLOWIR ,  4:3 , 1
ASTRAL ,  1:4 , 1
ADORFO ,  1:1 , 1
AMFL ,  2:5 , 1
MODEX ,  1:1 , 1
SUPERSHAKT ,  1:1 , 1
AARTIIND ,  1:1 , 1
RADIXIND ,  1:2 , 1
