Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
531680,MAYUR,MAYUR LEATHER PRODUCTS LTD.,05 Apr 2016,Interim Dividend - Rs. - 0.5000,06 Apr 2016,-,-,29 Mar 2016,05 Apr 2016,-
517544,CENTUM,CENTUM ELECTRONICS LTD.,06 Apr 2016,Interim Dividend - Rs. - 2.0000,07 Apr 2016,-,-,30 Mar 2016,05 Apr 2016,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,06 Apr 2016,Interim Dividend - Rs. - 3.0000,07 Apr 2016,-,-,30 Mar 2016,05 Apr 2016,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,06 Apr 2016,Special Dividend - Rs. - 24.0000,07 Apr 2016,-,-,30 Mar 2016,05 Apr 2016,-
532240,INDNIPPON,INDIA NIPPON ELECTRICALS LTD.,06 Apr 2016,Interim Dividend - Rs. - 5.0000,07 Apr 2016,-,-,30 Mar 2016,05 Apr 2016,-
532400,KPIT,KPIT Technologies Limited,06 Apr 2016,Interim Dividend - Rs. - 1.1000,08 Apr 2016,-,-,31 Mar 2016,06 Apr 2016,-
500333,PIXTRANS,PIX TRANSMISSIONS LTD.,06 Apr 2016,Interim Dividend - Rs. - 1.0000,07 Apr 2016,-,-,30 Mar 2016,05 Apr 2016,-
539730,FREDUN,Fredun Pharmaceuticals Ltd,11 Apr 2016,Interim Dividend - Rs. - 0.6000,-,13 Apr 2016,15 Apr 2016,05 Apr 2016,12 Apr 2016,-
532819,MINDTREE,MINDTREE LTD.,11 Apr 2016,Interim Dividend - Rs. - 2.0000,12 Apr 2016,-,-,04 Apr 2016,11 Apr 2016,-
500089,DICIND,DIC INDIA LTD.,12 Apr 2016,Dividend - Rs. - 4.0000,-,16 Apr 2016,22 Apr 2016,06 Apr 2016,12 Apr 2016,-
500249,KSBPUMPS,KSB PUMPS LTD.,12 Apr 2016,Final Dividend - Rs. - 5.5000,-,16 Apr 2016,26 Apr 2016,06 Apr 2016,12 Apr 2016,-
