isin_code, isin_name_bse, isin_name_nse
IN9155A01020, Tata motors dvr, Tata motors dvr
INE001A01036, Housing development finance corp, Housing development finance corporation 
INE001B01026, Krbl , Krbl 
INE002A01018, Reliance industries , Reliance industries 
INE002L01015, Sjvn , Sjvn 
INE002S01010, Mahanagar gas , Mahanagar gas 
INE003A01024, Siemens , Siemens 
INE006I01046, Astral polytechnik , Astral poly technik 
INE007A01025, Crisil , Crisil 
INE008A01015, Idbi bank , Idbi bank 
INE008I01026, Cox kings , Cox kings 
INE009A01021, Infosys , Infosys 
INE010A01011, Prism johnson , Prism johnson 
INE010B01027, Cadila healthcare , Cadila healthcare 
INE010J01012, Tejas networks , -
INE010V01017, L&t technology services , L&t technology services 
INE012A01025, Acc , Acc 
INE013A01015, Reliance capital , Reliance capital 
INE016A01026, Dabur , Dabur 
INE017A01032, Great eastern shipping co /the, Great eastern shipping co 
INE018A01030, Larsen toubro , Larsen toubro 
INE018I01017, Mindtree , Mindtree 
INE019A01038, Jsw steel , Jsw steel 
INE019C01026, Himadri speciality chemical , Himadri speciality chemical 
INE020B01018, Rural electrification corp , Rural electrification corporation 
INE021A01026, Asian paints , Asian paints 
INE022Q01012, -, Indian energy exchange 
INE026A01025, Gujarat state fertilisers chemicals , Gujarat state fertilizers chemicals 
INE027A01015, Rashtriya chemicals fertilizers , Rashtriya chemicals fertilizers 
INE028A01039, Bank of baroda, Bank of baroda
INE029A01011, Bharat petroleum corp , Bharat petroleum corporation 
INE030A01027, Hindustan unilever , Hindustan unilever 
INE031A01017, Housing urban development corporation , Housing urban development corporation 
INE031B01049, Ajanta pharma , Ajanta pharmaceuticals 
INE032A01023, Bombay dyeing manufacturing co , Bombay dyeing manufacturing co 
INE034A01011, Arvind , Arvind 
INE036A01016, Reliance infrastructure , Reliance infrastructure 
INE036D01028, -, Karur vysya bank 
INE038A01020, Hindalco industries , Hindalco industries 
INE038F01029, Tv today network, Tv today network 
INE039A01010, Ifci , Ifci 
INE039C01032, Jamna auto industries , -
INE040A01026, Hdfc bank , Hdfc bank 
INE040H01021, Suzlon energy , Suzlon energy 
INE042A01014, Escorts , Escorts 
INE043D01016, Idfc , Idfc 
INE044A01036, Sun pharmaceutical industries , Sun pharmaceutical industries 
INE047A01021, Grasim industries , Grasim industries 
INE048G01026, Navin fluorine international , Navin fluorine international 
INE049A01027, Himatsingka seide, Himatsingka seide 
INE049B01025, Wockhardt , Wockhardt 
INE050A01025, Bombay burmah trading corp , Bombay burmah trading corporation 
INE051B01021, Vakrangee , Vakrangee 
INE053A01029, Indian hotels co , Indian hotels co 
INE054A01027, Vip industries , Vip industries 
INE055A01016, Century textile industries , Century textile industries 
INE056C01010, Tata metaliks , -
INE058A01010, Sanofi , Sanofi 
INE059A01026, Cipla /, Cipla 
INE059D01020, La opala rg , -
INE060A01024, Navneet education , -
INE061F01013, Fortis healthcare , -
INE062A01020, State bank of , State bank of 
