comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_crank, sc_prank, sc_cmp, sc_iv, sc_graham
Uflex,INE516A01017,2,1,1,50,28-May-2018,73,Buy,Micro Cap,14,21,255,662,727
Vedanta,INE205A01025,5,5,0,0,25-Jan-2017,561,Buy,Large Cap,20,21,221,256,410
Nmdc,INE584A01023,5,2,3,60,01-Feb-2018,189,Buy,Large Cap,31,19,103,-90,150
Nhpc,INE848E01016,3,1,2,67,03-Oct-2017,310,Buy,Mid Cap,20,19,23,-66,42
Oil natural gas corporation,INE213A01029,5,3,2,40,06-Dec-2017,246,Buy,Large Cap,23,19,206,-495,385
Eid parry,INE126A01031,3,2,1,33,01-Feb-2018,189,Buy,Small Cap,17,19,217,345,348
Oil natural gas corporation,INE213A01029,3,3,0,0,06-Dec-2017,246,Buy,Large Cap,23,19,206,-495,385
Tata steel,INE081A01012,5,6,-1,-20,03-Jul-2018,37,Buy,Large Cap,13,17,553,0,1357
Nlc,INE589A01014,3,1,2,67,03-Oct-2017,310,Buy,Mid Cap,21,17,75,62,132
Bse,INE118H01025,2,3,-1,-50,03-Jul-2018,37,Buy,Small Cap,21,17,861,12478,1381
Pc jeweller,INE785M01013,2,2,0,0,03-Jul-2018,37,Buy,Mid Cap,19,16,126,153,180
Ntpc,INE733E01010,10,7,3,30,06-Dec-2017,246,Buy,Large Cap,21,16,152,1540,191
Shipping corporation of,INE109A01011,3,2,1,33,04-Apr-2018,127,Buy,Small Cap,10,16,60,0,137
Balrampur chini mills,INE119A01028,2,1,1,50,13-Nov-2017,269,Buy,Micro Cap,16,16,63,7,130
Tata power co,INE245A01021,2,2,0,0,04-Apr-2018,127,Buy,Mid Cap,16,15,71,0,109
Tata coffee,INE493A01027,5,2,3,60,01-Nov-2017,281,Buy,Micro Cap,20,15,118,190,122
Tata motors dvr,IN9155A01020,5,0,5,100,,0,,-,10,14,262,-356,368
Tata chemicals,INE092A01019,2,3,-1,-50,04-Apr-2018,127,Buy,Mid Cap,22,14,693,564,1020
Housing urban development corporation,INE031A01017,2,2,0,0,03-Jul-2018,37,Buy,Mid Cap,14,13,55,161,67
Jain irrigation systems,INE175A01038,2,1,1,50,29-Nov-2017,253,Buy,Small Cap,16,12,76,-370,92
Bharat petroleum corporation,INE029A01011,4,2,2,50,02-Jan-2018,219,Buy,Large Cap,22,12,372,139,377
Muthoot finance,INE414G01012,5,2,3,60,01-Nov-2017,281,Buy,Mid Cap,19,12,409,1139,446
Lic housing finance,INE115A01026,5,2,3,60,01-Nov-2017,281,Buy,Mid Cap,15,11,476,472,479
Dlf,INE271C01023,5,9,-4,-80,02-Jan-2018,219,Buy,Large Cap,22,11,181,-28275,303
Thomas cook,INE332A01027,2,2,0,0,01-Feb-2018,189,Buy,Small Cap,23,11,279,-8999,876
Hindustan zinc,INE267A01025,5,2,3,60,02-Jan-2018,219,Buy,Large Cap,30,11,274,746,216
Cox kings,INE008I01026,2,2,0,0,01-Feb-2018,189,Buy,Small Cap,14,11,208,134,312
Idea cellular,INE669E01016,5,3,2,40,28-Jun-2018,42,Buy,Large Cap,6,11,55,0,0
Allcargo logistics,INE418H01029,2,1,1,50,02-Feb-2018,188,Buy,Small Cap,26,10,117,-461,112
Reliance industries,INE002A01018,20,7,13,65,27-Nov-2017,255,Buy,Large Cap,14,9,965,1208,770
Future consumer,INE220J01025,2,1,1,50,02-Feb-2018,188,Buy,Mid Cap,13,8,49,0,0
Gail,INE129A01019,4,2,2,50,10-Apr-2018,121,Buy,Large Cap,29,8,346,23156,296
Info edge,INE663F01024,5,3,2,40,03-Jul-2018,37,Buy,Mid Cap,22,8,1230,0,0
Engineers,INE510A01028,5,2,3,60,03-Jul-2018,37,Buy,Mid Cap,31,8,123,-166,82
Shoppers stop,INE498B01024,2,2,0,0,01-Feb-2018,189,Buy,Small Cap,12,8,547,0,0
Ambuja cements,INE079A01024,3,2,1,33,02-Jan-2018,219,Buy,Large Cap,28,8,207,-4311,158
Wipro,INE075A01022,5,6,-1,-20,21-Jun-2017,414,Buy,Large Cap,27,8,264,701,205
Bharat heavy electricals,INE257A01026,5,3,2,40,04-Apr-2018,127,Buy,Large Cap,19,8,68,-26,67
Fortis healthcare,INE061F01013,2,2,0,0,04-Apr-2018,127,Buy,Small Cap,1,8,139,-114,0
Bharat electronics,INE263A01024,5,7,-2,-40,04-Apr-2018,127,Buy,Large Cap,27,8,102,123,69
General insurance corporation of,INE481Y01014,10,2,8,80,25-Oct-2017,288,Buy,Large Cap,15,8,760,0,700
Hero motocorp,INE158A01026,5,7,-2,-40,03-Jul-2018,37,Buy,Large Cap,29,7,3506,4181,1567
Rajesh exports,INE343B01030,2,4,-2,-100,04-Apr-2018,127,Buy,Mid Cap,18,7,575,0,475
Ceat,INE482A01020,2,3,-1,-50,03-Jul-2018,37,Buy,Small Cap,21,7,1269,1315,913
Shriram transport finance co,INE721A01013,3,1,2,67,03-Oct-2017,310,Buy,Large Cap,17,7,1152,84289,925
Manappuram finance,INE522D01027,2,1,1,50,18-Apr-2018,113,Buy,Small Cap,18,7,99,15,93
Coal,INE522F01014,5,10,-5,-100,27-Nov-2017,255,Buy,Large Cap,30,6,270,-485,114
Sobha,INE671H01015,2,2,0,0,03-Jul-2018,37,Buy,Small Cap,16,6,477,-1580,394
Bharti infratel,INE121J01017,0,1,-1,0,03-Oct-2017,310,Buy,Large Cap,27,6,303,260,172
Hindalco industries,INE038A01020,5,3,2,40,03-Jul-2018,37,Buy,Large Cap,17,6,220,-269,177
Icici bank,INE090A01021,5,5,0,0,06-Dec-2017,246,Buy,Large Cap,16,6,272,735,210
Jk tyre industries,INE573A01042,2,2,0,0,01-Feb-2018,189,Buy,Small Cap,12,6,122,0,75
Grasim industries,INE047A01021,3,2,1,33,16-Oct-2017,297,Buy,Large Cap,14,6,969,4535,822
Bajaj auto,INE917I01010,5,6,-1,-20,04-Apr-2018,127,Buy,Large Cap,30,5,2967,7289,1522
Godfrey phillips,INE260B01028,2,1,1,50,29-Jun-2018,41,Buy,Small Cap,29,5,719,-1580,484
Infosys,INE009A01021,10,11,-1,-10,03-Jul-2018,37,Buy,Large Cap,28,5,1284,1900,701
Piramal enterprises,INE140A01024,5,5,0,0,04-Apr-2018,127,Buy,Large Cap,19,5,2453,1759,2658
Jsw steel,INE019A01038,5,2,3,60,06-Dec-2017,246,Buy,Large Cap,17,5,310,183,260
Hcl technologies,INE860A01027,5,2,3,60,03-Jul-2018,37,Buy,Large Cap,31,5,931,518,649
Kaveri seed company,INE455I01029,3,1,2,67,02-Feb-2018,188,Buy,Small Cap,24,5,552,571,366
Apollo tyres,INE438A01022,2,2,0,0,01-Feb-2018,189,Buy,Mid Cap,18,5,252,195,200
Petronet lng,INE347G01014,4,2,2,50,01-Feb-2018,189,Buy,Large Cap,27,4,219,374,145
Dish tv,INE836F01026,5,2,3,60,01-Feb-2018,189,Buy,Mid Cap,6,4,72,0,0
Rallis,INE613A01020,2,2,0,0,04-Apr-2018,127,Buy,Small Cap,30,4,185,372,109
Castrol,INE172A01027,2,2,0,0,04-Jan-2018,217,Buy,Mid Cap,31,4,161,304,44
Coromandel international,INE169A01031,2,2,0,0,01-Nov-2017,281,Buy,Mid Cap,24,4,433,-933,249
Larsen toubro,INE018A01030,20,7,13,65,04-Apr-2018,127,Buy,Large Cap,20,4,1254,4079,731
Hsil,INE415A01038,2,2,0,0,04-Apr-2018,127,Buy,Micro Cap,19,4,329,-6537,222
Vst industries,INE710A01016,2,3,-1,-50,29-Jun-2018,41,Buy,Small Cap,28,4,2890,37286,1109
Acc,INE012A01025,3,4,-1,-33,01-Nov-2017,281,Buy,Mid Cap,29,4,1390,-4021,769
Tata global beverages,INE192A01025,5,2,3,60,01-Nov-2017,281,Buy,Mid Cap,27,4,271,904,148
Brigade enterprises,INE791I01019,2,2,0,0,03-Jul-2018,37,Buy,Small Cap,18,3,205,147,173
Essel propack,INE255A01020,2,1,1,50,26-Jun-2018,44,Buy,Small Cap,29,3,109,97,70
Care ratings,INE752H01013,2,3,-1,-50,01-Feb-2018,189,Buy,Small Cap,27,3,1241,2520,525
Tech mahindra,INE669C01036,5,3,2,40,01-Feb-2018,189,Buy,Large Cap,30,3,647,529,423
