,Comp #,EQ Collection ,SURI 250,Prepared By : @surinder432,Weight Multiplier,1000,Last Updated : 8-Oct-2019
,267,WEIGHT_TYPE,Platinum,Diamond,Golden,Ruby,Silver
,,WEIGHT_UNITS,20,10,5,2,1
,Exp Value,1040000,200000,400000,200000,160000,80000
,Ideal #,250,10,40,40,80,80
,Actual #,268,13,35,57,86,77
,Cur Value,1144000,260000,350000,285000,172000,77000
,,,,,,,
Category,NUM_ORGS,Sub-Category,Platinum,Diamond,Golden,Ruby,Silver
Alochol,1,Beer,,,UBL,,
,1,Hard Drink,,,MCDOWELL-N,,
Auto,2,Batteries,,,,EXIDEIND,AMARAJABAT
,4,Tyres - 1,,APOLLOTYRE,MRF,CEATLTD,BALKRISIND
,2,Tyres - 2,,,,TVSSRICHAK,GOODYEAR
,4,2 W (Scooter & Motorcycle) & 3W,HEROMOTOCO,BAJAJ-AUTO,TVSMOTOR,EICHERMOT,
,4,Auto Ancilliary,,BOSCHLTD,MOTHERSUMI,ENDURANCE,WABCOINDIA
,4,"4W+ (PV & CV) : Car, Truck, Tractor, Bus ",MARUTI,M&M,TATAMOTORS,ASHOKLEY,
,2,Bearing,,,,SKFINDIA,SCHAEFFLER
,1,Bicycle,,,,TIINDIA,
,1,Tractor Farm Equipment,,,,,VSTTILLERS
Casting & Forging & Fasteners,1,Casting & Forging,,,,,MAHINDCIE
Travel,1,Aviation,,,,INDIGO,
Bank & Finance & Insurance & Trading & Rating,5,Banks -1,SBIN,HDFCBANK,ICICIBANK,BANDHANBNK,BANKBARODA
,3,Banks -2,,,KOTAKBANK,AXISBANK,INDUSINDBK
,2,Finance - auto,,,BAJFINANCE,,SRTRANSFIN
,5,Finance – Housing,HDFC,LICHSGFIN,IBULHSGFIN,HUDCO,DHFL
,2,Finance – Power,,,,PFC,RECLTD
,4,Finance - mix of all finance types,,L&TFH,M&MFIN,CHOLAFIN,IIFL
,2,Finance – Gold,,,,MUTHOOTFIN,MANAPPURAM
,3,Finance & Insurance - Both,,,BAJAJFINSV,CHOLAHLDNG,SUNDARMHLD
,2,Insurance – General,,ICICIGI,NIACL,,
,4,Insurance – Life,,SBILIFE,HDFCLIFE,ICICIPRULI,MFSL
,1,Re-Insurance (Insurance of Insurance),,GICRE,,,
,2,Stock Exchange,,,,BSE,MCX
,1,Stock Broker & Brokerage,,,,,ISEC
,1,Asset Management,,,,,HDFCAMC
,1,Depository Service,,,,CDSL,
,3,Rating agencies (Credit),,CRISIL,CARERATING,ICRA,
Real Estate,5,Cements - 1,AMBUJACEM,ACC,ULTRACEMCO,SHREECEM,HEIDELBERG
,3,Developers – Pvt,,,DLF,PRESTIGE,BRIGADE
,3,Developers – Pvt -2,,,GODREJPROP,PURVA,SOBHA
,3,Ceramics (Tiles) & Granite,,,KAJARIACER,SOMANYCERA,ASIANTILES
,2,Sanitaryware,,,,CERA,HSIL
,3,Paints,ASIANPAINT,KANSAINER,BERGEPAINT,,
,3,Plyboard & Laminates,,,CENTURYPLY,GREENPLY,GREENLAM
,1,Home furnishing (mattress),,,,SFL,
Chemicals & Agro-chemicals,3,Agro Chemicals - Domestic,,,COROMANDEL,RALLIS,PIIND
,3,Agro Chemicals - MNC,,UPL,BAYERCROP,BASF,
,1,Salt,,,,,TATACHEM
,1,Fevicol (Adhesive),,PIDILITIND,,,
,1,Seed ,,,,KSCL,
Infrastructure,4,General - Domestic,LT,,NBCC,NCC,ENGINERSIN
,4,General – MNC,,ABB,HONAUT,SIEMENS,CUMMINSIND
Consumer Goods,1,Refrigerator,…,,,,
,1,Fan,,,,,CROMPTON
,4,AC,,HAVELLS,VOLTAS,BLUESTARCO,JCHAC
,2,Washing Machine,,,,WHIRLPOOL,IFBIND
,1,Kitchen Appliances,,,,,TTKPRESTIG
,1,Stabilizer & UPS,,,,,VGUARD
Education,1,K-12 and PreSchool,,,,,ZEELEARN
Tobacco,3,Cigarette,ITC,,,VSTIND,GODFRYPHLP
Gold Jewellary,3,Jewellery,,TITAN,,RAJESHEXPO,PCJEWELLER
Hospitality,4,Hotels & Resorts,,INDHOTEL,MHRIL,EIHOTEL,LEMONTREE
,1,Pizza,,,,,JUBLFOOD
,1,Burger / Sandwitch,,,,,WESTLIFE
,1,Hangout place,,,,,COFFEEDAY
,2,Tours & Travels,,,,COX&KINGS,THOMASCOOK
,1,Amusement Park,,,,WONDERLA,
,2,"Temporary Staffing, Facility Management, Security Services, HR",,,QUESS,SIS,
,1,Gaming Casino,,,,DELTACORP,
Media & Entertainment,2,Movies (Theater Screens),,,,PVR,INOXLEISUR
,1,DTH - Rural,,,,DISHTV,
,1,TV (General Entertainment),,,,ZEEL,
,1,Radio & Events,,,,,ENIL
,0,"Media  (General, News, Business, Events)",,,,,
,0,TV (News & Business),,,,,
