Scrip Code,COMPANY,ISIN No.,Close Price
523395,3M India Ltd,INE470A01017,19662.05
512161,8K Miles Software Services Ltd,INE650K01021,531.55
524208,Aarti Industries Ltd.,INE769A01020,1257.3
523204,Aban Offshore Ltd,INE421A01028,127.9
500002,ABB India Ltd,INE117A01022,1259
500488,Abbott India Ltd,INE358A01014,6489.85
500410,ACC Ltd,INE012A01025,1307.1
532921,Adani Ports and Special Economic Zone,INE742F01042,375.45
533096,Adani Power Ltd,INE814H01011,19.15
539254,Adani Transmission Ltd,INE931S01010,144.8
535755,Aditya Birla Fashion and Retail Ltd,INE647O01011,140.15
540025,Advanced Enzyme Technologies Ltd,INE837H01020,223.05
500003,Aegis Logistics Ltd,INE208C01025,248.3
532683,AIA Engineering Ltd,INE212H01026,1569.85
532331,Ajanta Pharma Ltd,INE031B01049,1057.1
500710,Akzo Nobel India Ltd,INE133A01011,1887
533573,Alembic Pharmaceuticals Ltd,INE901L01018,506.55
539523,Alkem Laboratories Ltd,INE540L01014,1985.45
532480,Allahabad Bank,INE428A01015,46.4
532749,AllCargo Logistics Ltd,INE418H01029,114.4
500008,Amara Raja Batteries Ltd,INE885A01032,772.9
500425,Ambuja Cements Ltd,INE079A01024,205.95
532418,Andhra Bank,INE434A01013,36.8
532259,Apar Industries Ltd,INE372A01015,714.45
533758,APL Apollo Tubes Ltd,INE702C01019,1796.35
508869,Apollo Hospitals Enterprise Ltd,INE437A01024,971.5
500877,Apollo Tyres Ltd,INE438A01022,275.65
500101,Arvind Limited,INE034A01011,415.45
515030,Asahi India Glass Ltd,INE439A01020,343.45
500477,Ashok Leyland Ltd,INE208A01029,145.1
533271,Ashoka Buildcon Ltd,INE442H01029,240.4
500820,Asian Paints Ltd,INE021A01026,1285.85
532493,Astra Microwave Products Ltd.,INE386C01029,101.55
532830,Astral Polytechnik Ltd,INE006I01046,1005.3
500027,Atul Ltd.,INE100A01010,2702.6
540611,AU Small Finance Bank Ltd,INE949L01017,717.05
524804,Aurobindo Pharma Ltd,INE406A01037,609.9
512573,Avanti Feeds Ltd,INE871C01020,1865.2
540376,Avenue Supermarts Ltd,INE192R01011,1567.6
532215,Axis Bank Ltd,INE238A01034,531.75
532977,Bajaj Auto Ltd,INE917I01010,2890.2
533229,Bajaj Corp Ltd,INE933K01021,429.85
500031,Bajaj Electricals Ltd,INE193E01025,532.95
500034,Bajaj Finance Ltd,INE296A01024,2238.25
532978,Bajaj Finserv Ltd,INE918I01018,6027.6
500032,Bajaj Hindusthan Sugar Ltd,INE306A01021,7.3
500490,Bajaj Holdings and Investment Ltd,INE118A01012,2937.3
502355,Balkrishna Industries Ltd,INE787D01026,1119.25
523319,Balmer Lawrie & Co. Ltd.,INE164A01016,226.6
500038,Balrampur Chini Mills Ltd,INE119A01028,70.95
532134,Bank of Baroda,INE028A01039,135.5
532149,Bank of India,INE084A01016,102.65
532525,Bank Of Maharashtra,INE457A01014,13.72
500042,BASF India Limited,INE373A01013,1995.3
