comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
3MINDIA,-,-,-,-,-,-,-,110,-,-,-,-,110
ACC,-,-,-,-,-,-,-,11,-,-,-,-,11
ADANI ENTERPRISES,-,-,-,-,-,-,-,4,-,-,-,-,4
AEGIS LOGISTICS,-,2,-,-,-,-,-,-,-,-,-,-,2
AKZO NOBEL,-,-,-,-,-,-,-,22,-,-,-,-,22
AMARAJABAT,-,-,-,-,-,-,-,4,-,-,2,-,6
AMBUJA CEMENTS,-,-,-,-,-,-,-,8,-,-,-,-,8
APOLLO TYRES,-,-,-,-,-,-,15,-,-,-,-,-,15
APOLLOHOSP,-,-,-,-,-,-,-,-,30,-,-,-,30
ASAHI GLASS,-,-,-,-,-,-,-,4,-,-,-,-,4
ASIANPAINT,-,-,-,-,-,53,-,-,-,-,18,-,71
AUROBINDO PHARMA,-,3,-,-,-,-,-,-,-,-,3,-,6
AVANTI FEEDS,-,-,-,-,-,-,-,9,-,-,-,-,9
AXIS BANK,-,-,-,-,-,-,10,-,-,-,-,-,10
BAJAJ AUTO,-,-,-,-,-,-,55,-,-,-,-,-,55
BALKRISIND,-,3,-,-,-,-,-,2,2,-,2,-,9
BASF,-,-,-,-,-,-,-,-,-,1,-,-,1
BATA,-,-,-,-,-,-,7,-,-,-,-,-,7
BAYER,-,-,-,-,-,-,-,17,-,-,-,-,17
BEL,-,9,-,-,-,-,-,-,-,-,-,-,9
BERGER PAINTS ,-,-,-,-,-,-,-,7,-,-,-,-,7
BHARAT PETROLEUM,-,-,70,-,-,-,-,-,-,-,-,-,70
BHARTI AIRTEL,-,76,-,-,-,-,25,-,-,-,-,-,101
BHEL,-,12,-,-,-,-,-,-,-,-,-,-,12
BLUEDART,-,-,-,-,-,-,-,15,-,-,-,-,15
BRIGADE,-,-,-,-,-,-,-,-,-,10,-,-,10
BRITANNIA INDUSTRIES,-,-,-,-,-,-,-,22,-,-,-,-,22
BSE,-,5,-,-,-,-,-,-,-,-,-,-,5
CARBORUNIV,-,-,4,-,-,-,-,-,-,-,-,-,4
CARE RATINGS,-,12,-,-,-,-,-,10,6,-,-,6,34
CASTROL,-,-,-,-,-,-,-,-,9,-,-,-,9
CEATLTD,-,-,-,-,-,-,-,11,-,-,-,-,11
CENTURY PLYBOARDS,-,-,-,-,-,-,-,-,4,-,-,-,4
CERA SANITARYWARE,-,-,-,-,-,-,-,12,-,-,-,-,12
CHOLAHLDNG,-,1,-,-,-,-,-,-,-,-,-,-,1
CIPLA,-,-,-,-,-,-,-,4,-,-,-,-,4
COAL,-,-,512,-,-,-,-,-,-,-,-,-,512
COLPAL,-,-,-,-,-,-,-,-,-,-,4,4,8
CONTAINER,-,9,-,-,-,-,-,-,-,7,-,-,16
COROMANDEL,-,-,-,-,-,-,-,15,-,-,-,-,15
COX AND KINGS,-,-,-,-,-,-,-,-,-,4,-,-,4
CRISIL,-,-,-,-,-,-,-,6,-,-,6,-,12
CUMMINS,-,-,15,-,-,-,-,-,9,-,-,-,24
DABUR,-,-,-,-,-,-,-,4,-,-,5,-,9
DLF,-,-,12,-,-,-,-,-,-,12,-,-,24
EIH,-,-,-,-,-,-,-,7,-,-,-,-,7
EMAMI,-,-,-,-,-,-,-,5,-,-,-,-,5
ENGINERSIN,-,-,18,-,-,-,-,-,4,-,-,-,22
EXIDE INDUSTRIES,-,-,-,-,-,-,4,-,-,-,8,-,12
FLFL,-,-,-,-,-,-,-,-,2,-,-,-,2
GAIL,38,-,-,-,-,-,-,-,-,8,-,-,46
GILLETTE,-,-,-,-,-,-,-,-,-,-,10,-,10
GLENMARK,-,-,-,-,-,-,-,-,-,4,-,-,4
GODREJ CONSUMER PROD,-,1,-,-,-,-,-,-,-,-,1,-,2
GREENLAM INDUSTRIES,-,-,-,-,-,-,-,1,-,-,-,-,1
HCL TECHNOLOGIES,-,12,-,-,-,36,-,12,-,-,12,-,72
HDFC,-,-,28,-,-,-,105,-,-,-,-,-,133
HDFC BANK,-,-,-,-,-,-,198,-,-,-,-,-,198
HDFCLIFE,-,-,-,-,-,-,-,-,-,-,-,4,4
HERO MOTOCORP,-,55,-,-,-,-,30,-,-,-,-,-,85
HINDALCO INDUSTRIES,-,-,-,-,-,-,-,-,9,-,-,-,9
HINDUNILVR,-,-,-,-,-,-,60,-,-,-,48,-,108
HINDUSTAN PETROLEUM,-,-,87,-,-,-,-,-,2,-,-,-,89
HINDUSTAN ZINC,-,-,-,-,-,-,-,-,-,-,10,-,10
HSIL,-,-,-,-,-,-,-,12,-,-,-,-,12
HUDCO,-,-,6,-,-,-,-,-,-,-,-,-,6
IBULHSGFIN,-,14,-,-,-,-,-,-,-,-,9,-,23
ICICI BANK,-,-,-,-,-,25,-,-,-,-,-,-,25
ICICI LOMBARD,-,-,-,-,-,-,-,-,-,-,2,-,2
ICICIPRULI,-,-,-,-,-,-,-,11,-,-,20,-,31
ICRA,-,-,-,-,-,-,-,27,-,-,-,-,27
INDHOTEL,-,-,-,-,-,-,-,16,-,-,-,-,16
INDIAN OIL,-,114,-,-,-,-,-,-,3,-,-,-,117
INFY,-,-,-,-,-,162,-,-,-,-,143,-,305
INTERGLOBE AVIATION,-,-,-,-,-,-,-,-,34,-,-,-,34
ITC,-,-,-,-,-,-,162,-,-,-,-,-,162
ITDC,-,-,-,-,-,-,-,-,-,2,-,-,2
JK TYRE AND INDUSTRI,-,-,-,-,-,-,-,17,-,-,-,-,17
JSW STEEL,-,-,-,-,-,-,11,-,-,-,-,-,11
JUBLFOOD,-,-,-,-,-,-,-,-,2,-,-,-,2
KAJARIA CERAMICS,-,-,-,-,-,-,-,6,-,-,-,-,6
KANSAINER,-,-,-,-,-,9,-,-,-,-,-,-,9
KOTAK MAHINDRA BANK,-,-,-,-,-,-,1,-,-,-,-,-,1
LALPATHLAB,-,-,-,-,-,-,-,-,-,-,-,1,1
LICHSGFIN,-,-,-,-,-,-,-,12,-,-,-,-,12
LT,-,-,-,-,-,-,-,84,-,-,-,-,84
LUPIN,-,-,-,-,-,-,-,45,-,-,-,-,45
M&M,-,-,-,-,-,-,-,13,-,-,-,-,13
MARICO,-,-,18,-,-,-,-,-,-,-,7,-,25
MARUTI SUZUKI ,-,-,-,-,-,-,-,-,75,-,-,-,75
MONSANTO,-,-,-,-,-,-,-,15,-,-,-,15,30
MOTHERSUMI,-,-,-,-,-,-,-,8,153,-,-,-,161
MRF,-,3,-,-,-,-,-,-,-,-,-,-,3
MUTHOOTFIN,-,40,-,-,-,-,-,-,-,-,-,-,40
NATIONALUM,-,160,-,-,-,-,-,-,-,-,-,-,160
NAUKRI,-,3,-,-,-,-,1,-,-,-,5,-,9
NBCC,-,-,2,-,-,-,-,-,-,5,-,-,7
NCC,-,-,-,-,-,-,-,-,4,-,-,-,4
NESTLE,-,-,-,-,-,-,-,15,-,-,-,33,48
NHPC,-,-,45,-,-,-,-,-,-,-,-,-,45
NIACL,-,-,-,-,-,-,-,-,-,-,-,7,7
NILKAMAL,-,-,-,-,-,-,-,7,-,-,4,-,11
NLC,-,-,50,-,-,-,-,-,-,-,-,-,50
NMDC,-,-,-,-,-,-,-,-,-,10,-,-,10
NTPC,-,114,16,-,-,-,-,-,78,-,-,-,208
OIL,-,98,-,-,-,-,-,-,-,19,-,-,117
ONGC,-,-,56,-,-,-,-,-,-,15,57,-,128
PAGE INDUSTRIES,-,35,-,-,-,-,-,25,-,-,-,-,60
PETRONET LNG,-,-,-,-,-,-,-,-,-,13,-,-,13
PGHH,-,-,-,-,-,-,-,-,-,-,27,-,27
PIDILITIND,-,-,-,-,-,-,-,-,9,-,-,-,9
PIRAMAL ENTERPRISES,-,-,-,-,-,-,-,21,-,-,-,-,21
POWER FINANCE,-,-,30,-,-,-,-,-,-,-,102,-,132
POWERGRID,-,71,-,-,-,-,-,-,-,97,-,-,168
PRESTIGE,-,-,-,-,-,-,-,-,-,4,-,-,4
PURVA,-,-,-,-,-,-,-,-,36,-,-,-,36
PVR,-,-,-,-,-,-,-,2,-,-,-,-,2
RAJESHEXPO,-,-,-,-,-,-,-,-,-,2,-,-,2
