ABB, roce3, missing data
ADANIGAS, roce3, missing data
ASHOKLEY, pledge, 9.26
ASTRAZEN, rank, 339.0
AUROPHARMA, dp3, 6.2
AVANTIFEED, rank, 332.0
BAJFINANCE, dp3, 9.63
BDL, rank, 326.0
BHARTIARTL, roce3, 7.16
BIOCON, roce3, 11.54
BLUESTARCO, d2e, 0.4
CEATLTD, rank, 355.0
CHOLAFIN, roce3, 11.3
CIPLA, roce3, 9.38
DCMSHRIRAM, d2e, 0.46
DELTACORP, pledge, 6.08
DRREDDY, roce3, 9.9
EIHOTEL, roce3, 6.99
ENDURANCE, d2e, 0.28
GLENMARK, dp3, 6.07
GODFRYPHLP, rank, 327.0
GODREJCP, d2e, 0.47
GODREJIND, roce3, 10.11
GRASIM, roce3, 11.69
HAL, d2e, 0.39
HINDALCO, roce3, 9.64
HONAUT, dp3, 9.21
HUDCO, roe3, 10.41
ICICIBANK, roe3, 6.94
INDHOTEL, roce3, 7.06
INDIGO, d2e, 0.35
ISEC, roce3, missing data
JCHAC, rank, 334.0
LEMONTREE, rank, 311.0
MAHINDCIE, roce3, 11.64
MONSANTO, rank, 357.0
NAUKRI, roce3, 7.31
NCC, rank, 313.0
NH, rank, 364.0
NHPC, roce3, 9.84
NTPC, roce3, 8.25
OIL, roce3, 11.86
PFC, roe3, 11.92
POWERGRID, roce3, 10.79
PRESTIGE, roce3, 9.88
PVR, dp3, 7.45
RELIANCE, roce3, 11.01
SHREECEM, d2e, 0.29
SIS, dp3, 9.23
SRTRANSFIN, dp3, 9.33
TATACHEM, d2e, 0.5
TATAELXSI, rank, 314.0
TATAGLOBAL, roce3, 10.03
TATAINVEST, rank, 348.0
TATAMOTORS, roce3, 6.25
TATAPOWER, roce3, 7.33
TATASTEEL, roce3, 11.33
TIINDIA, d2e, 0.41
TITAN, d2e, 0.39
TRENT, roce3, 10.43
TVSMOTOR, d2e, 0.42
ULTRACEMCO, roce3, 11.75
WABCOINDIA, dp3, 5.94
WIPRO, dp3, 6.03
ZYDUSWELL, roce3, 11.31
