Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
540719,SBILIFE,SBI Life Insurance Company Ltd,03 Apr 2018,Interim Dividend - Rs. - 2.0000,04 Apr 2018,-,-,26 Mar 2018,03 Apr 2018,-
532683,AIAENG,AIA ENGINEERING LTD.,04 Apr 2018,Interim Dividend - Rs. - 8.0000,05 Apr 2018,-,-,27 Mar 2018,04 Apr 2018,-
500425,AMBUJACEM,AMBUJA CEMENTS LTD.,05 Apr 2018,Final Dividend - Rs. - 2.0000,-,09 Apr 2018,13 Apr 2018,28 Mar 2018,06 Apr 2018,-
506480,GOCLCORP,GOCL Corporation Ltd-$,05 Apr 2018,Interim Dividend - Rs. - 1.6000,06 Apr 2018,-,-,28 Mar 2018,05 Apr 2018,-
532906,MAANALU,MAAN ALUMINIUM LTD.,05 Apr 2018,Interim Dividend - Rs. - 1.0000,06 Apr 2018,-,-,28 Mar 2018,05 Apr 2018,-
523457,LINDEINDIA,Linde India Limited,06 Apr 2018,Dividend - Rs. - 1.0000,-,10 Apr 2018,16 Apr 2018,03 Apr 2018,09 Apr 2018,-
505790,SCHAEFFLER,Schaeffler India Ltd,09 Apr 2018,Dividend - Rs. - 17.0000,-,11 Apr 2018,16 Apr 2018,04 Apr 2018,10 Apr 2018,-
500150,FOSECOIND,FOSECO INDIA LTD.,12 Apr 2018,Final Dividend - Rs. - 12.0000,-,14 Apr 2018,24 Apr 2018,09 Apr 2018,12 Apr 2018,-
500249,KSB,KSB Ltd,12 Apr 2018,Dividend - Rs. - 6.0000,-,15 Apr 2018,25 Apr 2018,09 Apr 2018,12 Apr 2018,-
501831,COASTCORP,COASTAL CORPORATION LTD.,17 Apr 2018,Interim Dividend - Rs. - 1.5000,18 Apr 2018,-,-,11 Apr 2018,17 Apr 2018,-
536170,KUSHAL,Kushal Ltd,19 Apr 2018,Interim Dividend - Rs. - 0.0200,21 Apr 2018,-,-,16 Apr 2018,19 Apr 2018,-
511288,GRUH,GRUH FINANCE LTD.,23 Apr 2018,Dividend - Rs. - 3.3000,-,25 Apr 2018,27 Apr 2018,18 Apr 2018,24 Apr 2018,-
504959,STOVACQ,STOVEC INDUSTRIES LTD.,24 Apr 2018,Final Dividend - Rs. - 36.0000,-,26 Apr 2018,02 May 2018,19 Apr 2018,25 Apr 2018,-
500870,CASTROLIND,CASTROL INDIA LTD.,25 Apr 2018,Final Dividend - Rs. - 2.5000,-,27 Apr 2018,03 May 2018,20 Apr 2018,25 Apr 2018,-
532819,MINDTREE,MINDTREE LTD.,25 Apr 2018,Interim Dividend - Rs. - 2.0000,26 Apr 2018,-,-,19 Apr 2018,25 Apr 2018,-
509820,PAPERPROD,Huhtamaki PPL Limited,25 Apr 2018,Dividend - Rs. - 3.0000,-,27 Apr 2018,08 May 2018,20 Apr 2018,25 Apr 2018,-
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,26 Apr 2018,Dividend - Rs. - 4.5000,-,02 May 2018,10 May 2018,24 Apr 2018,30 Apr 2018,-
500674,SANOFI,Sanofi India Ltd,26 Apr 2018,Final Dividend - Rs. - 53.0000,-,01 May 2018,08 May 2018,24 Apr 2018,26 Apr 2018,-
500002,ABB,ABB India Limited,27 Apr 2018,Dividend - Rs. - 4.4000,-,03 May 2018,09 May 2018,24 Apr 2018,02 May 2018,-
507488,GMBREW,G.M.BREWERIES LTD.,02 May 2018,Dividend - Rs. - 3.0000,-,04 May 2018,10 May 2018,25 Apr 2018,03 May 2018,-
535789,IBULHSGFIN,Indiabulls Housing Finance Ltd,02 May 2018,Interim Dividend - Rs. - 10.0000,03 May 2018,-,-,24 Apr 2018,02 May 2018,-
509496,ITDCEM,ITD CEMENTATION INDIA LTD.,02 May 2018,Dividend - Rs. - 0.4000,-,04 May 2018,10 May 2018,25 Apr 2018,03 May 2018,-
500092,CRISIL,CRISIL LTD.,03 May 2018,Interim Dividend - Rs. - 6.0000,04 May 2018,-,-,25 Apr 2018,03 May 2018,-
532960,IBVENTURES,Indiabulls Ventures Limited,03 May 2018,Interim Dividend - Rs. - 1.0000,04 May 2018,-,-,25 Apr 2018,03 May 2018,-
500339,RAIN,Rain Industries Ltd,03 May 2018,Final Dividend - Rs. - 1.0000,-,05 May 2018,11 May 2018,26 Apr 2018,03 May 2018,-
526117,SHERVANI,SHERVANI INDUSTRIAL SYNDICATE LTD.,03 May 2018,Interim Dividend - Rs. - 80.0000,04 May 2018,-,-,25 Apr 2018,03 May 2018,-
507912,LKPFIN,LKP Finance Limited,07 May 2018,Dividend - Rs. - 2.0000,-,09 May 2018,15 May 2018,02 May 2018,08 May 2018,-
532281,HCLTECH,HCL TECHNOLOGIES LTD.,09 May 2018,Interim Dividend - Rs. - 2.0000,10 May 2018,-,-,03 May 2018,09 May 2018,-
523405,JMFINANCIL,JM FINANCIAL LTD.-$,10 May 2018,Final Dividend - Rs. - 1.1000,-,14 May 2018,18 May 2018,07 May 2018,11 May 2018,-
590071,SUNDARMFIN,SUNDARAM FINANCE LTD.,10 May 2018,Interim Dividend - Rs. - 5.0000,11 May 2018,-,-,04 May 2018,10 May 2018,-
530879,CIFL,Capital India Finance Ltd,11 May 2018,Final Dividend - Rs. - 1.0000,14 May 2018,-,-,07 May 2018,11 May 2018,-
533520,IBULISL,Indiabulls Integrated Services Ltd,11 May 2018,Interim Dividend - Rs. - 1.0000,14 May 2018,-,-,07 May 2018,11 May 2018,-
532129,HEXAWARE,HEXAWARE TECHNOLOGIES LTD.,14 May 2018,Interim Dividend - Rs. - 1.0000,15 May 2018,-,-,08 May 2018,14 May 2018,-
532424,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.,15 May 2018,Interim Dividend - Rs. - 7.0000,16 May 2018,-,-,09 May 2018,15 May 2018,-
500790,NESTLEIND,NESTLE INDIA LTD.,16 May 2018,Final Dividend - Rs. - 23.0000,-,18 May 2018,19 May 2018,11 May 2018,17 May 2018,-
500790,NESTLEIND,NESTLE INDIA LTD.,16 May 2018,Interim Dividend - Rs. - 20.0000,-,18 May 2018,19 May 2018,11 May 2018,17 May 2018,-
500410,ACC,ACC LTD.,17 May 2018,Final Dividend - Rs. - 15.0000,-,21 May 2018,25 May 2018,14 May 2018,18 May 2018,-
500135,ESSELPRO,ESSEL PROPACK LTD.,17 May 2018,Final Dividend - Rs. - 2.4000,18 May 2018,-,-,11 May 2018,17 May 2018,-
532240,INDNIPPON,INDIA NIPPON ELECTRICALS LTD.,17 May 2018,Interim Dividend - Rs. - 3.5000,18 May 2018,-,-,11 May 2018,17 May 2018,-
500403,SUNDRMFAST,SUNDRAM FASTENERS LTD.,17 May 2018,Interim Dividend - Rs. - 2.7000,19 May 2018,-,-,14 May 2018,17 May 2018,-
505890,KENNAMET,KENNAMETAL INDIA LTD.-$,18 May 2018,Interim Dividend - Rs. - 2.0000,21 May 2018,-,-,14 May 2018,18 May 2018,-
526263,MOLDTEK,MOLD-TEK TECHNOLOGIES LTD.,21 May 2018,Interim Dividend - Rs. - 0.3000,22 May 2018,-,-,15 May 2018,21 May 2018,-
533080,MOLDTKPAC,Mold-Tek Packaging Limited,21 May 2018,Interim Dividend - Rs. - 2.0000,22 May 2018,-,-,15 May 2018,21 May 2018,-
500126,PGHL,Procter & Gamble Health Ltd,21 May 2018,Dividend - Rs. - 15.0000,-,23 May 2018,01 Jun 2018,16 May 2018,22 May 2018,-
500330,RAYMOND,RAYMOND LTD.,22 May 2018,Dividend - Rs. - 3.0000,-,24 May 2018,02 Jun 2018,17 May 2018,23 May 2018,-
532735,RSYSTEMINT,R Systems International Limited,22 May 2018,Interim Dividend - Rs. - 0.6000,-,24 May 2018,25 May 2018,17 May 2018,23 May 2018,-
532622,GDL,GATEWAY DISTRIPARKS LTD.,23 May 2018,Interim Dividend - Rs. - 4.0000,24 May 2018,-,-,17 May 2018,23 May 2018,-
500171,GHCL,GHCL LTD.,23 May 2018,Dividend - Rs. - 5.0000,-,25 May 2018,31 May 2018,18 May 2018,24 May 2018,-
532772,DCBBANK,DCB Bank Limited,24 May 2018,Dividend - Rs. - 0.7500,-,26 May 2018,02 Jun 2018,21 May 2018,24 May 2018,-
500210,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,24 May 2018,Interim Dividend - Rs. - 202.0000,25 May 2018,-,-,18 May 2018,24 May 2018,-
521064,TRIDENT,TRIDENT LTD.,24 May 2018,Final Dividend - Rs. - 0.3000,-,28 May 2018,28 May 2018,21 May 2018,25 May 2018,-
500875,ITC,ITC LTD.,25 May 2018,Dividend - Rs. - 5.1500,-,29 May 2018,31 May 2018,22 May 2018,28 May 2018,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,29 May 2018,Interim Dividend - Rs. - 11.0000,30 May 2018,-,-,23 May 2018,29 May 2018,-
531213,MANAPPURAM,MANAPPURAM FINANCE LTD.,29 May 2018,Interim Dividend - Rs. - 0.5000,30 May 2018,-,-,23 May 2018,29 May 2018,-
537259,SUYOG,Suyog Telematics Ltd,29 May 2018,Interim Dividend - Rs. - 1.0000,30 May 2018,-,-,23 May 2018,29 May 2018,-
530079,FAZE3Q,FAZE THREE LTD.-$,31 May 2018,Interim Dividend - Rs. - 0.5000,02 Jun 2018,-,-,28 May 2018,31 May 2018,-
531531,HATSUN,HATSUN AGRO PRODUCT LTD.,31 May 2018,Interim Dividend - Rs. - 3.0000,01 Jun 2018,-,-,25 May 2018,31 May 2018,-
500180,HDFCBANK,HDFC Bank Ltd,31 May 2018,Dividend - Rs. - 13.0000,01 Jun 2018,-,-,25 May 2018,31 May 2018,-
533273,OBEROIRLTY,OBEROI REALTY LTD.,31 May 2018,Dividend - Rs. - 2.0000,01 Jun 2018,-,-,25 May 2018,31 May 2018,-
532827,PAGEIND,PAGE INDUSTRIES LTD.,31 May 2018,Interim Dividend - Rs. - 35.0000,02 Jun 2018,-,-,28 May 2018,31 May 2018,-
505509,RESPONIND,RESPONSIVE INDUSTRIES LTD.,31 May 2018,Dividend - Rs. - 0.1000,-,02 Jun 2018,08 Jun 2018,28 May 2018,31 May 2018,-
532540,TCS,TATA CONSULTANCY SERVICES LTD.,31 May 2018,Final Dividend - Rs. - 29.0000,02 Jun 2018,-,-,28 May 2018,31 May 2018,-
532648,YESBANK,YES BANK LTD.,04 Jun 2018,Dividend - Rs. - 2.7000,-,06 Jun 2018,12 Jun 2018,30 May 2018,05 Jun 2018,-
532475,APTECHT,APTECH LTD.,06 Jun 2018,Interim Dividend - Rs. - 3.5000,07 Jun 2018,-,-,31 May 2018,06 Jun 2018,-
