3MINDIA 3m
ABB Abb
ABBOTINDIA Abbott
ABFRL Aditya birla fashion retail
ACC Acc
ADANIENT Adani enterprises
ADANIPORTS Adani ports special economic zone
ADANITRANS Adani transmission
AEGISLOG Aegis logistics
AKZOINDIA Akzo nobel
ALLCARGO Allcargo logistics
AMARAJABAT Amara raja batteries
AMBUJACEM Ambuja cements
APOLLOHOSP Apollo hospitals enterprises
APOLLOTYRE Apollo tyres
ARVIND Arvind
ASAHIINDIA Asahi glass
ASHOKLEY Ashok leyland
ASIANPAINT Asian paints
ASIANTILES Asian granito
AUROPHARMA Aurobindo pharma
AVANTI Avanti feeds
AXISBANK Axis bank
BAJAJ-AUTO Bajaj auto
BAJAJFINSV Bajaj finserv
BAJFINANCE Bajaj finance
BALKRISIND Balkrishna industries
BALRAMCHIN Balrampur chini mills
BANDHANBNK Bandhan bank
BANKBARODA Bankbaroda
BASF Basf
BATAINDIA Bata
BAYERCROP Bayer cropscience
BDL Bharat dynamics
BEL Bharat electronics
BERGEPAINT Berger paints
BHARTIARTL Bharti airtel
BHEL Bharat heavy electricals
BIOCON Biocon
BLUEDART Blue dart express
BLUESTARCO Blue star
BOSCHLTD Bosch
BPCL Bharat petroleum
BRIGADE Brigade enterprises
BRITANNIA Britannia industries
BSE Bse
CADILAHC Cadila healthcare
CARBORUNIV Carborundum universal
CARERATING Care ratings
CASTROLIND Castrol
CDSL Central depository services
CEATLTD Ceat
CENTURYPLY Century plyboards
CERA Cera sanitaryware
CHAMBLFERT Chambal fertilisers chemicals
CHOLAINV Cholamandalam investment finance company
CIPLA Cipla
COALINDIA Coal
COFFEEDAY Coffee day enterprises
COLPAL Colgate palmolive
CONCOR Container corporation
COROMANDEL Coromandel international
COX&KINGS Cox kings
CRISIL Crisil
CROMPTON Crompton greaves consumer electricals
CUMMINSIND Cummins
DABUR Dabur
DCMSHRIRAM Dcm shriram
DELTACORP Delta corp
DHFL Dewan housing finance
DISHTV Dish tv
DLF Dlf
DMART Avenue supermarts
DRREDDY Dr reddys laboratories
EICHERMOT Eicher motors
EIDPARRY Eid parry
EIHOTEL Eih
EMAMILTD Emami
ENDURANCE Endurance technologies
ENGINERSIN Engineers
ENIL Entertainment network
ESSELPRO Essel propack
EVEREADY Eveready industries
EXIDEIND Exide industries
FCONSUMER Future consumer
FLFL Future lifestyle fashions
FORTIS Fortis healthcare
FRETAIL Future retail
FSC Future supply chain solutions
GAIL Gail
GICRE General insurance corporation
GILLETTE Gillette
GLAXO Glaxosmithkline pharmaceuticals
GLENMARK Glenmark pharmaceuticals
GODFRYPHLP Godfrey phillips
GODREJAGRO Godrej agrovet
GODREJCP Godrej consumer products
GODREJIND Godrej industries
GODREJPROP Godrej properties
GOODYEAR Goodyear
GRASIM Grasim industries
GREENPLY Greenply industries
GRINDWELL Grindwell norton
GRNLAMIND Greenlam industries
GSKCONS Glaxosmithkline consumer healthcare
HAL Hindustan aeronautics
HATSUN Hatsun agro products
HAVELLS Havells
HCLTECH Hcl technologies
HDFC Housing development finance corplt
HDFCBANK Hdfc bank
HDFCLIFE Hdfc standard life insurance company
HEROMOTOCO Hero motocorp
HINDALCO Hindalco industries
HINDPETRO Hindustan petroleum corporation
HINDUNILVR Hindustan unilever
HINDZINC Hindustan zinc
HONAUT Honeywell automation
HSIL Hsil
HUDCO Housing &urban development corporation
IBULHSGFIN Indiabulls housing finance
ICICIBANK Icici bank
ICICIGI Icici lombard general insurance company
ICICIPRULI Icici prudential life insurance company
ICRA Icra
IDEA Idea cellular
IFBIND Ifb industries
IIFL Iifl holdings
INDHOTEL Indian hotels co
INDIGO Interglobe aviation
INDUSINDBK Indusind bank
INFY Infosys
INOXLEISUR Inox leisure
IOC Indian oil corporation
ISEC Icici securities
ITC Itc
JCHAC Johnson controls hitachi air conditioning
JISLJALEQS Jain irrigation systems
