HINDUSTAN ZINC,2,3855
ITC,1,1898
HINDUNILVR,3,1246
PFIZER,2,660
SKF,1,650
HDFC,2,625
HINDUSTAN PETROLEUM,1,604
NTPC,1,564
BRITANNIA INDUSTRIES,2,555
INFY,1,522
TCS,3,506
TATASTEEL,1,490
BSE,1,476
POWERGRID,1,468
PETRONET LNG,1,448
VSTIND,1,412
CMS,1,409
LICHSGFIN,1,400
ENGINERSIN,1,365
HDFCAMC,1,364
SANOFI,1,349
TATAPOWER,1,348
BEL,1,344
HERO MOTOCORP,1,325
TATACONSUM,2,285
TATACHEM,1,264
ABBOTT,1,250
STERLITE TECHNOLOGIE,1,245
MARUTI SUZUKI ,1,240
BAYER,2,230
COCHIN SHIPYARD,1,225
LT,1,224
BOSCH,1,210
OIL,1,208
CASTROL,1,207
HEIDELBERG,1,198
NHPC,1,185
CRISIL,3,175
TATACOFFEE,1,174
BHARTI INFRATEL,2,140
PIRAMAL ENTERPRISES,1,140
RELIANCE INDUSTRIES,1,136
COROMANDEL,1,120
UPL,1,120
CUMMINS,1,119
COLPAL,1,112
MINDTREE,1,100
TECH MAHINDRA,1,100
ACC,1,98
M&M,1,89
AMBUJA CEMENTS,1,88
GRINDWELL,1,82
BHARTI AIRTEL,1,82
ICRA,1,81
GLAXO,1,80
GOODYEAR,1,78
GODREJ AGROVET,1,77
HONEYWELL,1,75
SCHAEFFLER,1,70
JSW STEEL,1,66
ULTRATECH CEMENT,1,65
LTI,1,62
NESTLE,1,61
ICICI SECURITIES,1,60
INDHOTEL,1,57
HCL TECHNOLOGIES,2,56
FINOLEX CABLES,1,55
LTTS,1,54
BHARAT DYNAMICS,1,53
DLF,1,52
DRREDDY,1,50
CARE RATINGS,1,50
RALLIS,1,42
LUPIN,1,42
TITAN,1,40
VOLTAS,1,40
TTK PRESTIGE,1,40
SUNPHARMA,1,39
KANSAINER,1,37
HINDALCO INDUSTRIES,1,34
CDSL,1,31
NOVARTIS,1,30
MCX,1,30
ESSEL PROPACK,1,28
BATA,1,28
CONTAINER,1,28
GLENMARK,1,25
ABB,1,24
KSB,1,24
UBL,1,22
DABUR,1,22
NIPPON LIFE AS,1,20
APOLLOHOSP,1,19
APL,1,18
GREENPLY INDUSTRIES,1,18
VARUN BEVERAGES,1,17
ENTERTAINMENT NETWOR,1,17
TATAELXSI,1,16
HAT,1,16
GRASIM INDUSTRIES,1,16
UFLEX,1,16
MAHINDRA LOGISTICS,1,15
BALKRISIND,1,15
TRENT,1,13
SUMITOMO CHEMICAL IN,1,13
BASF,1,12
SOLAR INDUSTRIES IND,1,12
INDRAPRASTHA GAS,1,11
WHIRLPOOL,1,10
ZEEL,1,10
AEGIS LOGISTICS,1,10
PAPERPROD,1,9
AUROBINDO PHARMA,1,5
BERGER PAINTS ,1,5
PI INDUSTRIES,1,4
NCC,1,4
SUNDARMFIN,1,3
ASTRAZEN,1,2
AVANTI FEEDS,1,2
SOMANY HOME INNOVATI,1,0
