comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
MARUTI SUZUKI ,-,-,-,-,-,-,-,240,-,-,-,-,240
MCX,-,-,-,-,-,-,-,-,30,-,-,-,30
MINDTREE,-,-,-,-,-,-,100,-,-,-,-,-,100
NESTLE,-,-,-,-,-,-,61,-,-,-,-,-,61
NIPPON LIFE AS,-,-,-,-,-,-,20,-,-,-,-,-,20
NOVARTIS,-,-,-,-,-,-,-,30,-,-,-,-,30
PFIZER,-,-,-,-,640,-,-,-,-,-,-,-,640
PIRAMAL ENTERPRISES,-,-,-,-,-,-,-,140,-,-,-,-,140
RALLIS,-,-,-,-,-,-,42,-,-,-,-,-,42
RELIANCE,-,-,-,-,-,-,136,-,-,-,-,-,136
SANOFI,-,-,-,-,-,-,349,-,-,-,-,-,349
SCHAEFFLER,-,-,-,-,-,-,70,-,-,-,-,-,70
SFI,-,-,-,-,-,-,3,-,-,-,-,-,3
SKF,-,-,-,-,-,-,-,650,-,-,-,-,650
SOLAR,-,-,-,-,-,-,-,-,12,-,-,-,12
SOMANY HOME,-,-,-,-,-,-,-,-,0,-,-,-,0
STERLITE TECHNOLOGIE,-,-,-,-,-,-,-,-,245,-,-,-,245
SUMITOMO CHEMICAL,-,-,-,-,-,-,-,-,13,-,-,-,13
SUN PHARMACEUTICAL I,-,-,-,-,-,-,-,-,39,-,-,-,39
TATA CONSUMER FRAC,-,-,-,-,202,-,-,-,-,-,-,-,202
TATACOF,-,-,-,-,-,-,174,-,-,-,-,-,174
TATASTEEL FP,-,-,-,-,-,-,-,490,-,-,-,-,490
TCL,-,-,-,-,-,-,264,-,-,-,-,-,264
TCS,-,-,-,-,-,132,110,-,-,-,-,-,242
TECH MAHINDRA,-,-,-,-,-,-,-,100,-,-,-,-,100
TGBL,-,-,-,-,-,-,83,-,-,-,-,-,83
THE,-,-,-,-,-,-,-,57,-,-,-,-,57
TITAN,-,-,-,-,-,-,-,40,-,-,-,-,40
TPOWERF,-,-,-,-,-,-,-,348,-,-,-,-,348
TRENT,-,-,-,-,-,-,-,13,-,-,-,-,13
TTK PRESTIGE,-,-,-,-,-,-,-,40,-,-,-,-,40
UBL,-,-,-,-,-,-,-,-,22,-,-,-,22
UFLEX,-,-,-,-,-,-,-,-,16,-,-,-,16
ULTRATECH CEMENT,-,-,-,-,-,-,-,65,-,-,-,-,65
UPL,-,-,-,-,-,-,-,-,120,-,-,-,120
VARUN BEVERAGES,-,-,-,-,-,-,-,17,-,-,-,-,17
VOLTAS,-,-,-,-,-,-,-,40,-,-,-,-,40
VST,-,-,-,-,-,-,-,412,-,-,-,-,412
WHIRLPOOL,-,-,-,-,-,-,-,10,-,-,-,-,10
ZEE ENTERTAINMENT EN,-,-,-,-,-,-,-,-,10,-,-,-,10
Total,-,-,-,-,3782,281,3659,5207,4465,-,-,-,-
