comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ABB,-,-,-,-,-,-,24,-,-,-,-,-,24
ABBOTT,-,-,-,-,-,-,-,-,250,-,-,-,250
ACC,-,-,-,-,98,-,-,-,-,-,-,-,98
AMBUJA CEMENTS,-,-,-,-,88,-,-,-,-,-,-,-,88
APL,-,-,-,-,-,-,-,18,-,-,-,-,18
ASTRAZENECAPHARIND,-,-,-,-,-,-,-,-,2,-,-,-,2
AUROBINDO PHARMA,-,-,-,-,-,-,-,-,5,-,-,-,5
AVANTI FEEDS,-,-,-,-,-,-,-,-,2,-,-,-,2
BALKRISHNAINDUSTRIES,-,-,-,-,-,-,-,15,-,-,-,-,15
BASF,-,-,-,-,-,-,-,12,-,-,-,-,12
BATA,-,-,-,-,-,-,-,28,-,-,-,-,28
BAYER,-,-,-,-,-,-,180,50,-,-,-,-,230
BHARTI,-,-,-,-,90,-,-,50,-,-,-,-,140
BHARTI AIRTEL,-,-,-,-,-,-,-,82,-,-,-,-,82
BOSCH,-,-,-,-,-,-,-,-,210,-,-,-,210
BRITANNIA,-,-,-,-,140,-,-,-,415,-,-,-,555
BSE,-,-,-,-,-,-,-,476,-,-,-,-,476
CASTROL,-,-,-,-,-,-,207,-,-,-,-,-,207
CMS,-,-,-,-,-,-,-,409,-,-,-,-,409
COLGATEPALMOLIVE,-,-,-,-,-,112,-,-,-,-,-,-,112
COROMANDEL,-,-,-,-,-,-,-,120,-,-,-,-,120
CRISIL,-,-,-,-,42,-,-,42,91,-,-,-,175
CUMMINS,-,-,-,-,-,-,-,-,119,-,-,-,119
DABUR,-,-,-,-,-,-,-,-,22,-,-,-,22
DR REDDY'S LABORATO,-,-,-,-,-,-,-,50,-,-,-,-,50
ELXSI,-,-,-,-,-,-,16,-,-,-,-,-,16
ENTERTAINMENT NETWOR,-,-,-,-,-,-,-,-,17,-,-,-,17
ESSEL PROPACK,-,-,-,-,-,-,-,28,-,-,-,-,28
GLAXO PHARMA,-,-,-,-,-,-,80,-,-,-,-,-,80
GODREJ AGROVET,-,-,-,-,-,-,-,77,-,-,-,-,77
GOODYEAR,-,-,-,-,-,-,-,78,-,-,-,-,78
GRASIM,-,-,-,-,-,-,-,-,16,-,-,-,16
GRINDWELL,-,-,-,-,-,-,82,-,-,-,-,-,82
HAT,-,-,-,-,-,-,-,16,-,-,-,-,16
HCIL,-,-,-,-,-,-,-,-,198,-,-,-,198
HCL TECHNOLOGIES,-,-,-,-,-,-,-,28,-,-,-,-,28
HDFC,-,-,-,-,-,-,315,-,-,-,-,-,315
HDFC AMCL,-,-,-,-,-,-,364,-,-,-,-,-,364
HERO MOTOCORP,-,-,-,-,-,-,-,325,-,-,-,-,325
HINDALCO,-,-,-,-,-,-,-,-,34,-,-,-,34
HINDUSTAN PETROLEUM,-,-,-,-,-,-,-,-,604,-,-,-,604
HINDUSTAN UNILEVER,-,-,-,-,799,-,-,181,-,-,-,-,980
HINDUSTAN ZINC,-,-,-,-,1683,-,-,-,-,-,-,-,1683
HINDUSTANUNILEVERLTD,-,-,-,-,-,-,266,-,-,-,-,-,266
HONEYWELL,-,-,-,-,-,-,-,-,75,-,-,-,75
HPPL,-,-,-,-,-,-,9,-,-,-,-,-,9
ICICI SECURITIES,-,-,-,-,-,-,-,60,-,-,-,-,60
INFOSYS,-,-,-,-,-,-,522,-,-,-,-,-,522
ITC,-,-,-,-,-,-,-,-,1898,-,-,-,1898
JSW STEEL,-,-,-,-,-,-,66,-,-,-,-,-,66
KANSAI,-,-,-,-,-,37,-,-,-,-,-,-,37
L&T TECHNOLOGY SERVI,-,-,-,-,-,-,54,-,-,-,-,-,54
LARSEN & TOUBRO,-,-,-,-,-,-,62,224,-,-,-,-,286
LUPIN,-,-,-,-,-,-,-,42,-,-,-,-,42
MAHINDRA & MAHINDRA,-,-,-,-,-,-,-,89,-,-,-,-,89
MAHINDRA LOGISTICS,-,-,-,-,-,-,-,15,-,-,-,-,15
