,,Investment Multiplier,1000,,Month Name,Jan,Feb,Mar,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
,,Number of Companies,210,,Month Number,1,2,3,,4,5,6,7,8,9,10,11,12,
,,companies every month (avg),18,Companies,2018,23,30,0,,34,0,0,0,0,0,0,0,0,
,,,,Companies,2017,5,2,4,,0,2,19,5,0,25,16,29,17,
,,,,Amount,2018,25000,25000,,,,,,,,,,,,50000
,,,,Amount,2017,63680,17471,14897,,8917,38244,150916,59245,71310,95479,,,,520159
,,,,Amount,2016,,,,,,49568,5337,5620,5620,15392,58672,14076,16844,171129
,,TOTAL,Planned Units,Planned Value,Current Value,TBD Value,TBD Units,Quarterly Investment,Filter Date (Date is before),Quarters (TBD),,,,,,,,,
,,,796,796000,632000,166000,166.00,50000,1-Jan-2018,4.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sector,Industry,Company,Planned Units,Planned Value,Current Value,TBD Value,TBD Units,TBD %,Last Date,,,,,,,,,,
Real Estate,Construction & Contracting : Real Estate,HUDCO,2,2000,5600,-3600,-3.60,-1.80,19-Sep-2017,,,,,,,,,,
Agro Chemicals,Chemicals,UPL,2,2000,5000,-3000,-3.00,-1.50,25-Jan-2017,,,,,,,,,,
Real Estate,Construction & Contracting : Real Estate,Sobha,2,2000,5000,-3000,-3.00,-1.50,8-Jun-2017,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Sun Pharma,5,5000,11000,-6000,-6.00,-1.20,10-Mar-2017,,,,,,,,,,
Real Estate,Construction & Contracting : Real Estate,Prestige Estates,5,5000,10000,-5000,-5.00,-1.00,8-Jun-2017,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Lupin,5,5000,10000,-5000,-5.00,-1.00,28-Feb-2017,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Sanofi India,2,2000,4000,-2000,-2.00,-1.00,19-Sep-2017,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Abott India,2,2000,4000,-2000,-2.00,-1.00,19-Sep-2017,,,,,,,,,,
IT,Computer Software,TCS,10,10000,18000,-8000,-8.00,-0.80,20-Mar-2017,,,,,,,,,,
BFSI,Banks-Private,HDFC Bank,10,10000,17000,-7000,-7.00,-0.70,14-Mar-2017,,,,,,,,,,
BFSI,Finance - Investments,Bajaj FinServ,3,3000,5000,-2000,-2.00,-0.67,19-Sep-2017,,,,,,,,,,
FMCG,Aquaculture,Avanti Feeds,2,2000,3000,-1000,-1.00,-0.50,6-Dec-2017,,,,,,,,,,
Chemicals,Chemicals,BASF,2,2000,3400,-1400,-1.40,-0.70,5-Apr-2018,,,,,,,,,,
Tourism & Hospitality,Z Misc : Hospitality,Jubilant Food,2,2000,3000,-1000,-1.00,-0.50,1-Feb-2018,,,,,,,,,,
FMCG,Food Processing,Britania,5,5000,8500,-3500,-3.50,-0.70,5-Apr-2018,,,,,,,,,,
Ceramics,Ceramics & Granite,Cera Sanitaryware,2,2000,3000,-1000,-1.00,-0.50,14-Jun-2017,,,,,,,,,,
Alcoholic Beverages,Breweries & Distillaries,United Spirits,10,10000,12000,-2000,-2.00,-0.20,6-Dec-2017,,,,,,,,,,
BFSI,Z Misc : Credit Rating,CRISIL,3,3000,4000,-1000,-1.00,-0.33,5-Apr-2018,,,,,,,,,,
Consumer Durables,Domestic Appliances,TTK Prestige,5,5000,6500,-1500,-1.50,-0.30,18-Jul-2017,,,,,,,,,,
FMCG,Food Processing,Nestle,5,5000,6500,-1500,-1.50,-0.30,9-Jun-2017,,,,,,,,,,
BFSI,Finance - Housing,HDFC,10,10000,11000,-1000,-1.00,-0.10,6-Dec-2017,,,,,,,,,,
Metals,Aluminium,Hindalco,2,2000,2000,0,0.00,0.00,1-Sep-2017,,,,,,,,,,
Metals,Aluminium,Nalco,2,2000,2000,0,0.00,0.00,1-Sep-2017,,,,,,,,,,
Chemicals,Chemicals,Pidilite,2,2000,2600,-600,-0.60,-0.30,5-Apr-2018,,,,,,,,,,
Cement,Cement : Major,UltraTech,10,10000,12000,-2000,-2.00,-0.20,25-Jan-2017,,,,,,,,,,
FMCG,Personal Care,P & G,6,6000,7000,-1000,-1.00,-0.17,9-Jun-2017,,,,,,,,,,
Engineering,Pumps,KSB Pumps,2,2000,2300,-300,-0.30,-0.15,5-Apr-2018,,,,,,,,,,
Auto components,Auto Ancilliary,Motherson Sumi,2,2000,2000,0,0.00,0.00,6-Dec-2017,,,,,,,,,,
IT,Computer Software,Wipro,5,5000,5600,-600,-0.60,-0.12,21-Jun-2017,,,,,,,,,,
Cement,Cement : Major,ACC,3,3000,3000,0,0.00,0.00,1-Nov-2017,,,,,,,,,,
Ceramics,Ceramics & Granite,Kajaria Ceramics,2,2000,2000,0,0.00,0.00,1-Nov-2017,,,,,,,,,,
Tobacco,Cigarettes,ITC,10,10000,10000,0,0.00,0.00,2-Nov-2017,,,,,,,,,,
Education,Computer Education,Zee Learn,2,2000,2000,0,0.00,0.00,1-Nov-2017,,,,,,,,,,
Automobiles,Auto -Cars,Maruti,5,5000,5000,0,0.00,0.00,9-Jun-2017,,,,,,,,,,
Automobiles,Auto -Tractors,VST Tillers,2,2000,2000,0,0.00,0.00,12-Jun-2017,,,,,,,,,,
Auto components,Auto Ancilliary,Amara Raja,1,1000,1000,0,0.00,0.00,5-Jun-2017,,,,,,,,,,
Consumer Durables,Consumer Goods : Electronic,Voltas,2,2000,2000,0,0.00,0.00,1-Nov-2017,,,,,,,,,,
Consumer Durables,Consumer Goods : White Goods,Johnson Control,2,2000,2000,0,0.00,0.00,17-Oct-2017,,,,,,,,,,
Auto components,Auto Ancilliary,Exide,1,1000,1000,0,0.00,0.00,16-Jun-2017,,,,,,,,,,
FMCG,Dry Cells,Eveready,2,2000,2000,0,0.00,0.00,1-Nov-2017,,,,,,,,,,
Engineering,Engines,Cummins,2,2000,2000,0,0.00,0.00,6-Dec-2017,,,,,,,,,,
Fertilizers,Fertilizers,Coramandel International,2,2000,2000,0,0.00,0.00,1-Nov-2017,,,,,,,,,,
FMCG,Food Processing,GSK Consumer,5,5000,5000,0,0.00,0.00,19-Sep-2017,,,,,,,,,,
FMCG,Food Processing,Venky's,2,2000,2000,0,0.00,0.00,22-Sep-2017,,,,,,,,,,
Auto components,Glass & Glass Products,Asahi Glass India ,2,2000,2000,0,0.00,0.00,6-Dec-2017,,,,,,,,,,
Oil & Gas,Lubricant,Castrol,2,2000,2000,0,0.00,0.00,6-Dec-2017,,,,,,,,,,
Media,Media & Entertainment,Zee Entertainment,5,5000,5000,0,0.00,0.00,06-Dec-2017,,,,,,,,,,
BFSI,Banks-Public,SBI,5,5000,5000,0,0.00,0.00,5-May-2017,,,,,,,,,,
Metals,Mining & Minerals,Coal India,10,10000,10000,0,0.00,0.00,27-Nov-2017,,,,,,,,,,
Oil & Gas,Oil Drilling & Exploration,ONGC,5,5000,5000,0,0.00,0.00,6-Dec-2017,,,,,,,,,,
