security_name, bonus_share, bonus_count
INSECTICID ,  1:2 , 1
ANTARIKSH ,  3:1 , 1
COMPUAGE ,  3:5 , 1
CMAHENDRA ,  1:1 , 1
LANCORHOL ,  1:1 , 1
SRSLTD ,  1:1 , 1
FEDERALBNK ,  1:1 , 1
KOTAKBANK ,  1:1 , 1
MANVIJAY ,  1:1 , 1
MAITHANALL ,  1:1 , 1
AUROPHARMA ,  1:1 , 1
MBLINFRA ,  1:1 , 1
ANUHPHR ,  2:1 , 1
TEATIME ,  093200     , 1
PMCFIN ,  1:1 , 1
DAMOTH ,  1:4 , 1
ELPROINTL ,  2:1 , 1
DHFL ,  1:1 , 1
APCOTEXIND ,  1:1 , 1
COLPAL ,  1:1 , 1
DIVISLAB ,  1:1 , 1
AMNPLST ,  1:1 , 1
CPL ,  1:8 , 1
SHIVAMAUTO ,  1:1 , 1
TIGERLOGS ,  3:2 , 1
ZVINADTR ,  47:1 , 1
DHABRIYA ,  1:4 , 1
RUBYMILLS ,  1:1 , 1
ATREYA ,  1:3 , 1
FAIRDSY ,  1:10 , 1
LOOKS ,  3:4 , 1
ECLERX ,  1:3 , 1
MANCREDIT ,  5:1 , 1
MARATHON ,  1:2 , 1
VENKYS ,  1:2 , 1
MARICO ,  1:1 , 1
ALLCARGO ,  1:1 , 1
KOTHARIPRO ,  1:2 , 1
CONTROLP ,  1:2 , 1
VEGETABLE ,  9:5 , 1
ABANSENT ,  7:1 , 1
MINDTREE ,  1:1 , 1
ASALCBR ,  1:1 , 1
KRETTOSYS ,  2:5 , 1
RAMASTEEL ,  4:1 , 1
TIDEWATER ,  1:1 , 1
ATHARVENT ,  1:1 , 1
DISHMAN ,  1:1 , 1
GLOSTER ,  1:1 , 1
SUYOG ,  1:5 , 1
ITC ,  1:2 , 1
HATSUN ,  2:5 , 1
GANESHHOUC ,  1:2 , 1
GRINDWELL ,  1:1 , 1
BERGEPAINT ,  2:5 , 1
INDPRUD ,  2:1 , 1
FRONTCAP ,  1:3 , 1
OBIL ,  7:10 , 1
AEL ,  1:5 , 1
HISARMET ,  1:2 , 1
KTIL ,  1:25 , 1
PFC ,  1:1 , 1
MENONBE ,  1:5 , 1
OASIS ,  1:3 , 1
NBVENTURES ,  1:1 , 1
TECHNO ,  1:1 , 1
BAJFINANCE ,  1:1 , 1
ULTRACAB ,  1:2 , 1
WIMPLAST ,  1:1 , 1
ATISHAY ,  1:4 , 1
SYMPHONY ,  1:1 , 1
KANPRPLA ,  1:2 , 1
ARNOLD ,  5:1 , 1
VIAANINDUS ,  2:1 , 1
RECLTD ,  1:1 , 1
ASIIL ,  1:4 , 1
DIAMOND ,  2:1 , 1
STARLIT ,  1:4 , 1
8KMILES ,  1:3 , 1
CHAMANSE ,  1:10 , 1
ALANKIT ,  1:1 , 1
HIGHGROUND ,  1:10 , 1
SUNILHITEC ,  1:1 , 1
INDIANHUME ,  1:1 , 1
ONGC ,  1:2 , 1
BALMLAWRIE ,  3:1 , 1
ENGINERSIN ,  1:1 , 1
ASYL ,  3:20 , 1
STAMPEDE ,  1:4 , 1
NUTRA ,  1:10 , 1
ISHANCH ,  1:2 , 1
ORBTEXP ,  1:1 , 1
NBCC ,  1:2 , 1
ASHFL ,  1:1 , 1
MIENT ,  1:1 , 1
VGUARD ,  2:5 , 1
KUSHAL ,  1:1 , 1
POLYMED ,  1:1 , 1
ASHARI ,  4:1 , 1
RMCHEM ,  4:1 , 1
BEARDSELL ,  1:5 , 1
HINDCOMPOS ,  1:2 , 1
MUTHTFN ,  1:10 , 1
THACKER ,  32:21 , 1
ICICIBANK ,  1:10 , 1
KITEX ,  2:5 , 1
PETRONET ,  1:1 , 1
PLASTIBLEN ,  1:1 , 1
SANWARIA ,  1:1 , 1
PCJEWELLER ,  1:1 , 1
SHANTAI ,  2:1 , 1
MAANALU ,  1:1 , 1
MHRIL ,  1:2 , 1
MUNJALAU ,  1:1 , 1
LYPSAGEMS ,  2:5 , 1
GPTINFRA ,  1:1 , 1
LT ,  1:2 , 1
JAYAGROGN ,  1:1 , 1
VFL ,  1:10 , 1
CEINSYSTECH ,  1:10 , 1
OKANCOTEA ,  2:1 , 1
RAJPUTANA ,  9:5 , 1
MSL ,  1:1 , 1
RELIANCE ,  1:1 , 1
TATAELXSI ,  1:1 , 1
LOYAL ,  1:2 , 1
MANPASAND ,  1:1 , 1
MOIL ,  1:1 , 1
BHARATFORG ,  1:1 , 1
BHEL ,  1:2 , 1
PANAMAPET ,  1:2 , 1
SHBCL ,  1:1 , 1
MRSS ,  1:1 , 1
KPL ,  1:1 , 1
KALLAM ,  1:4 , 1
TALBROSENG ,  1:1 , 1
AUTOINT ,  1:1 , 1
BAMPSL ,  3:20 , 1
INFINITE ,  1:26 , 1
MMLF ,  1:4 , 1
SKC ,  1:10 , 1
BALKRISIND ,  1:1 , 1
CASTROLIND ,  1:1 , 1
M&M ,  1:1 , 1
VAKRANG ,  1:1 , 1
LANCER ,  3:5 , 1
BILENERGY ,  1:1 , 1
VKJINFRA ,  1:3 , 1
FIBERWEB ,  1:1 , 1
EXCEL ,  2:1 , 1
GARNETINT ,  2:1 , 1
YASHCHEM ,  3:2 , 1
JDML ,  1:1 , 1
LAOPALA ,  1:1 , 1
CITADEL ,  1:1 , 1
KELLTONTEC ,  1:1 , 1
HANMAN ,  1:20 , 1
SHIVALIK ,  1:4 , 1
AINFRA ,  1:1 , 1
MMTC ,  1:2 , 1
RPEL ,  2:5 , 1
UNIDT ,  1:1 , 1
TCS ,  1:1 , 1
GRUH ,  1:1 , 1
LGBBROSLTD ,  1:1 , 1
TRANSCOR ,  1:4 , 1
ESSELPRO ,  1:1 , 1
UMIYA ,  1:3 , 1
EMAMILTD ,  1:1 , 1
JUBLFOOD ,  1:1 , 1
HIKAL ,  1:2 , 1
AVANTI ,  1:2 , 1
NIACL ,  1:1 , 1
JYOTHYLAB ,  1:1 , 1
PTIL ,  1:5 , 1
SRESTHA ,  1:10 , 1
MINDAIND ,  2:1 , 1
ASHOKA ,  1:2 , 1
GICRE ,  1:1 , 1
MMFL ,  1:1 , 1
BOROSIL ,  3:1 , 1
SUMEETINDS ,  1:4 , 1
DIL ,  1:1 , 1
WHEELS ,  1:1 , 1
KARURVYSYA ,  1:10 , 1
CHEVIOT ,  1:2 , 1
GLAXO ,  1:1 , 1
YUKEN ,  3:1 , 1
JETINFRA ,  1:1 , 1
7NR ,  1:2 , 1
MEHAI ,  1:1 , 1
DARSHANORNA ,  11:10 , 1
IGARASHI ,  0:0 , 1
ZEAL ,  2:1 , 1
