security_name, dividend_amount, dividend_count
KBIL , 20.0 , 1
ELFTRDG , 2.0 , 1
POLARIS , 10.0 , 1
VIDEOIND , 2.0 , 1
ALBK , 1.6 , 1
DENABANK , 0.9 , 1
SFCL , 1.0 , 1
SYNDIBANK , 4.7 , 1
MAHABANK , 0.8 , 1
CORPBANK , 1.4 , 1
PNB , 3.3 , 1
VASINFRA , 0.7 , 1
CENTRALBK , 0.5 , 1
UCOBANK , 2.0 , 1
BLUESTINFO , 4.0 , 1
JETKING , 1.0 , 1
SURAJLTD , 1.5 , 1
BANKINDIA , 5.0 , 1
TORRCABS , 1.0 , 1
GODREJPROP , 2.0 , 1
SNOWMAN , 0.5 , 1
BLOOM , 0.6 , 1
FULFORD , 1.5 , 1
IDBI , 0.8 , 1
SEAMECLTD , 1.0 , 1
SHASUNPHAR , 1.0 , 1
SHRENUJ , 0.2 , 1
SPECIALITY , 1.0 , 1
WEPSOLN , 0.5 , 1
COSCO , 1.0 , 1
RDBRL , 0.5 , 1
GPIL , 1.0 , 1
RDBRIL , 1.0 , 1
ZLEENCON , 0.3 , 1
ENCASH , 0.0 , 1
IITL , 1.0 , 1
OLPCL , 0.5 , 1
INTLCOMB , 1.5 , 1
JUSTDIAL , 2.0 , 1
NITINFIRE , 0.2 , 1
AUSTENG-B , 1.5 , 1
RASIELEC , 0.1 , 1
ABAN , 3.6 , 1
BHARATAGRI , 1.5 , 1
MALAR , 0.5 , 1
RICOH , 1.0 , 1
BESTEAST , 0.1 , 1
BIHARCAU , 5.0 , 1
EMCO , 0.1 , 1
JMDVL , 0.1 , 1
RESONANCE , 0.5 , 1
RAINBOWPAP , 0.2 , 1
RUCHINFRA , 0.1 , 1
RUCHISOYA , 0.2 , 1
SUPERTAN , 0.1 , 1
TAIIND , 0.7 , 1
TREEHOUSE , 2.0 , 1
USHERAGRO , 0.5 , 1
VIPCLOTHNG , 0.3 , 1
ARCHIES , 0.3 , 1
CCLINTER , 0.1 , 1
PITTILAM , 0.6 , 1
STARDELTA , 0.5 , 1
ZBINTXPP , 2.0 , 1
ARNOLD , 0.1 , 1
FINEYE , 0.1 , 1
FLEXITUFF , 1.0 , 1
GLANCE , 0.8 , 1
GUJAUTO , 0.7 , 1
HILTON , 0.2 , 1
LIBERTSHOE , 1.5 , 1
PANORAMUNI , 0.5 , 1
PRAKASHSTL , 0.5 , 1
PRATIBHA , 0.2 , 1
SRL , 0.6 , 1
VIMALOIL , 1.2 , 1
ADMANUM , 1.0 , 1
BALLARPUR , 0.2 , 1
BMAL , 0.1 , 1
DHINDIA , 0.5 , 1
MANDHANA , 2.0 , 1
PANAFIC , 0.0 , 1
ROLTA , 3.0 , 1
TINNARUBR , 2.0 , 1
VARDHIND , 1.0 , 1
VIVIDHA , 0.0 , 1
BHAGYNAGAR , 0.3 , 1
HARYANATEX , 0.1 , 1
