security_name, split_count, bonus_count, buyback_count, dividend_count, total_count
ABAN , - , - , - , 1 , 1
ABANSENT , - , 1 , - , - , 1
ABIRAFN , - , - , - , 1 , 1
ACCEL , - , - , - , 1 , 1
ACEWIN , - , 1 , - , - , 1
ADANIGAS , - , - , - , 1 , 1
ADMANUM , - , - , - , 1 , 1
ADROITINFO , - , - , - , 1 , 1
ADSDIAG , - , - , - , 1 , 1
ADVIKCA , 1 , - , - , - , 1
AGIIL , - , - , - , 1 , 1
AKSHOPTFBR , - , - , - , 1 , 1
ALBK , - , - , - , 1 , 1
AMALGAM , 1 , - , - , - , 1
AMFL , - , 1 , - , - , 1
AMFORG , - , - , 1 , - , 1
ANTARIKSH , - , 1 , - , - , 1
ANUP , - , - , - , 1 , 1
APOLLO , - , - , - , 1 , 1
APOLLOPIPES , - , - , - , 1 , 1
ARCHIES , - , - , - , 1 , 1
AREYDRG , - , - , - , 1 , 1
ARL , - , - , - , 1 , 1
ARVSMART , - , - , - , 1 , 1
ASHARI , - , 1 , - , - , 1
ASHFL , - , 1 , - , - , 1
ASHIKACR , - , - , - , 1 , 1
ASISL , 1 , - , - , - , 1
ASTRAZEN , - , - , - , 1 , 1
ATHARVENT , - , 1 , - , - , 1
ATLASCYCLE , 1 , - , - , - , 1
ATREYA , - , 1 , - , - , 1
AUSTENG , - , - , - , 1 , 1
AUSTENG-B , - , - , - , 1 , 1
AUTOINT , - , 1 , - , - , 1
AVL , - , - , - , 1 , 1
BAJAJCON , - , - , - , 1 , 1
BALLARPUR , - , - , - , 1 , 1
BAMPSL , - , 1 , - , - , 1
BANKINDIA , - , - , - , 1 , 1
BCP , 1 , - , - , - , 1
BCPAL , 1 , - , - , - , 1
BCPL , - , - , - , 1 , 1
BENARA , - , - , - , 1 , 1
BESTEAST , - , - , - , 1 , 1
BFLAFL , - , - , - , 1 , 1
BHAGYNAGAR , - , - , - , 1 , 1
BHARATAGRI , - , - , - , 1 , 1
BHARATGEAR , - , - , - , 1 , 1
BHATIA , - , 1 , - , - , 1
BIHARCAU , - , - , - , 1 , 1
BILENERGY , - , 1 , - , - , 1
BINANIIND , - , - , - , 1 , 1
BKMINDST , - , - , - , 1 , 1
BLOOM , - , - , - , 1 , 1
BLUBLND-B , - , - , - , 1 , 1
BLUECLOUDS , 1 , - , - , - , 1
BLUESTINFO , - , - , - , 1 , 1
BMAL , - , - , - , 1 , 1
BNL , - , 1 , - , - , 1
BOMBWIR , 1 , - , - , - , 1
BTSYN , - , 1 , - , - , 1
BUTTERFLY , - , - , - , 1 , 1
CAPF , - , - , - , 1 , 1
CAREERP , - , - , - , 1 , 1
CATVISION , - , - , - , 1 , 1
CCLINTER , - , - , - , 1 , 1
CENLUB , - , - , - , 1 , 1
CENTRALBK , - , - , - , 1 , 1
CESL , - , 1 , - , - , 1
CHANDRAP , - , - , - , 1 , 1
CHDCHEM , - , - , - , 1 , 1
CHDDLTD , - , - , - , 1 , 1
CINELINE , - , - , - , 1 , 1
CITIZYN , 1 , - , - , - , 1
CITURGIA , 1 , - , - , - , 1
CLEDUCATE , - , - , - , 1 , 1
CMAHENDRA , - , 1 , - , - , 1
CORAGRO , - , - , - , 1 , 1
CORPBANK , - , - , - , 1 , 1
COSCO , - , - , - , 1 , 1
DALBHARAT , - , - , - , 1 , 1
DALMIASUG , - , - , - , 1 , 1
DANLAW , - , - , 1 , - , 1
DANUBE , 1 , - , - , - , 1
DARJEELING , - , - , - , 1 , 1
DCAL , - , - , - , 1 , 1
DENABANK , - , - , - , 1 , 1
DENISCHEM , - , - , - , 1 , 1
DHABRIYA , - , 1 , - , - , 1
DHINDIA , - , - , - , 1 , 1
DIAMINES , - , - , - , 1 , 1
DIGISPICE , - , - , - , 1 , 1
DILIGENT , 1 , - , - , - , 1
DISHTV , - , - , - , 1 , 1
DSSL , - , - , - , 1 , 1
DYNAMATECH , - , - , - , 1 , 1
ECORECO , - , 1 , - , - , 1
EKAMLEA , 1 , - , - , - , 1
ELFTRDG , - , - , - , 1 , 1
EMCO , - , - , - , 1 , 1
EML , - , - , - , 1 , 1
ENCASH , - , - , - , 1 , 1
ERIS , - , - , 1 , - , 1
ESTER , - , - , - , 1 , 1
EVANS , - , - , - , 1 , 1
EVERESTO , - , - , - , 1 , 1
EXCAST , - , - , - , 1 , 1
EXCEL , - , 1 , - , - , 1
FAZE3Q , - , - , - , 1 , 1
FERMENTA , 1 , - , - , - , 1
FILATEX , 1 , - , - , - , 1
FINEYE , - , - , - , 1 , 1
FLEXITUFF , - , - , - , 1 , 1
FRONTSP , - , - , - , 1 , 1
FULFORD , - , - , - , 1 , 1
GAL , 1 , - , - , - , 1
GENPHARMA , 1 , - , - , - , 1
GGENG , - , 1 , - , - , 1
GLOSTERLTD , - , - , - , 1 , 1
GODREJPROP , - , - , - , 1 , 1
GOLDLINE , 1 , - , - , - , 1
GPIL , - , - , - , 1 , 1
GSBFIN , - , - , - , 1 , 1
GUJAUTO , - , - , - , 1 , 1
GUJCOTEX , 1 , - , - , - , 1
HAL , - , - , - , 1 , 1
HANMAN , - , 1 , - , - , 1
HARYANATEX , - , - , - , 1 , 1
HILTON , - , - , - , 1 , 1
HINDADH , - , - , - , 1 , 1
HIRECT , - , - , - , 1 , 1
IBULISL , - , - , - , 1 , 1
ICICIGOLD , 1 , - , - , - , 1
IDBI , - , - , - , 1 , 1
IDFCFIRSTB , - , - , - , 1 , 1
IITL , - , - , - , 1 , 1
INDICAP , - , - , - , 1 , 1
INDOUS , - , 1 , - , - , 1
INDTERRAIN , 1 , - , - , - , 1
INTENTECH , - , - , - , 1 , 1
INTLCOMB , - , - , - , 1 , 1
INTLCOMBQ , - , - , - , 1 , 1
INVENTURE , - , - , - , 1 , 1
INVPREC , - , - , - , 1 , 1
IPRINGLTD , - , - , - , 1 , 1
ISLCONSUL , 1 , - , - , - , 1
ISTLTD , 1 , - , - , - , 1
IYKOTHITE , - , - , - , 1 , 1
JACKSON , 1 , - , - , - , 1
JDML , - , 1 , - , - , 1
JETINFRA , - , 1 , - , - , 1
JETKING , - , - , - , 1 , 1
JIGAR , - , - , - , 1 , 1
JMDVL , - , - , - , 1 , 1
JUMPNET , - , - , - , 1 , 1
KAJARIR , 1 , - , - , - , 1
KAMAHOLD , - , - , - , 1 , 1
KANCOTEA , - , - , - , 1 , 1
KAPASHI , - , 1 , - , - , 1
KAUSAMBI , 1 , - , - , - , 1
KBIL , - , - , - , 1 , 1
KCDGROUP , 1 , - , - , - , 1
KDML , 1 , - , - , - , 1
KEDIACN , 1 , - , - , - , 1
KELLTONTEC , - , 1 , - , - , 1
KHOOBSURAT , 1 , - , - , - , 1
KIRIINDUS , - , - , - , 1 , 1
KLRF , - , - , - , 1 , 1
KOTAKNIFTY , - , - , - , 1 , 1
KPITTECH , - , - , - , 1 , 1
KRETTOSYS , - , 1 , - , - , 1
LANCER , - , 1 , - , - , 1
LESHAIND , 1 , - , - , - , 1
LIBERTSHOE , - , - , - , 1 , 1
LKPSEC , - , - , - , 1 , 1
LLOYDSME , 1 , - , - , - , 1
LOOKS , - , 1 , - , - , 1
LOYAL , - , 1 , - , - , 1
LYCOS , - , - , - , 1 , 1
MAHABANK , - , - , - , 1 , 1
MAHAVIRIND , 1 , - , - , - , 1
MALAR , - , - , - , 1 , 1
MANDHANA , - , - , - , 1 , 1
MANGALAM , - , - , - , 1 , 1
MANGIND , 1 , - , - , - , 1
MANVIJAY , - , 1 , - , - , 1
MAXHEIGHTS , - , - , - , 1 , 1
MAXIMUS , - , 1 , - , - , 1
MEDICAME , - , - , - , 1 , 1
MEDICAMEQ , - , - , - , 1 , 1
METROGLOBL , - , - , 1 , - , 1
MFLINDIA , 1 , - , - , - , 1
MKEXIM , - , - , - , 1 , 1
MMLF , - , 1 , - , - , 1
MOHITIND , - , - , - , 1 , 1
MORARKFI , - , - , - , 1 , 1
MSRINDIA , - , - , - , 1 , 1
MUDUNURU , 1 , - , - , - , 1
MUKTAARTS , - , - , - , 1 , 1
NATNLSTEEL , - , - , - , 1 , 1
NEGOTIUM , 1 , - , - , - , 1
NELCO , - , - , - , 1 , 1
NEOGEN , - , - , - , 1 , 1
NETLINK , - , - , 1 , - , 1
NGLFINE , - , - , - , 1 , 1
NH , - , - , - , 1 , 1
NIDL , - , - , - , 1 , 1
NITINFIRE , - , - , - , 1 , 1
