security_name, buyback_share, buyback_count
CLNINDIA , - , 1
SDL , - , 1
SEAMECLTD , - , 1
BOROSIL , - , 1
HIMGRANI , - , 1
INFRATEL , - , 1
SUNPHARMA , - , 1
DISAQ , - , 1
LAXMIMACH , - , 1
ALLCARGO , - , 1
VTL , - , 1
INFINITE , - , 1
HEXAWARE , - , 1
APARINDS , - , 1
GAEL , - , 1
WELENT , - , 1
TECHNO , - , 1
MARATHON , - , 1
INDGELA , - , 1
RGL , - , 1
CHEVIOT , - , 1
TTKPRESTIG , - , 1
ENGINERSIN , - , 1
NUCLEUS , - , 1
MINDTREE , - , 1
AMFORG , - , 1
VINATIORGA , - , 1
INFY , - , 1
JENBURPH , - , 1
DANLAW , - , 1
LOVABLE , - , 1
ZSARACOM , - , 1
SWARAJENG , - , 1
SJVN , - , 1
ORBTEXP , - , 1
ELEMARB , - , 1
PIDILITIND , - , 1
UNICHEMLAB , - , 1
ALEMBICLTD , - , 1
PAUSHAKLTD , - , 1
MANORG , - , 1
NETLINK , - , 1
AKZOINDIA , - , 1
GOLDCORP , - , 1
DBCORP , - , 1
WEIZFOREX , - , 1
REDINGTON , - , 1
KIOCL , - , 1
LT , - , 1
COCHINSHIP , - , 1
BHEL , - , 1
KGDENIM , - , 1
IOC , - , 1
TRITURBINE , - , 1
TECHNOE , - , 1
ONGC , - , 1
TATAINVEST , - , 1
HEG , - , 1
SHANTIGEAR , - , 1
AJANTPHARM , - , 1
IEX , - , 1
MONTECARLO , - , 1
TECHM , - , 1
PBMPOLY , - , 1
EXPLEOSOL , - , 1
METROGLOBL , - , 1
ZENIFIB , - , 1
GLANCE , - , 1
QUICKHEAL , - , 1
GEECEE , - , 1
TRIVENI , - , 1
SHK , - , 1
ADANIPORTS , - , 1
STARCEMENT , - , 1
WELCORP , - , 1
GREAVESCOT , - , 1
ERIS , - , 1
ACGL , - , 1
FRSHTRP , - , 1
NIITLTD , - , 1
BAYERCROP , - , 2
VYAPAR , - , 2
JUSTDIAL , - , 2
TIIL , - , 2
SOBHA , - , 2
NOVARTIND , - , 2
NATIONALUM , - , 2
MOIL , - , 2
NMDC , - , 2
MAYURUNIQ , - , 2
BOSCHLTD , - , 2
COALINDIA , - , 2
BEL , - , 2
RSYSTEMINT , - , 2
AARTIIND , - , 2
NAVNETEDUL , - , 2
DHANUKA , - , 2
NLCINDIA , - , 2
NHPC , - , 2
JAGRAN , - , 2
MPHASIS , - , 2
OIL , - , 2
SKFINDIA , - , 2
TCS , - , 2
HCLTECH , - , 2
JBCHEPHARM , - , 2
KSCL , - , 2
SKPSEC , - , 2
SHERVANI , - , 2
TULIVE , - , 2
FRONTSEC , - , 2
JAMESWARREN , - , 2
GANDHITUBE , - , 2
SOTL , - , 2
FDC , - , 2
SASKEN , - , 3
SMARTLINK , - , 3
WIPRO , - , 3
BABA , - , 3
ECLERX , - , 3
AARTIDRUGS , - , 3
KPRMILL , - , 3
BALRAMCHIN , - , 3
