Thomas cook , 1
Basf , 1
Zee learn , 1
Tifin , 1
Greenlam industries , 1
Lalpathlab , 1
Ubl , 1
Kotak mahindra bank , 1
Godrej consumer prod , 2
Icici lombard , 2
Rajeshexpo , 2
Tube investments , 2
Pvr , 2
Itdc ltd , 2
Flfl , 2
Aegis logistics , 2
Jublfood , 2
Relaxo footwears , 2
Whirlpool , 3
Mrf , 3
Carboruniv , 4
Hdfc standard life , 4
Prestige , 4
Cipla , 4
Glenmark pharma , 4
Ncc , 4
Asahiindia , 4
Trent , 4
Century plyboards , 4
Cox&kings , 4
Adani enterprises , 4
Tiindia , 4
Titan , 5
Varun beverages , 5
Emami , 5
Srtransfin , 5
Bse , 5
Hudco ltd , 6
Aurobindo pharma , 6
Talwalkars , 6
Amarajabat , 6
Kajaria ceramics , 6
Eih , 7
Niacl , 7
Voltas , 7
Sobha , 7
Nbcc , 7
Bata , 7
Berger paints , 7
Colpal , 8
Ambuja cements , 8
Dabur , 9
Pidilite , 9
Hindalco industries , 9
Kansainer , 9
Naukri , 9
Castrol , 9
Balkrisind , 9
Bel , 9
Avanti feeds , 9
Skf , 10
Brigade , 10
Nmdc , 10
Axis bank , 10
Hindustan zinc , 10
Gillette , 10
Ceat , 11
Jsw steel , 11
Acc , 11
Nilkamal , 11
Lichsgfin , 12
Exide industries , 12
Crisil , 12
Bhel , 12
Hsil , 12
Cera sanitaryware , 12
Ttk prestige , 12
Tvs motor company , 13
Petronet lng , 13
M&m , 13
Siemens , 14
Tatacoffee , 14
Supreme industries , 15
Vsttillers , 15
Coromandel , 15
Bluedart , 15
Apollo tyres , 15
Tata power , 16
Indhotel , 16
Concor , 16
Tataglobal , 16
Bayer , 17
Jk tyre and industri , 17
Vip industries , 18
Rallis , 18
Asianpaint , 18
Piramal enterprises , 21
Akzo nobel , 22
Engineers , 22
Zeel , 22
Tatachem , 22
Britannia industries , 22
Wipro , 22
Ibulhsgfin , 23
Dlf , 24
Cummins , 24
Marico , 25
Icici bank , 25
Pghh , 27
Icra , 27
Ultratech cement , 30
Monsanto , 30
Apollohosp , 30
Icicipruli , 31
Care ratings , 34
Interglobe aviation , 34
Puravankara , 36
Muthootfin , 40
Lupin , 45
Nhpc , 45
Gail , 46
Hindustan unilever , 48
Nestle , 48
Upl , 49
Nlc , 50
Sunpharma , 52
Asian paints , 53
Bajaj auto , 55
Hindunilvr , 60
Page industries , 60
Bharat petroleum , 70
Powergrid corporatio , 71
Hcl technologies , 72
Maruti suzuki , 75
Reliance industries , 77
Lt , 84
Hero motocorp , 85
Hindustan petroleum , 89
Powergrid , 97
Bharti airtel , 101
Recltd , 104
Dividend , 110
Oil india ltd , 117
Indian oil corpn , 117
Ongc , 128
Power finance corpor , 132
Hdfc , 133
Nationalum , 160
Mothersumi , 161
Itc , 162
Hdfcbank , 198
Ntpc , 208
Tcs , 388
Coal , 512
Vedanta , 778
total dividend amount:  , 6198
total dividend entries: , 206
total companies count:  , 155
