comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
BALKRISIND,-,80,-,-,-,-,6,6,-,-,6,-,98
BALRAMCHIN,-,-,-,-,-,-,-,-,-,-,45,-,45
BANDHAN BANK,-,-,-,-,-,-,6,-,-,-,-,-,6
BASF,-,-,-,-,-,-,10,-,-,-,-,-,10
BATA,-,-,-,-,-,-,-,31,-,-,-,-,31
BAYER,-,-,-,-,-,-,18,-,-,-,-,-,18
BAYER_FRAC_PYMT__MIL,-,-,-,-,-,-,-,-,-,-,-,1203,1203
BEL,-,32,-,9,-,-,-,-,-,39,-,-,80
BERGER PAINTS ,-,-,22,-,-,-,-,22,-,-,-,-,44
BHARAT DYNAMICS,-,-,131,15,-,-,-,-,-,5,-,-,151
BHARAT FORGE,-,-,20,-,-,-,-,-,-,-,-,-,20
BHARAT PETROLEUM,-,-,132,-,-,-,-,-,64,-,-,-,196
BHARTI INFRATEL,-,-,-,-,52,-,-,25,-,-,-,19,96
BHEL,-,-,-,-,-,-,-,-,-,49,-,-,49
BIOCON,-,-,-,-,-,-,-,2,-,-,-,-,2
BLUE STAR,-,-,30,-,-,-,-,30,-,-,-,-,60
BLUEDART,-,-,-,-,-,-,-,37,-,-,-,-,37
BOROSIL GLASS WORKS,7,-,-,-,-,-,-,-,-,-,-,-,7
BOSCH,-,-,-,-,-,-,-,105,-,-,-,-,105
BRIGADE,-,-,18,-,-,-,-,24,-,-,-,-,42
BRITANNIA INDUSTRIES,-,-,-,-,-,-,-,60,-,-,-,-,60
BSE,-,-,-,-,-,-,125,-,-,-,-,-,125
CADILA HEALTHCARE,-,-,63,-,-,-,-,17,-,-,-,-,80
CARBORUNIV,-,-,60,-,-,-,-,8,-,-,-,-,68
CARE RATINGS,-,60,-,-,-,-,-,30,-,120,80,-,290
CASTROL,-,-,-,-,52,-,-,172,-,-,-,-,224
CDSL,-,-,-,-,-,-,-,-,28,-,-,-,28
CEATLTD,-,-,72,-,-,-,-,36,-,-,-,-,108
CENTURY PLYBOARDS,-,-,45,-,-,-,-,-,45,-,-,-,90
CERA SANITARYWARE,-,39,-,-,-,-,-,13,-,-,-,-,52
CHAMBAL FERTILISERS,-,-,-,-,-,-,-,-,-,26,-,-,26
CHOLAMANDALAM FINANC,-,-,2,-,-,-,-,2,-,-,-,-,4
CHOLAMANDALAM INVEST,-,-,3,-,-,-,-,2,-,-,-,5,10
CIPLA,-,-,24,-,-,-,-,18,-,-,-,-,42
COAL,-,-,1440,-,-,-,-,-,-,-,-,-,1440
COLPAL,-,-,-,14,-,16,-,-,-,-,24,-,54
CONTAINER,-,7,-,-,-,-,-,-,42,-,-,-,49
COROMANDEL,-,-,-,-,-,-,24,-,-,-,-,-,24
CRISIL,-,-,-,22,12,-,-,42,-,-,49,-,125
CROMPTON,-,-,-,-,-,-,18,-,-,-,-,-,18
CUMMINS,-,119,-,-,-,-,-,-,40,-,-,-,159
DABUR,-,-,-,-,-,-,-,-,15,-,14,-,29
DCM SHRIRAM,-,63,-,-,-,-,-,4,-,-,12,-,79
DELTA,3,-,21,-,-,-,2,-,-,-,-,-,26
DLF,-,12,-,-,-,-,-,20,-,-,-,-,32
DRREDDY,-,-,-,-,-,-,-,40,-,-,-,-,40
EICHER MOTORS,-,-,125,-,-,-,-,125,-,-,-,-,250
EID PARRY,-,-,-,11,-,-,-,-,-,-,-,-,11
EIH,-,-,-,-,-,-,-,18,-,-,-,-,18
EMAMI,-,-,78,-,-,-,-,28,-,-,14,-,120
ENDURANCE TECHNOLOGI,-,-,-,-,-,-,-,5,-,-,-,-,5
ENGINERSIN,-,334,-,-,-,-,-,-,-,12,-,-,346
ENTERTAINMENT NETWOR,-,-,-,-,-,-,-,2,-,-,-,-,2
ESSEL PROPACK,-,-,-,-,-,-,17,-,-,-,17,-,34
EXIDE INDUSTRIES,-,-,135,-,-,-,-,7,-,-,86,-,228
FLFL,-,-,-,-,-,-,-,8,-,-,-,-,8
FUTURE SUPPLY CHAIN,-,-,-,-,-,-,-,2,-,-,-,-,2
GAIL,-,499,-,-,-,-,-,-,15,-,-,-,514
GENERAL INSURANCE,-,-,-,-,-,-,-,-,54,-,-,-,54
GILLETTE,-,-,-,-,-,-,-,-,-,-,-,25,25
GLAXO,-,-,-,-,-,-,40,-,-,-,-,-,40
GLENMARK,-,-,-,-,-,-,-,-,-,8,-,-,8
GODFREY PHILLIPS IND,-,-,48,-,-,-,-,-,20,-,-,-,68
GODREJ AGROVET,-,-,-,-,-,-,-,18,-,-,-,-,18
GODREJ CONSUMER PROD,-,6,-,-,6,-,-,6,-,-,-,-,18
GODREJ INDUSTRIES,-,-,-,-,-,-,-,4,-,-,-,-,4
GOODYEAR,-,-,-,-,-,-,-,13,-,-,-,-,13
GRASIM INDUSTRIES,-,-,-,-,-,-,-,14,-,-,-,-,14
GREENLAM INDUSTRIES,-,-,8,-,-,-,-,6,-,-,-,-,14
GREENPLY INDUSTRIES,-,-,-,-,-,-,-,-,-,2,-,-,2
GRINDWELL,-,-,-,-,-,-,30,-,-,-,-,-,30
GSKCONS,-,-,-,-,-,-,-,105,-,-,-,-,105
HAL,-,-,698,19,-,-,-,-,-,-,-,-,717
HAT,-,-,4,-,4,-,4,-,-,-,-,-,12
HAVELLS,-,-,68,-,-,-,22,-,-,-,-,-,90
HCL TECHNOLOGIES,-,28,-,-,14,-,-,14,-,-,14,-,70
HDFC,-,-,-,-,-,-,-,157,-,-,-,-,157
HDFC BANK,-,-,-,-,-,-,285,95,-,-,-,-,380
HDFCAMC,-,-,-,-,-,-,156,-,-,-,-,-,156
HEIDELBERG,-,-,-,-,-,-,-,-,24,-,-,12,36
HERO MOTOCORP,-,455,-,-,-,-,-,96,-,-,-,-,551
HINDALCO INDUSTRIES,-,-,-,-,-,-,-,-,16,-,-,-,16
HINDUNILVR,-,-,-,-,-,-,104,-,-,-,88,-,192
HINDUSTAN PETROLEUM,-,-,-,-,-,-,-,112,-,-,-,-,112
HONEYWELL,-,-,-,-,-,-,-,45,-,-,-,-,45
HSIL,-,-,-,-,-,-,-,-,18,-,-,-,18
HUDCO,-,-,99,-,-,-,-,-,-,4,-,-,103
IBULHSGFIN,-,-,-,-,20,-,-,16,-,-,14,-,50
ICICI BANK,-,-,-,-,-,-,-,19,-,-,-,-,19
ICICI LOMBARD,-,-,-,-,-,14,-,-,-,-,14,-,28
ICICI SECURITIES,-,-,-,-,-,-,-,22,-,-,17,-,39
ICICIPRULI,-,-,-,-,-,-,-,13,-,-,7,-,20
ICRA,-,-,-,-,-,-,-,-,-,90,-,-,90
IIFLSEC,-,4,-,-,-,-,-,-,-,-,-,-,4
IIFLWAM,317,-,-,-,-,-,-,-,-,-,-,-,317
INDHOTEL,-,-,-,-,-,32,-,-,-,-,-,-,32
INDIAN OIL,-,-,833,-,-,-,-,-,20,-,-,-,853
INDRAPRASTHA GAS,-,-,-,-,-,-,-,-,-,9,-,-,9
INDUSIND BANK,-,-,-,-,-,-,-,7,-,-,-,-,7
INFO EDGE,-,10,-,-,-,-,-,6,-,-,7,-,23
INFY,-,-,-,-,-,252,-,-,-,312,-,-,564
INTERGLOBE AVIATION,-,-,-,-,-,-,-,15,-,-,-,-,15
ITC,-,-,-,-,-,-,253,-,-,-,-,-,253
JCHAC,-,-,-,-,-,-,-,1,-,-,-,-,1
JK TYRE AND INDUSTRI,-,-,-,-,-,-,-,39,-,-,-,-,39
JSW STEEL,-,-,-,-,-,-,53,-,-,-,-,-,53
JUBLFOOD,-,-,24,-,-,-,-,-,20,-,-,-,44
KAJARIA CERAMICS,-,54,-,-,-,-,-,-,15,-,-,-,69
KANSAINER,-,-,-,-,-,18,-,-,-,-,-,-,18
KAVERI SEED COMPANY,-,-,-,-,-,-,-,-,12,-,-,-,12
KOTAK MAHINDRA BANK,-,-,-,-,-,-,1,-,-,-,-,-,1
KRBL,-,-,14,-,-,-,-,-,12,-,-,-,26
KSB,-,-,-,-,18,-,-,-,-,-,-,-,18
L&TFH,-,-,50,-,-,-,-,6,-,-,-,-,56
LA OPALA RG,-,-,14,-,-,-,-,-,-,-,-,-,14
LALPATHLAB,-,-,12,-,-,-,-,7,-,-,12,-,31
LICHSGFIN,-,-,-,-,-,-,-,38,-,-,-,-,38
LT,-,-,280,-,-,-,-,144,-,-,-,-,424
LTI,-,-,-,-,-,-,16,-,-,-,13,-,29
LTTS,-,-,-,-,-,-,13,-,-,-,7,-,20
LUPIN,-,-,-,-,-,-,-,35,-,-,-,-,35
M&M,-,-,-,-,-,-,32,51,-,-,-,-,83
MAHINDRA LOGISTICS,-,-,-,-,-,-,-,3,-,-,-,-,3
MANAPPURAM,-,9,9,-,-,9,-,-,9,-,-,9,45
MARICO,-,98,23,-,-,-,-,-,-,-,28,-,149
MARUTI SUZUKI ,-,-,-,-,-,-,-,240,-,-,-,-,240
MCX,-,-,-,-,-,-,-,-,20,-,-,-,20
MONSANTO,-,-,-,-,-,-,50,-,-,-,-,-,50
MOTHERSUMI,-,-,22,-,-,-,-,22,-,-,-,-,44
MRF,-,-,-,-,-,-,-,54,-,-,3,-,57
MUTHOOTFIN,-,-,90,72,-,-,-,-,-,-,-,-,162
NARAYANA HRUDAYALAYA,-,-,12,-,-,-,-,12,-,-,-,-,24
NATIONALUM,-,-,312,-,-,-,-,-,-,60,-,-,372
NBCC,-,-,-,-,-,-,-,-,-,24,-,-,24
NCC,-,-,-,-,-,-,-,-,31,-,-,-,31
NESTLE,-,-,-,-,48,-,-,203,-,-,-,55,306
NHPC,-,-,94,-,-,-,-,-,-,60,-,-,154
NIACL,-,-,-,-,-,-,-,-,13,-,-,-,13
NILKAMAL,-,-,70,-,-,-,18,-,-,-,35,-,123
NLC,-,-,169,-,-,-,-,-,-,-,-,-,169
NMDC,-,-,148,155,-,-,-,-,-,-,-,-,303
NTPC,-,-,122,-,105,-,-,-,145,-,-,-,372
OIL,-,90,-,-,-,-,-,17,-,-,-,-,107
ONGC,-,-,965,32,-,-,-,-,24,-,-,-,1021
PAGE INDUSTRIES,-,58,-,-,-,41,-,51,-,-,52,-,202
PAPERPROD,-,-,-,-,9,-,-,-,-,-,-,-,9
PETRONET LNG,-,-,-,-,-,-,-,-,63,-,77,-,140
PFIZER,-,-,-,-,-,-,-,45,-,-,-,-,45
PGHH,-,-,-,-,-,-,-,-,-,-,-,48,48
PI INDUSTRIES,-,-,6,-,-,-,-,-,3,-,-,-,9
PIDILITIND,-,-,21,-,-,-,-,19,-,-,-,-,40
PIRAMAL ENTERPRISES,-,-,-,-,-,-,-,56,-,-,-,-,56
POWER FINANCE,-,-,256,-,-,-,-,-,-,-,-,-,256
POWERGRID,-,-,691,-,-,-,-,-,87,-,-,-,778
PRESTIGE,-,-,13,-,-,-,-,-,-,13,-,-,26
PURVA,-,-,-,-,-,-,-,-,-,23,-,-,23
PVR,-,-,12,-,-,-,6,-,-,-,-,-,18
QUESS,302,-,-,-,-,-,-,-,-,-,-,-,302
RAJESHEXPO,-,-,-,-,-,-,-,-,-,5,-,-,5
RALLIS,-,-,-,-,-,-,42,-,-,-,-,-,42
RECLTD,-,385,-,-,-,-,-,-,-,-,-,-,385
RELAXO FOOTWEARS,-,-,12,-,-,-,-,-,9,-,-,-,21
RELIANCE INDUSTRIES,-,-,-,-,-,-,-,104,-,-,-,-,104
SANOFI,-,-,-,-,66,-,-,-,-,-,-,-,66
SBILIFE,-,-,-,8,-,-,-,-,-,-,-,-,8
SCHAEFFLER,-,-,-,-,30,-,-,-,-,-,-,-,30
SHREE CEMENT,-,110,-,-,-,-,-,35,-,-,-,-,145
SIEMENS,-,21,-,-,-,-,-,-,-,-,-,-,21
SIS,-,-,4,-,-,-,3,-,-,-,-,-,7
SKF,-,-,-,-,-,-,24,-,-,-,-,-,24
SOBHA,-,-,-,-,-,-,-,42,-,-,-,-,42
SOMANY CERAMICS,-,-,-,-,-,-,-,8,-,-,-,-,8
SRTRANSFIN,-,-,-,-,-,-,14,-,-,-,10,-,24
SUNDARMFIN,-,-,21,-,-,-,13,-,-,-,-,-,34
SUNPHARMA,-,87,-,-,-,-,-,46,-,-,-,-,133
SUPREME INDUSTRIES,-,-,20,-,-,-,18,-,-,-,8,-,46
SYMPHONY,-,100,-,-,-,-,-,-,-,-,-,-,100
TATACHEM,-,-,-,-,-,-,50,-,-,-,-,-,50
TATACOFFEE,-,-,-,-,-,39,-,-,-,-,-,-,39
TATACONSUM,-,-,-,-,-,42,-,-,-,-,-,-,42
TATAELXSI,-,-,-,-,-,-,13,-,-,-,-,-,13
TATAINVEST,-,-,-,-,-,-,-,40,-,-,-,-,40
TATAPOWER,-,-,-,-,-,32,-,-,-,-,-,-,32
TATASTEEL,-,-,-,-,-,-,182,-,-,-,-,-,182
TCS,85,-,264,-,-,306,85,-,-,765,-,-,1505
TECH MAHINDRA,-,-,70,-,-,-,-,98,-,-,-,-,168
THE ANUP ENGINEERING,-,-,-,-,-,-,-,-,-,88,-,-,88
THOMASCOOK,-,-,-,-,-,-,-,5,-,-,-,-,5
THYROCARE TECHNOLOGI,-,-,-,-,-,-,-,-,40,-,10,-,50
TIINDIA,-,-,35,-,-,-,7,-,-,-,-,-,42
TITAN,-,-,-,-,-,-,-,35,-,-,-,-,35
TRENT,-,-,-,-,-,-,-,9,-,-,-,-,9
TTK PRESTIGE,-,-,-,-,-,-,1383,30,-,-,-,-,1413
TVSSRICHAK,-,-,60,-,-,-,-,-,40,-,-,-,100
UBL,-,-,-,-,-,-,-,-,7,-,-,-,7
UFLEX,-,-,-,-,-,-,-,16,-,-,-,-,16
ULTRATECH CEMENT,-,-,-,-,-,-,46,-,-,-,-,-,46
UPL,-,-,-,-,-,-,-,271,56,-,-,-,327
V GUARD INDUSTRIES,-,-,-,-,-,-,7,-,-,-,-,-,7
VEDANTA,-,-,202,-,-,-,-,-,-,-,-,-,202
VENKEYS,-,-,-,-,-,-,-,-,-,16,-,-,16
VGUARD INDUSTRIES,-,-,44,-,-,-,-,-,-,-,-,-,44
VIP INDUSTRIES,-,35,-,-,-,-,-,22,-,-,-,-,57
VOLTAS,-,-,-,-,-,-,-,24,-,-,-,-,24
VRLLOG,-,30,-,-,-,-,-,20,-,-,40,-,90
VSTIND,-,-,-,-,-,-,-,-,95,-,-,-,95
VSTTILLERS,-,-,75,-,-,-,-,30,-,-,-,-,105
WABCO,-,-,-,-,-,-,-,9,-,-,-,-,9
WHIRLPOOL,-,-,-,-,-,-,-,10,-,-,-,-,10
WIPRO,-,33,-,-,-,-,-,-,-,-,-,-,33
WONDERLA,-,-,37,-,-,-,-,37,-,-,-,-,74
ZEEL,-,-,-,-,-,-,56,-,-,-,-,-,56
ZEELEARN,-,-,-,-,-,-,-,-,-,34,-,-,34
ZYDUS WELLNESS,-,-,5,-,-,-,-,5,-,-,-,-,10
Total,714,2862,9284,382,450,869,3476,3914,1200,1810,905,1413,-
