Name,Rating As on,MoatRating,ValuationRating,UncertaintyRating,FinancialHealthRating,ISIN,Symbol,U:17
ACC Ltd,19/07/2018,Narrow,Undervalued,High,Strong,INE012A01025,500410.0,
Adani Transmission Ltd,19/07/2018,Narrow,Undervalued,High,Moderate,INE931S01010,539254.0,
ABB India Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE117A01022,500002.0,
Accelya Kale Solutions Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE793A01012,532268.0,
Adani Ports &#38; Special Economic Zone Ltd,19/07/2018,Narrow,Fairly Valued,Medium,Moderate,INE742F01042,532921.0,
Aditya Birla Fashion and Retail Ltd,19/07/2018,Narrow,Fairly Valued,High,Moderate,INE647O01011,535755.0,
Aegis Logistics Ltd,19/07/2018,Narrow,Fairly Valued,High,Moderate,INE208C01025,500003.0,
Alembic Pharmaceuticals Ltd,19/07/2018,Narrow,Fairly Valued,High,Moderate,INE901L01018,533573.0,
Amrutanjan Health Care Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE098F01031,590006.0,
Atul Auto Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE951D01028,531795.0,
Axis Bank Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE238A01034,532215.0,
Cummins India Ltd,19/07/2018,Wide,Undervalued,High,Strong,INE298A01020,500480.0,
Ajanta Pharma Ltd,19/07/2018,Narrow,Undervalued,High,Moderate,INE031B01049,532331.0,
