ACC Ltd,19/07/2018,Narrow,Undervalued,High,Strong,INE012A01025,500410.0,
Adani Transmission Ltd,19/07/2018,Narrow,Undervalued,High,Moderate,INE931S01010,539254.0,
ABB India Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE117A01022,500002.0,
Accelya Kale Solutions Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE793A01012,532268.0,
Adani Ports &#38; Special Economic Zone Ltd,19/07/2018,Narrow,Fairly Valued,Medium,Moderate,INE742F01042,532921.0,
Aditya Birla Fashion and Retail Ltd,19/07/2018,Narrow,Fairly Valued,High,Moderate,INE647O01011,535755.0,
Aegis Logistics Ltd,19/07/2018,Narrow,Fairly Valued,High,Moderate,INE208C01025,500003.0,
Alembic Pharmaceuticals Ltd,19/07/2018,Narrow,Fairly Valued,High,Moderate,INE901L01018,533573.0,
Amrutanjan Health Care Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE098F01031,590006.0,
Atul Auto Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE951D01028,531795.0,
Axis Bank Ltd,19/07/2018,Narrow,Fairly Valued,High,Strong,INE238A01034,532215.0,
AIA Engineering Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE212H01026,532683.0,
Asian Paints Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE021A01026,500820.0,
Astral Poly Technik Ltd,19/07/2018,Wide,Overvalued,High,Moderate,INE006I01046,532830.0,
Avenue Supermarts Ltd,19/07/2018,Wide,Overvalued,Medium,Moderate,INE192R01011,540376.0,
Bajaj Finance Ltd,19/07/2018,Wide,Overvalued,High,Moderate,INE296A01024,500034.0,
Bata India Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE176A01028,500043.0,
Berger Paints India Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE463A01038,509480.0,
Bosch Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE323A01026,500530.0,
Britannia Industries Ltd,19/07/2018,Wide,Overvalued,Medium,Strong,INE216A01022,500825.0,
Colgate-Palmolive (India) Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE259A01022,500830.0,
CRISIL Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE007A01025,500092.0,
Crompton Greaves Consumer Electricals Lt...,19/07/2018,Wide,Overvalued,High,Moderate,INE299U01018,539876.0,
Cummins India Ltd,19/07/2018,Wide,Undervalued,High,Strong,INE298A01020,500480.0,
Dabur India Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE016A01026,500096.0,
Dr. Lal PathLabs Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE600L01024,539524.0,
Eicher Motors Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE066A01013,505200.0,
Emami Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE548C01032,531162.0,
Gillette India Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE322A01010,507815.0,
Godrej Consumer Products Ltd,19/07/2018,Wide,Overvalued,Medium,Strong,INE102D01028,532424.0,
Havells India Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE176B01034,517354.0,
HDFC Bank Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE040A01026,500180.0,
Hindustan Unilever Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE030A01027,500696.0,
Housing Development Finance Corp Ltd,19/07/2018,Wide,Overvalued,Medium,Moderate,INE001A01036,500010.0,
IndusInd Bank Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE095A01012,532187.0,
Infosys Ltd,19/07/2018,Wide,Overvalued,Low,Strong,INE009A01021,500209.0,
ITC Ltd,19/07/2018,Wide,Overvalued,Medium,Strong,INE154A01025,500875.0,
Jubilant Foodworks Ltd,19/07/2018,Wide,Overvalued,High,Moderate,INE797F01012,533155.0,
Kansai Nerolac Paints Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE531A01024,500165.0,
Kotak Mahindra Bank Ltd,19/07/2018,Wide,Overvalued,High,Strong,INE237A01028,500247.0,
Marico Ltd,19/07/2018,Wide,Overvalued,Medium,Strong,INE196A01026,531642.0,
3M India Ltd,19/07/2018,Narrow,Overvalued,High,Strong,INE470A01017,523395.0,
Aarti Industries Ltd,19/07/2018,Narrow,Overvalued,High,Moderate,INE769A01020,524208.0,
Abbott India Ltd,19/07/2018,Narrow,Overvalued,High,Strong,INE358A01014,500488.0,
Adi Rasayan Ltd,19/07/2018,Narrow,Overvalued,High,Moderate,INE861N01028,531592.0,
Ajanta Pharma Ltd,19/07/2018,Narrow,Undervalued,High,Moderate,INE031B01049,532331.0,
Akzo Nobel India Ltd,19/07/2018,Narrow,Overvalued,High,Strong,INE133A01011,500710.0,
Alkem Laboratories Ltd,19/07/2018,Narrow,Overvalued,High,Strong,INE540L01014,539523.0,
