"Company","Sector","Industry","ROE (%)","Operating Margin (%)","Free Cash Flow (Cr)","Debt Equity Ratio","Long-term Debt (Cr)","Networth (Cr)"
"3M India Ltd.","Services","Trading","29.3","20","296.8","0.01","13.8","1432.84"
"Aavas Financiers Ltd.","Financial","Housing Finance","11.79","73.76","-1318.09","2","3653.25","1837.02"
"ABB Ltd.","Engineering","Switching Equipment","13.42","9.42","248.91","0","6.92","4007.32"
"Abbott India Ltd.","Healthcare","Drugs & Pharma","24.66","19.52","589.17","0","0","2008.59"
"ACC Ltd.","Construction","Cement","15.19","14.8","1203.19","0","0","10531.9"
"Adani Enterprises Ltd.","Services","Trading","2.12","6.63","1040.48","0.76","11243.2","14755.94"
"Adani Gas Ltd.","Chemicals","Indl.Gases","21.6","31.49","66.18","0.36","393.97","1101.95"
"Adani Green Energy Ltd.","Engineering","Power Projects","-47.29","79.61","-2188.03","14.57","12235.83","840.01"
"Adani Ports and Special Economic Zone Ltd.","Services","Shipping","17.74","73.2","2509.5","1.12","27545.66","24538.2"
"Adani Power Ltd.","Engineering","Power Projects","-327.25","31.11","634.24","-191.09","54979.7","-287.71"
"Adani Transmission Ltd.","Engineering","Power Projects","12.65","42.62","89.79","2.5","20136.99","8042.88"
"Aditya Birla Capital Ltd.","Financial","Misc. Fin.services","6.58","34.76","-11805.17","5.88","54946.53","9512.35"
"Aditya Birla Fashion and Retail Ltd.","Services","Retailing","25.92","8.08","223.12","1.22","1702.86","1428.88"
"Advanced Enzyme Technologies Ltd.","FMCG","Food Processing","18.82","44.87","112.53","0.05","35.03","678.84"
"Aegis Logistics Ltd.","Services","Transport Support Services","19.4","6.75","393.51","0.17","238.75","1391.28"
"AIA Engineering Ltd.","Metals","Castings & Forgings","15.68","25.55","84.42","0.04","127.89","3513.71"
"Ajanta Pharma Ltd.","Healthcare","Drugs & Pharma","18.07","28.58","25.78","0.02","35.96","2245.21"
"Akzo Nobel India Ltd.","Chemicals","Paints & Varnishes","17.41","13.18","127.23","0","2.9","1136.3"
"Alembic Pharmaceuticals Ltd.","Healthcare","Drugs & Pharma","24","22.44","51.95","0.42","1128.43","2718.82"
"Alkem Laboratories Ltd.","Healthcare","Drugs & Pharma","15.02","16.34","295.19","0.17","944.07","5439.34"
"Allahabad Bank","Financial","Banking","-82.73","2.35","-27300.66","1.33","12495.68","16291.7"
"Allcargo Logistics Ltd.","Services","Transport Support Services","12.24","7.09","-57.98","0.3","598.24","1998.78"
"Amara Raja Batteries Ltd.","Engineering","Storage Batteries","14.49","14.7","31.73","0.02","58.43","3335.04"
"Ambuja Cements Ltd.","Construction","Cement","13.75","16.83","2028.57","0","39.68","22370.48"
"Andhra Bank","Financial","Banking","-24.63","2.89","-4882.88","0.83","10314.59","13331.72"
"Apar Industries Ltd.","Engineering","Electronic Equipts.","11.78","6.35","295.14","0.21","253.28","1202.37"
"APL Apollo Tubes Ltd.","Metals","Steel Tubes & Pipes","16.58","5.66","4.29","0.9","858.13","964.06"
"Apollo Hospitals Enterprise Ltd.","Healthcare","Health Services","6.07","11.39","-130","1.1","3671.28","3333.47"
"Apollo Tyres Ltd.","Automobile","Tyres & Tubes","6.86","11.96","-1350.13","0.49","4930.44","10039.82"
"Ashok Leyland Ltd.","Automobile","Commercial Vehicles","27.14","15.17","-5168.1","2.19","19167.91","8745.57"
"Ashoka Buildcon Ltd.","Construction","Construction","-13.02","29.84","-1420.09","21.07","6044.28","286.89"
"Asian Paints Ltd.","Chemicals","Paints & Varnishes","24.22","19.42","1023.57","0.07","627.03","9519.69"
"Aster DM Healthcare Ltd.","Healthcare","Health Services","12.16","11.6","-343.3","0.87","2788.44","3213.76"
"Astral Poly Technik Ltd.","Chemicals","Plastic tubes & pipes","18.1","15.97","88.27","0.23","275.26","1277.67"
"Astrazeneca Pharma India Ltd.","Healthcare","Drugs & Pharma","20.03","12.03","60.49","0","0","300.8"
"Atul Ltd.","Chemicals","Dyes & Pigments","17.42","19.85","198.87","0.02","54.67","2705.71"
"AU Small Finance Bank Ltd.","Financial","Misc. Fin.services","14.66","4.23","554.54","2.92","8613.36","3162.89"
"Aurobindo Pharma Ltd.","Healthcare","Drugs & Pharma","18.47","20.99","-39.61","0.5","6966.76","13890.78"
"Avanti Feeds Ltd.","FMCG","Marine Foods","27.39","13.29","218.65","0.01","9.34","1205.97"
"Avenue Supermarts Ltd.","Services","Retailing","17.71","8.41","-652.5","0.13","700.15","5587.45"
"Axis Bank Ltd.","Financial","Banking","7.65","2.96","24445.44","2.38","161249.83","67802.62"
"Bajaj Auto Ltd","Automobile","Two & Three Wheelers","20.97","21.6","3971.42","0.01","124.52","23233.81"
"Bajaj Consumer Care Ltd.","FMCG","Cosmetics & Toiletries","46.31","31.73","177.01","0.05","25","467.36"
"Bajaj Electricals Ltd.","Cons Durable","Domestic Electrical Applns.","15.81","6.06","-725.49","1.52","1589.98","1055.93"
"Bajaj Finance Ltd.","Financial","Hire Purchase","22.62","70.58","-30932.95","4.52","88394.84","19697.02"
"Bajaj Finserv Ltd.","Financial","Misc. Fin.services","24.29","35.02","5373.72","4.02","95615.28","23765.92"
"Bajaj Holdings & Investment Ltd.","Financial","Invest.Services","0.85","80.32","57.15","0","0","26952.3"
