Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
523411,KRONE,ADC India Communications Limited-$,06 Apr 2015,Interim Dividend - Rs. - 29.0000,07 Apr 2015,-,-,26 Mar 2015,06 Apr 2015,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,08 Apr 2015,Interim Dividend - Rs. - 8.0000,09 Apr 2015,-,-,30 Mar 2015,08 Apr 2015,-
500472,SKFINDIA,SKF India Ltd,08 Apr 2015,Final Dividend - Rs. - 2.5000,-,10 Apr 2015,13 Apr 2015,31 Mar 2015,09 Apr 2015,-
532523,BIOCON,BIOCON LTD.,09 Apr 2015,Interim Dividend - Rs. - 5.0000,10 Apr 2015,-,-,31 Mar 2015,09 Apr 2015,15 Apr 2015
531680,MAYUR,MAYUR LEATHER PRODUCTS LTD.,09 Apr 2015,Interim Dividend - Rs. - 0.5000,10 Apr 2015,-,-,31 Mar 2015,09 Apr 2015,-
532200,MYSOREBANK,STATE BANK OF MYSORE,09 Apr 2015,Interim Dividend - Rs. - 5.0000,10 Apr 2015,-,-,31 Mar 2015,09 Apr 2015,-
523537,APMIN,APM INDUSTRIES LTD.-$,13 Apr 2015,Interim Dividend - Rs. - 1.7000,15 Apr 2015,-,-,07 Apr 2015,13 Apr 2015,-
533297,KBIL,KIRLOSKAR BROTHERS INVESTMENTS LTD.,16 Apr 2015,Interim Dividend - Rs. - 20.0000,17 Apr 2015,-,-,09 Apr 2015,16 Apr 2015,29 Apr 2015
500674,SANOFI,Sanofi India Ltd,16 Apr 2015,Final Dividend - Rs. - 24.0000,-,18 Apr 2015,29 Apr 2015,10 Apr 2015,16 Apr 2015,08 May 2015
500674,SANOFI,Sanofi India Ltd,16 Apr 2015,Special Dividend - Rs. - 11.0000,-,18 Apr 2015,29 Apr 2015,10 Apr 2015,16 Apr 2015,08 May 2015
526263,MOLDTEK,MOLD-TEK TECHNOLOGIES LTD.,21 Apr 2015,Interim Dividend - Rs. - 2.0000,22 Apr 2015,-,-,15 Apr 2015,21 Apr 2015,12 May 2015
500092,CRISIL,CRISIL LTD.,23 Apr 2015,Interim Dividend - Rs. - 4.0000,24 Apr 2015,-,-,17 Apr 2015,23 Apr 2015,12 May 2015
509820,PAPERPROD,Huhtamaki PPL Limited,23 Apr 2015,Dividend - Rs. - 2.8000,-,25 Apr 2015,07 May 2015,20 Apr 2015,23 Apr 2015,15 May 2015
532281,HCLTECH,HCL TECHNOLOGIES LTD.,24 Apr 2015,Interim Dividend - Rs. - 4.0000,27 Apr 2015,-,-,20 Apr 2015,24 Apr 2015,05 May 2015
504959,STOVAC,STOVEC INDUSTRIES LTD.,24 Apr 2015,Final Dividend - Rs. - 15.5000,-,28 Apr 2015,07 May 2015,21 Apr 2015,27 Apr 2015,-
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,27 Apr 2015,Dividend - Rs. - 4.5000,-,29 Apr 2015,06 May 2015,22 Apr 2015,28 Apr 2015,-
