sr_no,name,isin,bse_symbol,nse_symbol,avg_mcap,captype
1,Reliance Industries Ltd,INE002A01018,RELIANCE,RELIANCE,548701,Large Cap
2,Tata Consultancy Services Ltd.,INE467B01029,TCS,TCS,490612,Large Cap
3,HDFC Bank Ltd.,INE040A01026,HDFCBANK,HDFCBANK,463159,Large Cap
4,ITC Ltd,INE154A01025,ITC,ITC,334933,Large Cap
5,Housing Development Finance Corp.Lt,INE001A01036,HDFC,HDFC,273829,Large Cap
6,"Hindustan Unilever Ltd.,",INE030A01027,HINDUNILVR,HINDUNILVR,265870,Large Cap
7,"State Bank Of India,",INE062A01020,SBIN,SBIN,252841,Large Cap
8,Maruti Suzuki India  Ltd.,INE585B01010,MARUTI,MARUTI,244675,Large Cap
9,Oil And Natural Gas Corporation Ltd,INE213A01029,ONGC,ONGC,220994,Large Cap
10,Infosys Ltd,INE009A01021,INFY,INFY,219122,Large Cap
11,Indian Oil Corporation Ltd.,INE242A01010,IOC,IOC,196336,Large Cap
12,ICICI Bank Ltd.,INE090A01021,ICICIBANK,ICICIBANK,191003,Large Cap
13,Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK,KOTAKBANK,190292,Large Cap
14,Bharti Airtel  Ltd.,INE397D01024,BHARTIARTL,BHARTIARTL,179315,Large Cap
15,Larsen & Toubro Limited,INE018A01030,LT,LT,165014,Large Cap
16,Coal India Limited,INE522F01014,COALINDIA,COALINDIA,163584,Large Cap
17,NTPC Limited,INE733E01010,NTPC,NTPC,142517,Large Cap
18,"Wipro  Ltd.,",INE075A01022,WIPRO,WIPRO,140724,Large Cap
19,Tata Motors Ltd.,INE155A01022,TATAMOTORS,TATAMOTORS,132933,Large Cap
20,"Hindustan Zinc Ltd.,",INE267A01025,HINDZINC,HINDZINC,126080,Large Cap
21,Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA,SUNPHARMA,125981,Large Cap
22,AXIS Bank Ltd.,INE238A01034,AXISBANK,AXISBANK,124368,Large Cap
23,HCL Technologies Ltd,INE860A01027,HCLTECH,HCLTECH,122448,Large Cap
24,UltraTech Cement Ltd,INE481G01011,ULTRACEMCO,ULTRACEMCO,113829,Large Cap
25,Vedanta Limited,INE205A01025,VEDL,VEDL,113169,Large Cap
26,Asian Paints Ltd.,INE021A01026,ASIANPAINT,ASIANPAINT,111441,Large Cap
27,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,POWERGRID,110578,Large Cap
28,"Bharat Petroleum Corpn. Ltd.,",INE029A01011,BPCL,BPCL,108295,Large Cap
29,IndusInd Bank Ltd.,INE095A01012,INDUSINDBK,INDUSINDBK,98856,Large Cap
30,Bajaj Finance Limited,INE296A01024,BAJFINANCE,BAJFINANCE,98744,Large Cap
31,Bajaj Auto Limited,INE917I01010,BAJAJ-AUTO,BAJAJ-AUTO,88189,Large Cap
32,Mahindra & Mahindra Ltd.,INE101A01026,M&M,M&M,85381,Large Cap
33,Eicher Motors Ltd.,INE066A01013,EICHERMOT,EICHERMOT,83070,Large Cap
34,Adani Ports and Special Economic Zone Ltd,INE742F01042,ADANIPORTS,ADANIPORTS,82272,Large Cap
35,Bajaj Finserv Limited,INE918I01018,BAJAJFINSV,BAJAJFINSV,81542,Large Cap
36,Yes Bank Ltd.,INE528G01027,YESBANK,YESBANK,76433,Large Cap
37,HDFC Standard Life Insurance Company Limited,INE795G01014,HDFCLIFE,HDFCLIFE,75563,Large Cap
38,Hero MotoCorp Limited,INE158A01026,HEROMOTOCO,HEROMOTOCO,75122,Large Cap
39,"Grasim Industries Ltd.,",INE047A01021,GRASIM,GRASIM,74831,Large Cap
40,Bharti Infratel Limited,INE121J01017,INFRATEL,INFRATEL,73355,Large Cap
41,"Motherson Sumi Systems Ltd.,",INE775A01035,MOTHERSUMI,MOTHERSUMI,72064,Large Cap
42,Gail (India) Ltd.,INE129A01019,GAIL,GAIL,71625,Large Cap
43,General Insurance Corporation of India,INE481Y01014,GICRE,GICRE,70415,Large Cap
44,Nestle India Ltd.,INE239A01016,NESTLEIND,,69778,Large Cap
45,SBI Life Insurance Company Limited,INE123W01016,SBILIFE,SBILIFE,67278,Large Cap
