ABB, roce3, missing data
ADANIENT, pledge, 25.93
ADANIGAS, roce3, missing data
ADANIPORTS, pledge, 32.1
APOLLOTYRE, roce3, 10.98
AUROPHARMA, dp3, 6.2
BAJFINANCE, dp3, 9.63
BALRAMCHIN, d2e, 0.83
BHARTIARTL, roce3, 7.16
BIOCON, roce3, 11.54
BPCL, d2e, 0.78
CADILAHC, d2e, 0.76
CEATLTD, d2e, 0.54
CENTURYPLY, d2e, 0.54
CHOLAFIN, roce3, 11.3
CIPLA, roce3, 9.38
COROMANDEL, d2e, 0.88
DRREDDY, roce3, 9.9
EIDPARRY, icr, 3.12
EIHOTEL, roce3, 6.99
EMAMILTD, pledge, 46.81
GLENMARK, dp3, 6.07
GODREJIND, roce3, 10.11
GRASIM, roce3, 11.69
HDFCLIFE, icr, missing data
HINDALCO, roce3, 9.64
HINDPETRO, d2e, 0.97
HONAUT, dp3, 9.21
HUDCO, roe3, 10.41
ICICIBANK, roe3, 6.94
ICICIGI, icr, missing data
ICICIPRULI, icr, missing data
INDHOTEL, roce3, 7.06
IOC, d2e, 0.86
ISEC, roce3, missing data
JSWSTEEL, pledge, 49.13
KRBL, d2e, 0.52
LAOPALA, rank, 510.0
LEMONTREE, pledge, 34.14
LUPIN, d2e, 0.62
MAHINDCIE, roce3, 11.64
NAUKRI, roce3, 7.31
NCC, pledge, 41.35
NH, roce3, 10.47
NHPC, roce3, 9.84
NILKAMAL, rank, 548.0
NTPC, roce3, 8.25
OIL, roce3, 11.86
PFC, roe3, 11.92
PGHL, icr, missing data
POWERGRID, roce3, 10.79
PRESTIGE, roce3, 9.88
PVR, dp3, 7.45
RELIANCE, roce3, 11.01
SBILIFE, icr, missing data
SRTRANSFIN, dp3, 9.33
TATACOFFEE, rank, 595.0
TATAGLOBAL, roce3, 10.03
TATAMOTORS, roce3, 6.25
TATAPOWER, roce3, 7.33
TATASTEEL, roce3, 11.33
TRENT, roce3, 10.43
TVSSRICHAK, rank, 592.0
UFLEX, rank, 583.0
ULTRACEMCO, roce3, 11.75
VBL, icr, 3.55
VEDL, icr, 3.14
VENKEYS, dp3, 6.3
WIPRO, dp3, 6.03
ZYDUSWELL, roce3, 11.31
