YEAR, Qtr, Month, TXN#, Sale, Buy, Net, Portfolio
2008, Qall, all, 267, 252097, 437766, 185669,  185669
2009, Qall, all,   7,      0,  11948,  11948,  197617
2010, Qall, all,  27,      0,  17925,  17925,  215542
2013, Qall, all,  75, 110278,  43923, -66355,  149186
2014, Qall, all, 106,      0, 288412, 288412,  437598
2016, Qall, all,  66,      0, 171139, 171139,  608737
2017, Qall, all, 359, 189876, 756434, 566557, 1175294
2018, Qall, all, 105,      0, 122582, 122582, 1297876
