Name,BSE Code,NSE Code,Industry,Current Price,Filter,Filter52wLow,Up from 52w low,Low price,High price,Sales,Net profit,Market Capitalization,Debt to equity,Average return on equity 3Years,ROCE3yr avg,Average dividend payout 3years,Price to Earning,Historical PE 5Years,PEG Ratio,OPM,Interest Coverage Ratio,Enterprise Value,Net worth,Reserves,Return on assets 3years,Price to book value,Price to Cash Flow,Price to Sales,EVEBITDA,Dividend Payout Ratio,Dividend yield,Current ratio,Sales growth 5Years,Profit growth 5Years,Pledged percentage,Promoter holding,Piotroski score
3M India,523395,3MINDIA,Trading,20008.20,0,0,19.45,16749.95,25439.95,2850.09,308.28,22549.24,0.01,20.88,32.05,0.00,73.15,74.36,1.48,17.22,274.21,22092.35,1859.54,1848.27,20.60,12.13,84.58,7.91,42.24,0.00,0.00,2.50,10.02,49.41,0.00,75.00,5.00
A B B,500002,ABB,Electric Equipment,1485.50,,0,24.83,1190.00,1670.00,7607.95,140.94,31478.99,0.00,,,,225.01,92.32,,4.67,4.68,31394.18,4145.89,4103.51,,12.10,-712.17,4.14,86.95,45.10,0.32,1.57,,,0.00,75.00,4.00
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,10861.00,1,0,57.41,6900.00,11070.00,3832.57,484.86,23079.63,0.00,23.97,37.50,30.18,47.60,33.61,2.58,17.42,204.01,21395.35,2008.59,1987.34,23.05,11.49,46.35,6.02,27.13,30.67,0.60,3.20,10.08,18.43,0.00,74.99,6.00
ACC,500410,ACC,Cement - North India,1575.70,0,0,19.17,1322.20,1769.05,15397.71,1743.05,29589.64,0.00,11.28,14.43,39.58,16.98,31.24,2.29,14.59,23.24,26492.66,10991.68,10803.69,10.93,2.69,26.48,1.92,10.47,17.31,0.89,1.53,6.00,7.41,0.00,54.53,7.00
Adani Enterp.,512599,ADANIENT,Trading,143.65,0,0,27.12,113.00,180.80,43382.25,1056.47,15798.63,0.76,6.32,6.73,5.47,16.59,19.89,-0.93,4.21,1.68,25332.55,14755.94,14645.96,2.64,1.07,4.88,0.36,8.47,6.13,0.28,1.60,-5.98,-17.78,25.93,74.92,6.00
Adani Ports,532921,ADANIPORTS,Miscellaneous,404.05,0,0,38.33,292.10,430.60,11308.88,4321.90,83676.81,1.11,20.28,15.17,6.40,18.86,21.03,0.98,63.95,4.58,105155.23,24372.32,23958.13,8.96,3.41,13.88,7.40,12.05,1.04,0.05,5.21,17.73,19.25,32.10,62.30,5.00
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,206.50,0,0,23.25,167.55,236.90,8269.66,337.18,15972.93,1.19,15.45,10.26,0.00,47.37,124.89,1.58,9.12,1.75,17617.87,1428.82,655.32,5.06,11.18,30.27,1.93,21.27,0.00,0.00,1.14,37.35,29.91,0.00,59.10,8.00
Aegis Logistics,500003,AEGISCHEM,Trading,175.60,0,0,3.29,170.00,241.70,6554.25,226.70,5964.55,0.17,17.99,19.86,23.88,26.31,31.43,0.90,5.90,12.27,5790.38,1391.27,1357.87,13.26,4.29,10.72,0.91,14.49,21.12,0.78,1.22,2.23,29.32,0.00,60.58,8.00
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,103.65,0,0,18.93,87.15,126.00,7083.66,254.62,2546.63,0.30,11.02,12.65,28.47,10.40,16.21,1.06,6.85,10.34,2904.23,1998.78,1949.64,8.45,1.27,7.85,0.36,5.63,35.54,3.38,1.37,7.25,9.81,0.00,70.01,7.00
Amara Raja Batt.,500008,AMARAJABAT,Auto Ancillaries,703.30,0,0,22.83,572.60,807.50,6829.39,511.37,12013.24,0.02,17.14,25.27,18.41,23.49,28.51,4.31,14.80,93.70,11999.92,3335.32,3318.24,16.41,3.60,22.19,1.76,11.39,25.01,1.01,2.22,14.60,5.45,0.00,28.06,7.00
