sr_no,name,isin,bse_symbol,nse_symbol,avg_mcap,captype
1,RELIANCE INDUSTRIES LTD,INE002A01018,RELIANCE,RELIANCE,893807,Large Cap
2,TATA CONSULTANCY SERVICES LTD.,INE467B01029,TCS,TCS,751723,Large Cap
3,HDFC BANK LTD.,INE040A01034,HDFCBANK,HDFCBANK,578003,Large Cap
4,"HINDUSTAN UNILEVER LTD.,",INE030A01027,HINDUNILVR,HINDUNILVR,471601,Large Cap
5,HOUSING DEVELOPMENT FINANCE CORP.LT,INE001A01036,HDFC,HDFC,340394,Large Cap
6,INFOSYS LTD,INE009A01021,INFY,INFY,300395,Large Cap
7,BHARTI AIRTEL  LTD.,INE397D01024,BHARTIARTL,BHARTIARTL,279196,Large Cap
8,KOTAK MAHINDRA BANK LTD.,INE237A01028,KOTAKBANK,KOTAKBANK,272537,Large Cap
9,ICICI BANK LTD.,INE090A01021,ICICIBANK,ICICIBANK,269226,Large Cap
10,ITC LTD,INE154A01025,ITC,ITC,239397,Large Cap
11,"STATE BANK OF INDIA,",INE062A01020,SBIN,SBIN,210030,Large Cap
12,BAJAJ FINANCE LIMITED,INE296A01024,BAJFINANCE,BAJFINANCE,193415,Large Cap
13,MARUTI SUZUKI INDIA  LTD.,INE585B01010,MARUTI,MARUTI,178456,Large Cap
14,ASIAN PAINTS LTD.,INE021A01026,ASIANPAINT,ASIANPAINT,165223,Large Cap
15,NESTLE INDIA LTD.,INE239A01016,NESTLEIND,,155638,Large Cap
16,AXIS BANK LTD.,INE238A01034,AXISBANK,AXISBANK,150871,Large Cap
17,HCL TECHNOLOGIES LTD,INE860A01027,HCLTECH,HCLTECH,146779,Large Cap
18,LARSEN & TOUBRO LIMITED,INE018A01030,LT,LT,146216,Large Cap
19,AVENUE SUPERMARTS LIMITED,INE192R01011,DMART,DMART,141164,Large Cap
20,"WIPRO  LTD.,",INE075A01022,WIPRO,WIPRO,122341,Large Cap
21,OIL AND NATURAL GAS CORPORATION LTD,INE213A01029,ONGC,ONGC,112318,Large Cap
22,ULTRATECH CEMENT LTD,INE481G01011,ULTRACEMCO,ULTRACEMCO,112017,Large Cap
23,BAJAJ FINSERV LIMITED,INE918I01018,BAJAJFINSV,BAJAJFINSV,109028,Large Cap
24,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,HDFCLIFE,106680,Large Cap
25,SUN PHARMACEUTICAL INDUSTRIES LTD.,INE044A01036,SUNPHARMA*,SUNPHARMA,104630,Large Cap
26,NTPC LIMITED,INE733E01010,NTPC,NTPC,99357,Large Cap
27,COAL INDIA LIMITED,INE522F01014,COALINDIA,COALINDIA,97327,Large Cap
28,TITAN COMPANY LIMITED,INE280A01028,TITAN,TITAN,93149,Large Cap
29,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,POWERGRID,91103,Large Cap
30,INDIAN OIL CORPORATION LTD.,INE242A01010,IOC,IOC,90280,Large Cap
31,"BHARAT PETROLEUM CORPN. LTD.,",INE029A01011,BPCL,BPCL,84666,Large Cap
32,DABUR INDIA LTD.,INE016A01026,DABUR,DABUR,83056,Large Cap
33,SBI LIFE INSURANCE COMPANY LIMITED,INE123W01016,SBILIFE,SBILIFE,81098,Large Cap
34,BAJAJ AUTO LIMITED,INE917I01010,BAJAJ-AUTO,BAJAJ-AUTO,78553,Large Cap
35,"SHREE CEMENTS LTD.,",INE070A01015,SHREECEM,SHREECEM,76292,Large Cap
36,"HINDUSTAN ZINC LTD.,",INE267A01025,HINDZINC,HINDZINC,75445,Large Cap
37,PIDILITE INDUSTRIES LTD.,INE318A01026,PIDILITIND,PIDILITIND,73971,Large Cap
38,"BRITANNIA INDUSTRIES LTD.,",INE216A01030,BRITANNIA,BRITANNIA,73788,Large Cap
39,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,INE742F01042,ADANIPORTS,ADANIPORTS,66338,Large Cap
40,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,GODREJCP,GODREJCP,62520,Large Cap
41,TECH MAHINDRA LIMITED,INE669C01036,TECHM,TECHM,61956,Large Cap
42,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,INE726G01019,ICICIPRULI,ICICIPRULI,59498,Large Cap
43,HDFC ASSET MANAGEMENT COMPANY LIMITED,INE127D01025,HDFCAMC,HDFCAMC,58788,Large Cap
44,"DR. REDDY'S LABORATORIES LTD.,",INE089A01023,DRREDDY,DRREDDY,57216,Large Cap
45,DIVI'S LABORATORIES LTD.,INE361B01024,DIVISLAB,DIVISLAB,57120,Large Cap
46,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED ,INE765G01017,ICICIGI,ICICIGI,56788,Large Cap
47,MAHINDRA & MAHINDRA LTD.,INE101A01026,M&M,M&M,56420,Large Cap
48,SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,SBICARD,SBICARD,55151,Large Cap
49,INDUSIND BANK LTD.,INE095A01012,INDUSINDBK,INDUSINDBK,53892,Large Cap
50,BANDHAN BANK LIMITED,INE545U01014,BANDHANBNK,BANDHANBNK,52309,Large Cap
51,JSW STEEL LIMITED,INE019A01038,JSWSTEEL,JSWSTEEL,51151,Large Cap
52,BERGER PAINTS INDIA LTD,INE463A01038,BERGEPAINT,BERGEPAINT,49570,Large Cap
53,EICHER MOTORS LTD.,INE066A01013,EICHERMOT,EICHERMOT,46420,Large Cap
54,GAIL (INDIA) LTD.,INE129A01019,GAIL,GAIL,45662,Large Cap
55,DLF LIMITED,INE271C01023,DLF,DLF,44301,Large Cap
56,INTERGLOBE AVIATION LIMITED,INE646L01027,INDIGO,INDIGO,44269,Large Cap
57,"SIEMENS LTD.,",INE003A01024,SIEMENS,SIEMENS,44241,Large Cap
58,HERO MOTOCORP LIMITED,INE158A01026,HEROMOTOCO,HEROMOTOCO,43280,Large Cap
59,UNITED SPIRITS LIMITED,INE854D01024,UNITDSPR,MCDOWELL-N,42392,Large Cap
60,"CIPLA LTD.,",INE059A01026,CIPLA,CIPLA,41863,Large Cap
61,"GRASIM INDUSTRIES LTD.,",INE047A01021,GRASIM,GRASIM,41074,Large Cap
62,VEDANTA LIMITED,INE205A01025,VEDL,VEDL,40412,Large Cap
63,TATA STEEL LIMITED,INE081A01012,TATASTEEL,TATASTEEL,40165,Large Cap
64,MARICO LIMITED,INE196A01026,MARICO,MARICO,39887,Large Cap
65,TATA MOTORS LTD.,INE155A01022,TATAMOTORS,TATAMOTORS,39120,Large Cap
66,BIOCON LTD.,INE376G01013,BIOCON,BIOCON,38923,Large Cap
67,BHARTI INFRATEL LIMITED,INE121J01017,INFRATEL,INFRATEL,38650,Large Cap
68,AMBUJA CEMENTS LTD.,INE079A01024,AMBUJACEM,AMBUJACEM,37294,Large Cap
69,TORRENT PHARMACEUTICALS LTD.,INE685A01028,TORNTPHARM,TORNTPHARM,37223,Large Cap
70,"COLGATE-PALMOLIVE (INDIA) LTD.,",INE259A01022,COLPAL,COLPAL,36885,Large Cap
