sr_no,name,isin,bse_symbol,nse_symbol,avg_mcap,captype
71,PETRONET LNG LTD.,INE347G01014,PETRONET,PETRONET,36525,Large Cap
72,HAVELLS INDIA LIMITED,INE176B01034,HAVELLS,HAVELLS,35494,Large Cap
73,BOSCH LTD,INE323A01026,BOSCHLTD,BOSCHLTD,34918,Large Cap
74,LUPIN LTD,INE326A01037,LUPIN,LUPIN,34905,Large Cap
75,UPL LIMITED,INE628A01036,UPL,UPL,34381,Large Cap
76,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,INE179A01014,PGHH,PGHH,34298,Large Cap
77,ADANI GREEN ENERGY LIMITED,INE364U01010,ADANIGREEN,ADANIGREEN,34123,Large Cap
78,HINDALCO INDUSTRIES LTD.,INE038A01020,HINDALCO,HINDALCO,33792,Large Cap
79,AUROBINDO PHARMA LTD.,INE406A01037,AUROPHARMA,AUROPHARMA,33279,Large Cap
80,HINDUSTAN PETROLEUM CORPORATION LTD,INE094A01015,HINDPETRO,HINDPETRO,32718,Large Cap
81,MUTHOOT FINANCE LIMITED,INE414G01012,MUTHOOTFIN,MUTHOOTFIN,32569,Large Cap
82,ABBOTT INDIA LTD.,INE358A01014,ABBOTINDIA,,32536,Large Cap
83,INDRAPRASHTHA GAS LTD.,INE203G01027,IGL,IGL,31557,Large Cap
84,"MOTHERSON SUMI SYSTEMS LTD.,",INE775A01035,MOTHERSUMI,MOTHERSUMI,31526,Large Cap
85,PUNJAB NATIONAL BANK,INE160A01022,PNB,PNB,31453,Large Cap
86,INFO EDGE(INDIA) LTD.,INE663F01024,NAUKRI,NAUKRI,31256,Large Cap
87,CADILA HEALTHCARE LTD.,INE010B01027,CADILAHC,CADILAHC,30877,Large Cap
88,LARSEN & TOUBRO INFOTECH LIMITED,INE214T01019,LTI,LTI,30471,Large Cap
89,BAJAJ HOLDINGS & INVESTMENT LIMITED,INE118A01012,BAJAJHLDNG,BAJAJHLDNG,30034,Large Cap
90,GENERAL INSURANCE CORPORATION OF INDIA,INE481Y01014,GICRE,GICRE,29846,Large Cap
91,BANK OF BARODA,INE028A01039,BANKBARODA,BANKBARODA,29646,Large Cap
92,IDBI BANK LTD,INE008A01015,IDBI,IDBI,29609,Large Cap
93,ALKEM LABORATORIES LIMITED,INE540L01014,ALKEM,ALKEM,29154,Large Cap
94,UNITED BREWERIES LTD.,INE686F01025,UBL,UBL,28455,Large Cap
95,NMDC LTD,INE584A01023,NMDC,NMDC,28300,Large Cap
96,ADANI TRANSMISSION LIMITED,INE931S01010,ADANITRANS,ADANITRANS,26985,Large Cap
97,"M.R.F. LTD.,",INE883A01011,MRF,MRF,26901,Large Cap
98,PIRAMAL ENTERPRISES LIMITED,INE140A01024,PEL,PEL,26747,Large Cap
99,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,TATACONSUM,TATACONSUM,26688,Large Cap
100,CONTAINER CORPORATION OF INDIA LTD.,INE111A01025,CONCOR,CONCOR,26677,Large Cap
101,WHIRLPOOL OF INDIA LTD,INE716A01013,WHIRLPOOL,WHIRLPOOL,26594,Mid Cap
102,POWER FINANCE CORPORATION LTD,INE134E01011,PFC,PFC,26357,Mid Cap
103,HONEYWELL AUTOMATION INDIA LTD.,INE671A01010,HONAUT,HONAUT,25450,Mid Cap
104,ACC LTD,INE012A01025,ACC,ACC,24022,Mid Cap
105,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,INE159A01016,GLAXO,GLAXO,23966,Mid Cap
106,KANSAI NEROLAC PAINTS,INE531A01024,KANSAINER,KANSAINER,23330,Mid Cap
107,YES BANK LTD.,INE528G01035,YESBANK,YESBANK,22778,Mid Cap
108,PAGE INDUSTRIES LTD.,INE761H01022,PAGEIND,PAGEIND,22727,Mid Cap
109,3M INDIA LTD.,INE470A01017,3MINDIA,3MINDIA,22306,Mid Cap
110,REC LIMITED,INE020B01018,RECLTD,RECLTD,22066,Mid Cap
111,ABB INDIA LIMITED,INE117A01022,ABB,ABB,21835,Mid Cap
112,JUBILANT FOODWORKS LIMITED,INE797F01012,JUBLFOOD,JUBLFOOD,21764,Mid Cap
113,NHPC LIMITED,INE848E01016,NHPC,NHPC,21727,Mid Cap
114,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,INE881D01027,OFSS,OFSS,21710,Mid Cap
115,HINDUSTAN AERONAUTICS LIMITED,INE066F01012,HAL,HAL,21700,Mid Cap
116,AU SMALL FINANCE BANK LIMITED,INE949L01017,AUBANK,AUBANK,21637,Mid Cap
117,GODREJ PROPERTIES LIMITED,INE484J01027,GODREJPROP,GODREJPROP,21218,Mid Cap
118,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,INE335Y01012,IRCTC,IRCTC,20688,Mid Cap
119,"SRF LTD.,",INE647A01010,SRF,SRF,20524,Mid Cap
120,THE NEW INDIA ASSURANCE COMPANY LIMITED,INE470Y01017,NIACL,NIACL,20489,Mid Cap
121,PI INDUSTRIES LIMITED,INE603J01030,PIIND,PIIND,20320,Mid Cap
122,"APOLLO HOSPITALS ENTERPRISES LTD.,",INE437A01024,APOLLOHOSP,APOLLOHOSP,20300,Mid Cap
123,"BALKRISHNA INDUSTRIES LTD.,",INE787D01026,BALKRISIND,BALKRISIND,19952,Mid Cap
124,VARUN BEVERAGES LIMITED,INE200M01013,VBL,VBL,19929,Mid Cap
125,TRENT LTD [LAKME LTD],INE849A01020,TRENT,TRENT,19824,Mid Cap
126,ADANI ENTERPRISES LTD.,INE423A01024,ADANIENT,ADANIENT,19459,Mid Cap
127,"SHRIRAM TRANSPORT FINANCE CO. LTD.,",INE721A01013,SRTRANSFIN,SRTRANSFIN,19429,Mid Cap
128,"VOLTAS LTD.,",INE226A01021,VOLTAS,VOLTAS,19322,Mid Cap
129,"PFIZER LTD.,",INE182A01018,PFIZER,PFIZER,19224,Mid Cap
130,BAYER CROPSCIENCE LIMITED.,INE462A01022,BAYERCROP,,19140,Mid Cap
131,"BHARAT ELECTRONICS LTD.,",INE263A01024,BEL,BEL,19101,Mid Cap
132,BATA INDIA LIMITED,INE176A01028,BATAINDIA,BATAINDIA,19035,Mid Cap
133,ZEE ENTERTAINMENT ENTERPRISES LTD.,INE256A01028,ZEEL,ZEEL,19024,Mid Cap
134,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,INE298J01013,NAM-INDIA,NAM-INDIA,18661,Mid Cap
135,GUJARAT GAS LIMITED,INE844O01030,GUJGAS,GUJGASLTD,18347,Mid Cap
136,TVS MOTOR COMPANY LTD.,INE494B01023,TVSMOTOR,TVSMOTOR,18092,Mid Cap
137,IPCA LABORATORIES LTD.,INE571A01020,IPCALAB,IPCALAB,18048,Mid Cap
138,GILLETTE INDIA LTD.,INE322A01010,GILLETTE,GILLETTE,17971,Mid Cap
139,"ASHOK LEYLAND LTD.,",INE208A01029,ASHOKLEY,ASHOKLEY,17964,Mid Cap
140,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,INE121A01024,CHOLAFIN,CHOLAFIN,17900,Mid Cap
141,RAJESH EXPORTS LTD.,INE343B01030,RAJESHEXPO,RAJESHEXPO,17738,Mid Cap
142,COROMANDEL INTERNATIONAL LIMITED,INE169A01031,COROMANDEL,COROMANDEL,17696,Mid Cap
143,BHARAT FORGE LTD,INE465A01025,BHARATFORG,BHARATFORG,17494,Mid Cap
144,SANOFI INDIA LTD,INE058A01010,SANOFI,SANOFI,16786,Mid Cap
145,L&T FINANCE HOLDINGS LIMITED,INE498L01015,L&TFH,L&TFH,16711,Mid Cap
146,ADANI POWER LIMITED,INE814H01011,ADANIPOWER,ADANIPOWER,16676,Mid Cap
147,RELAXO FOOTWEARS LTD.,INE131B01039,RELAXO,RELAXO,16415,Mid Cap
148,AARTI INDUSTRIES LTD,INE769A01020,AARTIIND,AARTIIND,16235,Mid Cap
149,SUN TV NETWORK LIMITED,INE424H01027,SUNTV,SUNTV,16013,Mid Cap
150,ADITYA BIRLA CAPITAL LTD,INE674K01013,ABCAPITAL,ABCAPITAL,16004,Mid Cap
151,LIC HOUSING FINANCE LTD.,INE115A01026,LICHSGFIN,LICHSGFIN,15941,Mid Cap
152,VODAFONE IDEA LIMITED,INE669E01016,IDEA,IDEA,15873,Mid Cap
153,SUNDARAM FINANCE LTD,INE660A01013,SUNDARMFIN,SUNDARMFIN,15554,Mid Cap
154,BANK OF INDIA,INE084A01016,BANKINDIA,BANKINDIA,15546,Mid Cap
155,THE RAMCO CEMENTS LIMITED,INE331A01037,RAMCOCEM,RAMCOCEM,15540,Mid Cap
156,UNION BANK OF INDIA,INE692A01016,UNIONBANK,UNIONBANK,15481,Mid Cap
157,OBEROI REALTY LIMITED,INE093I01010,OBEROIRLTY,OBEROIRLTY,15459,Mid Cap
158,AIA ENGINEERING LTD.,INE212H01026,AIAENG,AIAENG,15365,Mid Cap
159,MPHASIS LIMITED,INE356A01018,MPHASIS,MPHASIS,15308,Mid Cap
160,ASTRAL POLY TECHNIK LTD,INE006I01046,ASTRAL,ASTRAL,15218,Mid Cap
161,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,INE774D01024,M&MFIN,M&MFIN,15038,Mid Cap
162,CANARA BANK,INE476A01014,CANBK,CANBK,14995,Mid Cap
163,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,INE299U01018,CROMPTON,CROMPTON,14921,Mid Cap
164,TORRENT POWER LIMITED,INE813H01021,TORNTPOWER,TORNTPOWER,14745,Mid Cap
165,ADANI GAS LIMITED,INE399L01023,ADANIGAS,ADANIGAS,14616,Mid Cap
166,IDFC FIRST BANK LIMITED,INE092T01019,IDFCFIRSTB,IDFCFIRSTB,14587,Mid Cap
167,MINDTREE  LIMITED,INE018I01017,MINDTREE,MINDTREE,14486,Mid Cap
168,L&T TECHNOLOGY SERVICES LIMITED,INE010V01017,LTTS,LTTS,14478,Mid Cap
169,"SUPREME INDUSTRIES LTD.,",INE195A01028,SUPREMEIND,SUPREMEIND,14295,Mid Cap
170,"STEEL AUTHORITY OF INDIA LTD.,",INE114A01011,SAIL,SAIL,14277,Mid Cap
171,ADITYA BIRLA FASHION AND RETAIL LIMITED,INE647O01011,ABFRL,ABFRL,13987,Mid Cap
172,"EXIDE INDUSTRIES LTD.,",INE302A01020,EXIDEIND,EXIDEIND,13806,Mid Cap
173,JINDAL STEEL & POWER LTD,INE749A01030,JINDALSTEL,JINDALSTEL,13801,Mid Cap
174,"ATUL LIMITED.,",INE100A01010,ATUL,ATUL,13425,Mid Cap
175,DR. LAL PATHLABS LIMITED,INE600L01024,LALPATHLAB,LALPATHLAB,13125,Mid Cap
176,ALEMBIC PHARMACEUTICALS LIMITED,INE901L01018,APLLTD,APLLTD,13073,Mid Cap
177,INDIAN OVERSEAS BANK,INE565A01014,IOB,IOB,13002,Mid Cap
178,ICICI SECURITIES LIMITED,INE763G01038,ISEC,ISEC,12781,Mid Cap
179,MAX FINANCIAL SERVICES LIMITED,INE180A01020,MFSL,MFSL,12765,Mid Cap
180,POLYCAB INDIA LIMITED,INE455K01017,POLYCAB,POLYCAB,12754,Mid Cap
181,CITY UNION BANK LTD,INE491A01021,CUB,CUB,12687,Mid Cap
182,DALMIA BHARAT LIMITED,INE00R701025,DALBHARAT*,DALBHARAT,12679,Mid Cap
183,FEDERAL BANK LTD.,INE171A01029,FEDERALBNK,FEDERALBNK,12623,Mid Cap
184,SYNGENE INTERNATIONAL LIMITED,INE398R01022,SYNGENE,SYNGENE,12620,Mid Cap
185,CASTROL INDIA LTD,INE172A01027,CASTROLIND,CASTROLIND,12492,Mid Cap
186,"CUMMINS INDIA LTD.,",INE298A01020,CUMMINSIND,CUMMINSIND,12459,Mid Cap
187,WABCO INDIA LTD,INE342J01019,WABCOINDIA,WABCOINDIA,12445,Mid Cap
188,SCHAEFFLER INDIA LIMITED,INE513A01014,SCHAEFFLER,SCHAEFFLER,12313,Mid Cap
189,INDIAN HOTELS CO. LTD,INE053A01029,INDHOTEL,INDHOTEL,12229,Mid Cap
190,GUJARAT STATE PETRONET LTD.,INE246F01010,GSPL,GSPL,12092,Mid Cap
191,MANAPPURAM FINANCE LIMITED,INE522D01027,MANAPPURAM,MANAPPURAM,12027,Mid Cap
192,GMR INFRASTRUCTURE LIMITED,INE776C01039,GMRINFRA,GMRINFRA,12021,Mid Cap
193,GODREJ INDUSTRIES LTD.,INE233A01035,GODREJIND,GODREJIND,12006,Mid Cap
194,UCO BANK,INE691A01018,UCOBANK,UCOBANK,11981,Mid Cap
195,ENDURANCE TECHNOLOGIES LIMITED,INE913H01037,ENDURANCE,ENDURANCE,11891,Mid Cap
196,SUMITOMO CHEMICAL INDIA LIMITED,INE258G01013,SUMICHEM,SUMICHEM,11841,Mid Cap
197,TATA POWER CO. LTD,INE245A01021,TATAPOWER,TATAPOWER,11836,Mid Cap
198,AAVAS FINANCIERS LIMITED,INE216P01012,AAVAS,AAVAS,11764,Mid Cap
199,AJANTA PHARMA LTD.,INE031B01049,AJANTPHARM,AJANTPHARM,11627,Mid Cap
200,TATA COMMUNICATIONS LIMITED,INE151A01013,TATACOMM,TATACOMM,11594,Mid Cap
201,OIL INDIA LIMITED,INE274J01014,OIL,OIL,11527,Mid Cap
202,RUCHI SOYA INDUSTRIES LTD.,INE619A01035,RUCHISOYA,RUCHI,11331,Mid Cap
203,CRISIL LTD.,INE007A01025,CRISIL,CRISIL,11079,Mid Cap
204,NATCO PHARMA LTD.,INE987B01026,NATCOPHARM,NATCOPHARM,11048,Mid Cap
205,AMARA RAJA BATTERIES LTD,INE885A01032,AMARAJABAT,AMARAJABAT,10883,Mid Cap
206,"BHARAT HEAVY ELECTRICALS LTD.,",INE257A01026,BHEL,BHEL,10798,Mid Cap
207,RBL BANK LIMITED,INE976G01028,RBLBANK,RBLBANK,10710,Mid Cap
208,EMAMI LTD,INE548C01032,EMAMILTD*,EMAMILTD,10697,Mid Cap
209,"THE PHOENIX MILLS LTD.,",INE211B01039,PHOENIXLTD,PHOENIXLTD,10498,Mid Cap
210,THERMAX LTD.,INE152A01029,THERMAX,THERMAX,10076,Mid Cap
211,FORTIS HEALTHCARE LTD,INE061F01013,FORTIS,FORTIS,10064,Mid Cap
212,FUTURE RETAIL LTD.,INE752P01024,FRETAIL,FRETAIL,9918,Mid Cap
213,MAHANAGAR GAS LIMITED,INE002S01010,MGL,MGL,9909,Mid Cap
214,"VINATI ORGANICS LTD.,",INE410B01037,VINATIORGA,VINATIORGA,9845,Mid Cap
215,IIFL WEALTH MANAGEMENT LIMITED,INE466L01020,IIFLWAM,IIFLWAM,9709,Mid Cap
216,PRESTIGE ESTATES PROJECTS LIMITED,INE811K01011,PRESTIGE,PRESTIGE,9695, Mid Cap
217,"ESCORTS LIMITED,",INE042A01014,ESCORTS,ESCORTS,9657,Mid Cap
218,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,INE338I01027,MOTILALOFS*,MOTILALOFS,9500,Mid Cap
219,AKZO NOBEL INDIA LIMITED,INE133A01011,AKZOINDIA,AKZOINDIA,9483,Mid Cap
220,J.K. CEMENT LTD,INE823G01014,JKCEMENT,JKCEMENT,9408,Mid Cap
221,NIIT TECHNOLOGIES LIMITED,INE591G01017,NIITTECH,NIITTECH,9375,Mid Cap
222,HATSUN AGRO PRODUCTS LTD.,INE473B01035,HATSUN,HATSUN,9304,Mid Cap
223,SOLAR INDUSTRIES INDIA LIMITED,INE343H01029,SOLARINDS,SOLARINDS,9263,Mid Cap
224,GLENMARK PHARMACEUTICALS LTD,INE935A01035,GLENMARK,GLENMARK,9175,Mid Cap
225,HEXAWARE TECHNOLOGIES LTD.,INE093A01033,HEXAWARE,HEXAWARE,9083,Mid Cap
226,CENTRAL BANK OF INDIA,INE483A01010,CENTRALBK,CENTRALBK,8969,Mid Cap
227,SJVN LIMITED,INE002L01015,SJVN,SJVN,8919,Mid Cap
228,CREDITACCESS GRAMEEN LTD.,INE741K01010,CREDITACC,CREDITACC,8704,Mid Cap
229,INDIABULLS HOUSING FINANCE LIMITED,INE148I01020,IBULHSGFIN,IBULHSGFIN,8661,Mid Cap
230,GODREJ AGROVET LIMITED,INE850D01014,GODREJAGRO,GODREJAGRO,8500,Mid Cap
231,SKF INDIA LTD.,INE640A01023,SKFINDIA,SKFINDIA,8487,Mid Cap
232,JSW ENERGY LIMITED,INE121E01018,JSWENERGY,JSWENERGY,8480,Mid Cap
233,MINDA INDUSTRIES LTD.,INE405E01023,MINDAIND,MINDAIND,8257,Mid Cap
234,V-GUARD INDUSTRIES LTD.,INE951I01027,VGUARD,VGUARD,8049,Mid Cap
235,TUBE INVESTMENTS OF INDIA LTD,INE974X01010,TIINDIA,TIINDIA,7980,Mid Cap
236,"CESC LIMITED,",INE486A01013,CESC,CESC,7959,Mid Cap
237,"SUNDRAM FASTENERS LTD.,",INE387A01021,SUNDRMFAST,SUNDRMFAST,7888,Mid Cap
238,ZYDUS WELLNESS LIMITED,INE768C01010,ZYDUSWELL,ZYDUSWELL,7829,Mid Cap
239,JUBILANT LIFE SCIENCES LIMITED,INE700A01033,JUBILANT,JUBILANT,7646,Mid Cap
240,METROPOLIS HEALTHCARE LIMITED,INE112L01020,METROPOLIS,METROPOLIS,7493,Mid Cap
241,ITI LIMITED (INDIAN TELEPH.IND.LTD),INE248A01017,ITI,ITI,7460,Mid Cap
242,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,INE149A01033,CHOLAHLDNG,CHOLAHLDNG,7397,Mid Cap
243,TTK PRESTIGE LTD.,INE690A01010,TTKPRESTIG,TTKPRESTIG,7289,Mid Cap
244,SYMPHONY LIMITED,INE225D01027,SYMPHONY,SYMPHONY,7207,Mid Cap
245,PVR LTD.,INE191H01014,PVR,PVR,7190,Mid Cap
246,TATA CHEMICALS LTD,INE092A01019,TATACHEM,TATACHEM,7086,Mid Cap
247,INDIABULLS VENTURES LIMITED,INE274G01010,IBVENTURES,IBVENTURES,7079,Mid Cap
248,JM FINANCIAL LIMITED,INE780C01023,JMFINANCIL,JMFINANCIL,7069,Mid Cap
249,KAJARIA CERAMICS LTD,INE217B01036,KAJARIACER,KAJARIACER,6998,Mid Cap
250,APOLLO TYRES LTD,INE438A01022,APOLLOTYRE,APOLLOTYRE,6955,Mid Cap
251,SHEELA FOAM LIMITED,INE916U01025,SFL,SFL,6937,Small Cap
252,ASTRAZENECA PHARMA INDIA LTD.,INE203A01020,ASTRAZEN,ASTRAZEN,6921,Small Cap
253,"BOMBAY BURMAH TRADING CORPN. LTD.,",INE050A01025,BBTC,BBTC,6852,Small Cap
254,PROCTER & GAMBLE HEALTH LIMITED,INE199A01012,PGHL,PGHL,6813,Small Cap
255,NLC INDIA LIMITED,INE589A01014,NLCINDIA,NLCINDIA,6774,Small Cap
256,TIMKEN INDIA LTD,INE325A01013,TIMKEN,TIMKEN,6727,Small Cap
257,SHRIRAM-CITY UNION FINANCE LTD.,INE722A01011,SHRIRAMCIT,SHRIRAMCIT,6676,Small Cap
258,NAVIN FLUORINE INTERNATIONAL LIMITED,INE048G01026,NAVINFLUOR,NAVINFLUOR,6673,Small Cap
259,RITES LIMITED,INE320J01015,RITES,RITES,6666,Small Cap
260,UJJIVAN SMALL FINANCE BANK LIMITED,INE551W01018,UJJIVANSFB,UJJIVANSFB,6640,Small Cap
261,KEC INTERNATIONAL LTD. (FORMERLY KNOWN AS KEC INFRASTRUCTURES LTD.),INE389H01022,KEC,KEC,6639,Small Cap
262,INDIAMART INTERMESH LIMITED,INE933S01016,INDIAMART,INDIAMART,6591,Small Cap
263,SECURITY AND INTELLIGENCE SERVICES (INDIA) LIMITED,INE285J01028,SIS,SIS,6579,Small Cap
264,AVANTI FEEDS LTD.,INE871C01038,AVANTI,AVANTIFEED,6505,Small Cap
265,"NATIONAL ALUMINIUM CO. LTD.,",INE139A01034,NATIONALUM,NATIONALUM,6496,Small Cap
266,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.,INE782A01015,JCHAC,JCHAC,6429,Small Cap
267,ERIS LIFESCIENCES LIMITED,INE406M01024,ERIS,ERIS,6424,Small Cap
268,ASTER DM HEALTHCARE LIMITED,INE914M01019,ASTERDM,ASTERDM,6387,Small Cap
269,AEGIS LOGISTICS LTD.,INE208C01025,AEGISLOG,AEGISCHEM,6351,Small Cap
270,FINE ORGANIC INDUSTRIES LIMITED,INE686Y01026,FINEORG,FINEORG,6276,Small Cap
271,MANGALORE REFINERY & PETROCHEMICALS,INE103A01014,MRPL,MRPL,6193,Small Cap
272,BANK OF MAHARASHTRA,INE457A01014,MAHABANK,MAHABANK,6192,Small Cap
273,BLUE STAR LTD,INE472A01039,BLUESTARCO,BLUESTARCO,6179,Small Cap
274,NARAYANA HRUDAYALAYA LIMITED,INE410P01011,NH,NH,6161,Small Cap
