ticker	industry	bat	cmp	low_52w	high_52w	up_52w_low	mos	txn_gap	plan_oku	cur_oku	tbd_oku
ABBOTINDIA	-	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A2),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A2),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A2),"high52"))	=IFERROR(ROUND((D2-E2)*100/E2),"-")	=IFERROR(ROUND((C2-D2)*100/D2),"-")	-	10	0	10
ACC	CEMENT & CEMENT PRODUCTS	1736	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A3),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A3),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A3),"high52"))	=IFERROR(ROUND((D3-E3)*100/E3),"-")	=IFERROR(ROUND((C3-D3)*100/D3),"-")	0	20	11	9
AEGISCHEM	ENERGY	242	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A4),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A4),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A4),"high52"))	=IFERROR(ROUND((D4-E4)*100/E4),"-")	=IFERROR(ROUND((C4-D4)*100/D4),"-")	11	5	2	3
AIAENG	INDUSTRIAL MANUFACTURING	1770	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A5),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A5),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A5),"high52"))	=IFERROR(ROUND((D5-E5)*100/E5),"-")	=IFERROR(ROUND((C5-D5)*100/D5),"-")	-	-	0	-
AKZOINDIA	CONSUMER GOODS	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A6),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A6),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A6),"high52"))	=IFERROR(ROUND((D6-E6)*100/E6),"-")	=IFERROR(ROUND((C6-D6)*100/D6),"-")	-	-	0	-
ALKEM	PHARMA	2147	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A7),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A7),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A7),"high52"))	=IFERROR(ROUND((D7-E7)*100/E7),"-")	=IFERROR(ROUND((C7-D7)*100/D7),"-")	-	-	0	-
AMARAJABAT	AUTOMOBILE	696	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A8),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A8),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A8),"high52"))	=IFERROR(ROUND((D8-E8)*100/E8),"-")	=IFERROR(ROUND((C8-D8)*100/D8),"-")	6	10	8	2
AMBUJACEM	CEMENT & CEMENT PRODUCTS	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A9),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A9),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A9),"high52"))	=IFERROR(ROUND((D9-E9)*100/E9),"-")	=IFERROR(ROUND((C9-D9)*100/D9),"-")	2	20	12	8
APLLTD	PHARMA	542	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A10),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A10),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A10),"high52"))	=IFERROR(ROUND((D10-E10)*100/E10),"-")	=IFERROR(ROUND((C10-D10)*100/D10),"-")	-	-	0	-
ATUL	CHEMICALS	4663	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A11),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A11),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A11),"high52"))	=IFERROR(ROUND((D11-E11)*100/E11),"-")	=IFERROR(ROUND((C11-D11)*100/D11),"-")	-	-	0	-
AVANTIFEED	CONSUMER GOODS	520	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A12),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A12),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A12),"high52"))	=IFERROR(ROUND((D12-E12)*100/E12),"-")	=IFERROR(ROUND((C12-D12)*100/D12),"-")	14	10	5	5
BAJAJ-AUTO	AUTOMOBILE	3086	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A13),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A13),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A13),"high52"))	=IFERROR(ROUND((D13-E13)*100/E13),"-")	=IFERROR(ROUND((C13-D13)*100/D13),"-")	21	20	6	14
BAJAJHLDNG	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A14),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A14),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A14),"high52"))	=IFERROR(ROUND((D14-E14)*100/E14),"-")	=IFERROR(ROUND((C14-D14)*100/D14),"-")	16	5	3	2
BALKRISIND	AUTOMOBILE	886	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A15),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A15),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A15),"high52"))	=IFERROR(ROUND((D15-E15)*100/E15),"-")	=IFERROR(ROUND((C15-D15)*100/D15),"-")	12	10	3	7
BATAINDIA	CONSUMER GOODS	1674	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A16),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A16),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A16),"high52"))	=IFERROR(ROUND((D16-E16)*100/E16),"-")	=IFERROR(ROUND((C16-D16)*100/D16),"-")	13	10	4	6
BAYERCROP	-	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A17),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A17),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A17),"high52"))	=IFERROR(ROUND((D17-E17)*100/E17),"-")	=IFERROR(ROUND((C17-D17)*100/D17),"-")	-	5	0	5
BDL	INDUSTRIAL MANUFACTURING	343	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A18),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A18),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A18),"high52"))	=IFERROR(ROUND((D18-E18)*100/E18),"-")	=IFERROR(ROUND((C18-D18)*100/D18),"-")	15	5	1	4
