ticker,comp_name,bat,cmp,low_52w,high_52w,up_52w_low,mos,txn_gap,plan_oku,cur_oku,tbd_oku,reco_type,reco_cause
RELIANCE,Reliance industries,1656.6,2229.05,866.98,2369.35,157,-26,5,15,16,-1,HOLD, der
TCS,Tata consultancy services,2145.7,2540.0,1506.05,2555.0,69,-16,8,15,31,-16,BUY,ALL
HDFCBANK,Hdfc bank,1250.1,1108.0,738.75,1305.5,50,13,8,15,32,-17,SALE, der
HINDUNILVR,Hindustan unilever,2216.2,2094.0,1757.3,2614.3,19,6,6,15,27,-12,BUY,ALL
HDFC,Housing development finance corplt,2163.9,1787.8,1473.45,2499.9,21,21,5,15,25,-10,SALE, der
INFY,Infosys,782.6,1018.7,509.25,1037.0,100,-23,6,15,31,-16,BUY,ALL
BHARTIARTL,Bharti airtel,656.9,430.2,325.5,612.0,32,53,5,15,17,-2,SALE, der roce3 dpr2 profit5
KOTAKBANK,Kotak mahindra bank,1521.9,1306.0,1001.0,1740.0,30,16,3,15,6,9,SALE, dpr2
ICICIBANK,Icici bank,492.5,368.5,268.3,552.2,37,34,5,15,12,3,SALE, der profit5
ITC,Itc,251.4,170.9,134.6,266.3,27,48,6,15,42,-27,BUY,ALL
SBIN,State bank,295.2,190.2,149.45,351.0,27,55,2,15,16,-1,SALE, der dpr2
BAJFINANCE,Bajaj finance,2910.2,3444.0,1783.0,4923.4,93,-16,25,15,3,12,SALE, der
MARUTI,Maruti suzuki,5671.5,6795.0,4001.1,7758.7,70,-17,6,15,26,-11,SALE, sales2
ASIANPAINT,Asian paints,1822.0,2044.05,1431.2,2069.95,43,-11,5,15,15,0,BUY,ALL
NESTLEIND,Nestle,-,16000.0,12200.0,18369.9,31,-,-,15,0,15,-,-
AXISBANK,Axis bank,597.6,442.05,286.0,765.85,55,35,-,15,0,15,SALE, der dpr2 profit5
HCLTECH,Hcl technologies,608.8,813.7,375.25,849.9,117,-25,9,15,6,9,BUY,ALL
LT,Larsen toubro,1361.3,901.5,661.0,1496.45,36,51,6,15,32,-17,SALE, der
DMART,Avenue supermarts,2065.9,2175.0,1700.0,2560.0,28,-5,3,15,5,10,SALE, dpr2
WIPRO,Wipro,230.3,313.3,159.4,324.5,97,-27,19,15,7,8,HOLD, roce3 dpr2
ONGC,Oil natural gas corporation,109.7,68.9,50.0,149.65,38,60,6,15,25,-10,SALE, profit5
ULTRACEMCO,Ultratech cement,4366.9,4100.0,2910.0,4754.1,41,6,2,15,19,-4,SALE, dpr2
BAJAJFINSV,Bajaj finserv,8476.0,6050.0,3985.3,9950.0,52,40,37,15,6,9,SALE, der dpr2
HDFCLIFE,Hdfc life insurance company,588.8,571.35,340.0,647.6,68,3,3,15,10,5,SALE, roce3
SUNPHARMA,Sun pharmaceutical industries,509.6,507.55,312.0,564.75,63,0,6,15,21,-6,SALE, profit5
NTPC,Ntpc,128.0,84.75,73.2,125.0,16,52,6,15,23,-8,SALE, der
COALINDIA,Coal,222.7,117.0,113.9,217.55,3,90,6,15,25,-10,BUY,ALL
TITAN,Titan company,1054.6,1196.55,720.9,1389.95,66,-12,3,15,8,7,BUY,ALL
POWERGRID,Power grid corporation,218.8,164.25,122.15,211.0,34,33,6,15,22,-7,SALE, der
IOC,Indian oil corporation,130.3,73.95,71.15,156.0,4,78,6,15,22,-7,SALE, profit5
BPCL,Bharat petroleum,446.6,352.4,252.0,549.0,40,27,6,15,6,9,SALE, der profit5
DABUR,Dabur,488.4,513.7,386.05,528.0,33,-5,4,15,5,10,BUY,ALL
SBILIFE,Sbi life insurance company,911.5,819.5,519.4,1030.0,58,11,3,15,10,5,SALE, roce3
BAJAJ-AUTO,Bajaj auto,2875.0,2999.0,1788.65,3315.15,68,-4,6,15,12,3,BUY,ALL
SHREECEM,Shree cements,19658.4,20600.0,15410.0,25355.0,34,-5,19,15,18,-3,SALE, roce3
HINDZINC,Hindustan zinc,228.2,208.2,116.05,258.95,79,10,6,15,20,-5,SALE, sales2 profit5
PIDILITIND,Pidilite industries,1412.8,1464.0,1185.55,1709.9,23,-4,4,15,5,10,BUY,ALL
BRITANNIA,Britannia industries,3613.0,3810.0,2100.0,4010.0,81,-5,3,15,12,3,BUY,ALL
ADANIPORTS,Adani ports special economic zone,380.0,353.95,203.0,428.85,74,8,27,15,2,13,SALE, der pledge
