Shivalik bimetal controls ltd. ,  1:1 , 1
Sanwaria consumer ltd-$ ,  1:1 , 1
Munjal auto industries ltd. ,  1:1 , 1
Kwality pharmaceuticals ltd ,  1:1 , 1
Majestic research services and solutions ltd ,  1:1 , 1
Jayant agro-organics ltd. ,  1:1 , 1
Mangalam seeds ltd ,  1:1 , 1
Fiberweb (india) ltd. ,  1:1 , 1
Plastiblends india ltd.-$ ,  1:1 , 1
Tata elxsi ltd. ,  1:1 , 1
Manpasand beverages ltd ,  1:1 , 1
Wipro ltd. ,  1:1 , 1
Talbros engineering ltd ,  1:1 , 1
Castrol india ltd. ,  1:1 , 1
Indian oil corporation ltd. ,  1:1 , 1
Citadel realty and developers ltd. ,  1:1 , 1
Pc jeweller ltd. ,  1:1 , 1
Kellton tech solutions ltd. ,  1:1 , 1
Bil energy systems ltd. ,  1:1 , 1
Mahindra & mahindra ltd. ,  1:1 , 1
La opala rg ltd. ,  1:1 , 1
Gpt infraprojects ltd. ,  1:1 , 1
Jash dealmark ltd ,  1:1 , 1
Petronet lng ltd. ,  1:1 , 1
Moil ltd. ,  1:1 , 1
Bharat forge ltd. ,  1:1 , 1
Godrej consumer products ltd. ,  1:1 , 1
Maan aluminium ltd. ,  1:1 , 1
Vakrangee limited-$ ,  1:1 , 1
Autoriders international ltd. ,  1:1 , 1
Balkrishna industries ltd.-$ ,  1:1 , 1
Reliance industries ltd. ,  1:1 , 1
Viji finance ltd ,  1:10 , 1
City union bank ltd. ,  1:10 , 1
Icici bank ltd. ,  1:10 , 1
Sri krishna constructions (india) ltd ,  1:10 , 1
Ceinsys tech ltd ,  1:10 , 1
Bharat electronics ltd. ,  1:10 , 1
Muthoot capital services ltd. ,  1:10 , 1
Hindustan petroleum corporation ltd. ,  1:2 , 1
Hindustan composites ltd. ,  1:2 , 1
Loyal equipments ltd ,  1:2 , 1
Bharat heavy electricals ltd. ,  1:2 , 1
Oil india ltd. ,  1:2 , 1
Panama petrochem ltd. ,  1:2 , 1
Larsen & toubro ltd. ,  1:2 , 1
Mahindra holidays & resorts india ltd. ,  1:2 , 1
Motherson sumi systems ltd. ,  1:2 , 1
Bharat petroleum corporation ltd. ,  1:2 , 1
Gala global products ltd ,  1:20 , 1
Infinite computer solutions (india) ltd ,  1:26 , 1
Vkj infradevelopers ltd ,  1:3 , 1
Gail (india) ltd. ,  1:3 , 1
Money masters leasing & finance ltd ,  1:4 , 1
Kallam textiles ltd-$ ,  1:4 , 1
Container corporation of india ltd. ,  1:4 , 1
Beardsell ltd ,  1:5 , 1
Alexander stamps and coin ltd ,  1:5 , 1
Arfin india ltd ,  2:1 , 1
Biocon ltd. ,  2:1 , 1
Excel realty n infra ltd ,  2:1 , 1
Shantai industries ltd ,  2:1 , 1
Kanco tea & industries ltd. ,  2:1 , 1
Garnet international ltd. ,  2:1 , 1
Kitex garments ltd. ,  2:5 , 1
Lypsa gems & jewellery ltd ,  2:5 , 1
Thacker & co.ltd. ,  32:21 , 1
Yash chemex ltd ,  3:2 , 1
Bampsl securities ltd. ,  3:20 , 1
Lancer container lines ltd ,  3:5 , 1
Ram minerals and chemicals ltd ,  4:1 , 1
Rajputana investment and finance ltd ,  9:5 , 1
