sr_no,name,isin,bse_symbol,nse_symbol,avg_mcap,captype
1,RELIANCE INDUSTRIES LTD.,INE002A01018,RELIANCE,RELIANCE,812261,Large Cap
2,TATA CONSULTANCY SERVICES LTD.,INE467B01029,TCS,TCS,773446,Large Cap
3,HDFC BANK LTD.,INE040A01026,HDFCBANK,HDFCBANK,612337,Large Cap
4,HINDUSTAN UNILEVER LTD.,INE030A01027,HINDUNILVR,HINDUNILVR,379019,Large Cap
5,ITC LTD.,INE154A01025,ITC,ITC,352908,Large Cap
6,HOUSING DEVELOPMENT FINANCE CO,INE001A01036,HDFC,HDFC,344992,Large Cap
7,INFOSYS LTD.,INE009A01021,INFY*,INFY,319125,Large Cap
8,STATE BANK OF INDIA,INE062A01020,SBIN,SBIN,275319,Large Cap
9,KOTAK MAHINDRA BANK LTD.,INE237A01028,KOTAKBANK,KOTAKBANK,257588,Large Cap
10,ICICI BANK LTD.,INE090A01021,ICICIBANK,ICICIBANK,249330,Large Cap
11,MARUTI SUZUKI INDIA LTD.,INE585B01010,MARUTI,MARUTI,209413,Large Cap
12,OIL AND NATURAL GAS CORPORATIO,INE213A01029,ONGC,ONGC,199871,Large Cap
13,LARSEN & TOUBRO LTD.,INE018A01030,LT,LT,194088,Large Cap
14,AXIS BANK LTD.,INE238A01034,AXISBANK,AXISBANK,189552,Large Cap
15,BAJAJ FINANCE LIMITED,INE296A01024,BAJFINANCE,BAJFINANCE,171306,Large Cap
16,WIPRO LTD.,INE075A01022,WIPRO,WIPRO,166132,Large Cap
17,COAL INDIA LTD.,INE522F01014,COALINDIA,COALINDIA,148333,Large Cap
18,BHARTI AIRTEL LTD.,INE397D01024,BHARTIARTL,BHARTIARTL,146497,Large Cap
19,HCL TECHNOLOGIES LTD.,INE860A01027,HCLTECH,HCLTECH,143798,Large Cap
20,INDIAN OIL CORPORATION LTD.,INE242A01010,IOC,IOC,143112,Large Cap
21,ASIAN PAINTS LTD.,INE021A01026,ASIANPAINT,ASIANPAINT,135448,Large Cap
22,NTPC LTD.,INE733E01010,NTPC,NTPC,125696,Large Cap
23,BAJAJ FINSERV LTD.,INE918I01018,BAJAJFINSV,BAJAJFINSV,113633,Large Cap
24,ULTRATECH CEMENT LTD.,INE481G01011,ULTRACEMCO,ULTRACEMCO,112987,Large Cap
25,HINDUSTAN ZINC LTD.,INE267A01025,HINDZINC,HINDZINC,110726,Large Cap
26,NESTLE INDIA LTD.,INE239A01016,NESTLEIND,,105857,Large Cap
27,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,SUNPHARMA,SUNPHARMA,104050,Large Cap
28,POWER GRID CORPORATION OF INDI,INE752E01010,POWERGRID,POWERGRID,100027,Large Cap
29,TITAN COMPANY LIMITED,INE280A01028,TITAN,TITAN,98321,Large Cap
30,INDUSIND BANK LTD.,INE095A01012,INDUSINDBK,INDUSINDBK,94237,Large Cap
