comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
3MINDIA,-,-,-,-,-,-,-,110,-,-,-,-,110
ABB,-,-,-,-,22,-,24,-,-,-,-,-,46
ABBOTT,-,-,-,-,-,-,55,65,250,-,-,-,370
ACC,-,-,42,-,98,30,-,11,-,-,-,-,181
ADANI ENTERPRISES,-,-,23,-,-,-,-,19,-,-,-,-,42
ADANI GAS,-,-,4,-,-,-,-,4,-,-,-,-,8
ADANI GREEN ENERGY,-,-,-,-,-,-,-,-,-,-,-,32,32
ADANIPORTS,-,-,19,-,-,-,-,13,-,-,-,-,32
AEGIS LOGISTICS,-,6,-,4,-,-,-,11,-,10,-,-,31
AKZO NOBEL,-,-,-,-,-,-,-,114,-,-,-,-,114
ALLCARGO,-,52,150,-,-,-,-,10,-,-,-,-,212
AMARAJABAT,-,-,60,-,-,-,60,10,-,-,80,-,210
AMBUJA CEMENTS,-,-,-,21,88,18,-,8,-,-,-,-,135
APL,-,-,64,-,-,-,-,18,-,-,52,-,134
APOLLO TYRES,-,-,87,-,-,-,15,56,-,-,-,-,158
APOLLOHOSP,-,-,22,-,-,-,-,-,30,91,-,-,143
ARVIND,-,-,-,-,-,-,-,12,14,-,-,-,26
ARVIND FASHIONS,-,-,-,-,-,-,-,-,98,-,-,-,98
ASAHI GLASS,-,-,12,-,-,-,-,26,-,-,-,-,38
ASHOK LEYLAND,-,-,39,-,-,-,-,27,-,-,-,-,66
ASIAN GRANITO ,-,-,-,-,-,-,-,-,2,4,-,-,6
ASIANPAINT,-,-,-,-,-,169,-,-,-,-,23,-,192
ASTRAZEN,-,-,-,-,-,-,-,-,2,-,-,-,2
AUROBINDO PHARMA,-,6,7,-,-,-,-,-,5,-,6,5,29
AVANTI FEEDS,-,-,45,-,-,-,-,81,2,-,-,-,128
AXIS BANK,-,-,-,-,-,-,14,-,-,-,-,-,14
BAJAJ AUTO,-,-,240,-,-,-,295,-,-,-,-,-,535
BAJAJ FINANCE,-,-,10,-,-,-,6,-,-,-,-,-,16
BAJAJ FINSERV,-,-,5,-,-,-,4,-,-,-,-,-,9
BAJAJ HOLDINGS & INV,-,-,40,-,-,-,32,-,-,-,-,-,72
BALKRISIND,-,89,-,-,-,-,9,27,2,-,12,-,139
BALRAMCHIN,-,45,-,-,-,-,-,-,-,-,45,-,90
BANDHAN BANK,-,-,-,-,-,-,6,-,-,-,-,-,6
BASF,-,-,-,-,-,-,10,18,-,1,-,-,29
BATA,-,-,-,-,-,-,7,75,-,-,-,-,82
BAYER,-,-,-,-,-,-,198,85,-,-,-,-,283
BAYER_FRAC_PYMT__MIL,-,-,-,-,-,-,-,-,-,-,-,1203,1203
BEL,-,44,9,9,-,-,-,-,-,388,-,-,450
BERGER PAINTS ,-,-,22,-,-,-,-,43,-,5,-,-,70
BHARAT DYNAMICS,-,-,131,15,-,-,-,-,21,58,-,-,225
BHARAT FORGE,-,-,20,-,-,-,-,-,-,-,-,-,20
BHARAT PETROLEUM,-,-,290,-,-,-,-,-,99,-,-,-,389
BHARTI AIRTEL,-,76,-,-,-,-,25,183,-,-,67,-,351
BHARTI INFRATEL,-,-,-,-,142,-,42,75,-,-,22,19,300
BHEL,-,45,-,-,-,-,-,-,-,77,-,-,122
BIOCON,-,-,-,-,-,-,-,2,-,-,-,-,2
BLUE STAR,-,-,30,-,-,-,-,40,-,-,-,-,70
BLUEDART,-,-,-,-,-,-,-,64,-,-,-,-,64
BOROSIL GLASS WORKS,7,-,-,-,-,-,-,-,-,-,-,-,7
BOSCH,-,-,-,-,-,-,-,205,210,-,-,-,415
BRIGADE,-,-,18,-,-,-,-,42,-,10,-,-,70
BRITANNIA INDUSTRIES,-,-,-,-,140,-,-,132,415,-,-,-,687
BSE,-,5,-,-,-,-,125,569,-,-,-,25,724
CADILA HEALTHCARE,-,-,63,-,-,-,-,34,-,-,-,-,97
CARBORUNIV,-,10,64,-,-,-,-,13,-,-,-,-,87
CARE RATINGS,-,72,12,-,-,-,-,40,68,194,92,6,484
CASTROL,-,-,-,-,82,-,207,199,9,-,-,-,497
CDSL,-,-,-,-,-,-,-,24,59,-,-,-,83
CEATLTD,-,-,72,-,-,-,23,47,-,-,-,-,142
CENTURY PLYBOARDS,-,-,45,-,-,-,-,-,56,-,-,-,101
CERA SANITARYWARE,-,39,-,-,-,-,-,25,12,-,-,-,76
CHAMBAL FERTILISERS,-,-,-,-,-,-,-,-,13,26,-,-,39
CHOLAHLDNG,-,3,-,-,-,-,-,2,-,-,-,-,5
CHOLAMANDALAM FINANC,-,-,2,-,-,-,-,2,-,-,-,-,4
