3MINDIA,1,110
ABB,3,46
ABBOTT,3,370
ACC,4,181
ADANI ENTERPRISES,4,42
ADANI GAS,2,8
ADANI GREEN ENERGY,1,32
ADANIPORTS,3,32
AEGIS LOGISTICS,6,31
AKZO NOBEL,3,114
ALLCARGO,3,212
AMARAJABAT,7,210
AMBUJA CEMENTS,4,135
APL,4,134
APOLLO TYRES,4,158
APOLLOHOSP,5,143
ARVIND,2,26
ARVIND FASHIONS,1,98
ASAHI GLASS,4,38
ASHOK LEYLAND,2,66
ASIAN GRANITO ,2,6
ASIANPAINT,5,192
ASTRAZEN,1,2
AUROBINDO PHARMA,7,29
AVANTI FEEDS,5,128
AXIS BANK,2,14
BAJAJ AUTO,4,535
BAJAJ FINANCE,2,16
BAJAJ FINSERV,3,9
BAJAJ HOLDINGS & INV,2,72
BALKRISIND,13,139
BALRAMCHIN,2,90
BANDHAN BANK,1,6
BASF,4,29
BATA,4,82
BAYER,5,283
BAYER_FRAC_PYMT__MIL,1,1203
BEL,8,450
BERGER PAINTS ,5,70
BHARAT DYNAMICS,5,225
BHARAT FORGE,1,20
BHARAT PETROLEUM,5,389
BHARTI AIRTEL,6,351
BHARTI INFRATEL,7,300
BHEL,4,122
BIOCON,1,2
BLUE STAR,3,70
BLUEDART,3,64
BOROSIL GLASS WORKS,1,7
BOSCH,3,415
BRIGADE,4,70
BRITANNIA INDUSTRIES,5,687
BSE,5,724
CADILA HEALTHCARE,3,97
CARBORUNIV,5,87
CARE RATINGS,13,484
CASTROL,6,497
CDSL,3,83
CEATLTD,4,142
CENTURY PLYBOARDS,4,101
CERA SANITARYWARE,4,76
CHAMBAL FERTILISERS,2,39
CHOLAHLDNG,3,5
CHOLAMANDALAM FINANC,2,4
CHOLAMANDALAM INVEST,4,14
CIPLA,4,58
CMS,1,409
COAL,6,2895
COCHIN SHIPYARD,1,225
COLPAL,9,217
CONTAINER,6,108
COROMANDEL,6,212
COX AND KINGS,1,4
COX&KINGS,1,8
CRISIL,13,360
CROMPTON,1,18
CROMPTON GREAVES,1,7
CUMMINS,7,360
DABUR,7,113
DCM SHRIRAM,5,103
DELTA,3,26
DISH TV,1,14
DLF,6,116
DRREDDY,3,130
EICHER MOTORS,3,360
EID PARRY,3,51
EIH,3,38
EMAMI,5,139
ENDURANCE TECHNOLOGI,1,5
ENGINERSIN,7,813
ENTERTAINMENT NETWOR,2,19
ESSEL PROPACK,3,62
EVEREADY INDUSTRIES,1,9
EXIDE INDUSTRIES,7,252
FINOLEX CABLES,1,55
FLFL,3,17
FUTURE SUPPLY CHAIN,2,4
GAIL,7,826
GENERAL INSURANCE,2,81
GILLETTE,4,77
GLAXO,2,120
GLENMARK,4,45
GODFREY PHILLIPS IND,3,84
GODREJ AGROVET,3,104
GODREJ CONSUMER PROD,9,49
GODREJ INDUSTRIES,2,7
GOODYEAR,2,91
GRASIM INDUSTRIES,3,36
GREENLAM INDUSTRIES,4,20
GREENPLY INDUSTRIES,3,23
GRINDWELL,3,127
GSKCONS,2,180
HAL,2,717
HAT,5,32
HAVELLS,3,110
HCL TECHNOLOGIES,16,294
HDFC,8,1096
HDFC BANK,5,926
HDFCAMC,3,676
HDFCLIFE,2,13
HEIDELBERG,4,242
HERO MOTOCORP,7,1151
HINDALCO INDUSTRIES,4,75
HINDUNILVR,11,1743
HINDUSTAN PETROLEUM,6,898
HINDUSTAN ZINC,4,3913
HONEYWELL,3,152
HSIL,3,54
HUDCO,4,130
IBULHSGFIN,9,123
ICICI BANK,4,118
ICICI LOMBARD,5,50
ICICI SECURITIES,5,128
ICICIPRULI,6,79
ICRA,4,228
IIFL,1,10
IIFLSEC,1,4
IIFLWAM,1,317
INDHOTEL,4,127
INDIAN OIL,7,1105
INDRAPRASTHA GAS,3,28
INDUSIND BANK,1,7
INFY,10,2113
INTERGLOBE AVIATION,3,61
ITC,6,2840
ITDC,1,2
JAIN IRRIGATION SYST,1,10
JCHAC,2,2
JK TYRE AND INDUSTRI,3,77
JSW STEEL,4,162
JUBLFOOD,4,56
KAJARIA CERAMICS,4,84
KANSAINER,4,77
KAVERI SEED COMPANY,2,18
KOTAK MAHINDRA BANK,3,3
KRBL,3,37
KSB,3,60
L&TFH,3,62
LA OPALA RG,1,14
LALPATHLAB,6,43
LICHSGFIN,4,470
LT,6,880
LTI,5,118
LTTS,5,93
LUPIN,4,152
M&M,6,227
MAHINDRA LOGISTICS,3,21
MANAPPURAM,9,65
MARICO,7,216
MARUTI SUZUKI ,4,635
MCX,3,67
MHRIL,1,24
MINDTREE,1,100
MONSANTO,5,160
MOTHERSUMI,5,218
MRF,5,117
MUTHOOTFIN,3,202
NARAYANA HRUDAYALAYA,2,24
NATIONALUM,5,782
NAUKRI,9,47
NBCC,4,42
NCC,4,60
NESTLE,10,528
NHPC,6,451
NIACL,3,30
NILKAMAL,7,151
NIPPON LIFE AS,1,20
NLC,4,330
NMDC,4,386
NOVARTIS,1,30
NTPC,14,1520
OIL,8,640
ONGC,11,1418
PAGE INDUSTRIES,9,489
PAPERPROD,2,18
PC JEWELLER,1,7
PETRONET LNG,6,690
PFIZER,4,725
PGHH,4,155
PI INDUSTRIES,5,17
PIDILITIND,4,67
PIRAMAL ENTERPRISES,4,267
POWER FINANCE,3,388
POWERGRID,8,1723
PRAXIS,1,31
PRESTIGE,4,40
PURVA,3,95
PVR,4,24
QUESS,1,302
RAJESHEXPO,3,11
RALLIS,4,127
RECLTD,5,730
RELAXO FOOTWEARS,4,29
RELIANCE INDUSTRIES,4,407
SANOFI,4,486
SBILIFE,2,12
SCHAEFFLER,2,100
SHOPPERS STOP,2,6
SHREE CEMENT,2,145
SIEMENS,3,56
SIS,2,7
SKF,4,708
SOBHA,3,91
SOLAR INDUSTRIES IND,1,12
SOMANY CERAMICS,2,10
SOMANY HOME INNOVATI,1,0
SRTRANSFIN,5,40
STATE BANK ,1,26
STERLITE TECHNOLOGIE,1,245
SUMITOMO CHEMICAL IN,1,13
SUNDARMFIN,5,42
SUNPHARMA,6,263
SUPREME INDUSTRIES,7,87
SYMPHONY,1,100
TALWALKARS,2,10
TALWGYM,1,11
TATA POWER,1,16
TATACHEM,4,424
TATACOFFEE,4,249
TATACONSUM,5,373
TATAELXSI,2,29
TATAINVEST,1,40
TATAMOTORS,1,1
TATAPOWER,3,412
TATASTEEL,3,812
TCS,21,2918
TECH MAHINDRA,4,352
THE ANUP ENGINEERING,1,88
THOMASCOOK,3,9
THYROCARE TECHNOLOGI,2,50
TIINDIA,5,66
TITAN,4,102
TRENT,4,34
TTK PRESTIGE,5,1495
TUBE INVESTMENTS,1,2
TVS MOTOR COMPANY,4,34
TVSSRICHAK,2,100
UBL,4,34
UFLEX,3,40
ULTRATECH CEMENT,4,172
UPL,5,552
V GUARD INDUSTRIES,1,7
VARUN BEVERAGES,2,22
VEDANTA,5,1379
VENKEYS,2,24
VGUARD INDUSTRIES,2,46
VIP INDUSTRIES,6,106
VOLTAS,4,87
VRLLOG,4,111
VSTIND,3,584
VSTTILLERS,4,170
WABCO,1,9
WHIRLPOOL,4,31
WIPRO,6,189
WONDERLA,3,78
ZEEL,4,117
ZEELEARN,3,39
ZYDUS WELLNESS,2,10
