isin_code, comp_name, hold_qty, hold_acp, hold_units_1k
3MINDIA,3M,1,15500,16
INE117A01022,ABB,2,1459,1
INE358A01014,ABBOTT,1,4130,4
INE012A01025,ACC,2,1777,2
INE423A01024,ADANI ENTERPRISES,17,132,0
INE742F01042,ADANI PORT SPECIAL ECONO,6,381,0
INE931S01010,ADANI TRANSMISSION,7,172,0
INE647O01011,ADITYA BIRLA FASHION RTL,13,165,0
INE208C01025,AEGIS LOGISTICS,4,276,0
INE133A01011,AKZO NOBEL,2,1873,2
INE418H01029,ALLCARGO LOGISTICS,5,195,0
INE885A01032,AMARA RAJA BATTERIES,3,817,1
INE079A01024,AMBUJA CEMENTS,9,260,0
INE437A01024,APOLLO HOSPITALS ENTERPRISES L,6,1216,1
INE438A01022,APOLLO TYRES,9,259,0
INE034A01011,ARVIND,6,413,0
INE439A01020,ASAHI GLASS,7,302,0
INE022I01019,ASIAN GRANITO,2,548,1
INE021A01026,ASIAN PAINTS,8,1047,1
INE406A01037,AUROBINDO PHARMA,3,736,1
INE871C01038,AVANTI FEEDS,6,689,1
INE192R01011,AVENUE SUPERMARTS DMART,1,1268,1
INE238A01034,AXIS BANK,4,517,1
INE917I01010,BAJAJ AUTO,2,2838,3
INE296A01024,BAJAJ FINANCE,1,2974,3
INE918I01018,BAJAJ FINSERV,1,5669,6
INE118A01012,BAJAJ HOLDINGS INVESTMENT LI,1,3035,3
INE787D01026,BALKRISHNA INDUSTRIES,2,872,1
INE119A01028,BALRAMPUR CHINI MILLS,8,164,0
INE545U01014,BANDHAN BANK,2,698,1
INE028A01039,BANKBARODA,10,126,0
INE373A01013,BASF,2,1730,2
INE176A01028,BATA,4,659,1
INE462A01022,BAYER CROPSCIENCE,1,4758,5
INE463A01038,BERGER PAINTS,8,262,0
INE171Z01018,BHARAT DYNAMICS,3,362,0
INE263A01024,BHARAT ELECTRONICS,13,169,0
INE257A01026,BHARAT HEAVY ELECTRICALS,27,88,0
INE029A01011,BHARAT PETROLEUM,5,471,0
INE397D01024,BHARTI AIRTEL,27,371,0
INE121J01017,BHARTI INFRATEL,3,421,0
INE376G01013,BIOCON,2,627,1
INE233B01017,BLUE DART EXPRESS,1,4466,4
INE472A01039,BLUE STAR,1,754,1
BOSCHLTD,BOSCH,1,20437,20
INE791I01019,BRIGADE ENTERPRISES,9,243,0
INE216A01022,BRITANNIA INDUSTRIES,2,4397,4
INE118H01025,BSE,3,912,1
INE010B01027,CADILA HEALTHCARE,5,436,0
INE120A01034,CARBORUNDUM UNIVERSAL,4,338,0
INE752H01013,CARE RATINGS,2,1461,1
INE172A01027,CASTROL,12,208,0
INE482A01020,CEAT,2,1616,2
INE736A01011,CENTRAL DEPOSITORY SER IND,7,309,0
INE348B01021,CENTURY PLYBOARDS,7,303,0
INE739E01017,CERA SANITARYWARE,1,3078,3
INE085A01013,CHAMBAL FERTILISERS CHEMICAL,7,149,0
INE121A01016,CHOLAMANDALAM INVESTMENT F,1,1515,2
INE059A01026,CIPLA,4,585,1
INE522F01014,COAL,31,329,0
INE335K01011,COFFEE DAY ENTERPRISES,8,285,0
INE259A01022,COLGATE PALMOLIVE,2,1114,1
INE111A01025,CONTAINER CORPORATION,4,645,1
INE169A01031,COROMANDEL INTERNATIONAL LIMIT,5,469,0
INE008I01026,COX KINGS,8,266,0
INE007A01025,CRISIL,2,1904,2
INE299U01018,CROMPTON GREAVES CONS ELEC,4,264,0
INE298A01020,CUMMINS,3,916,1
INE016A01026,DABUR,7,321,0
INE202B01012,DEWAN HOUSING FINANCE  L,2,674,1
INE836F01026,DISH TV,28,78,0
INE271C01023,DLF,10,214,0
INE600L01024,DR LAL PATHLABS,2,889,1
INE089A01023,DR REDDYS LABORATORIES,2,2454,2
EICHERMOT,EICHERMOT,1,29030,29
INE126A01031,EID PARRY,6,340,0
INE230A01023,EIH,15,144,0
INE548C01032,EMAMI,4,621,1
INE913H01037,ENDURANCE TECHNOLOGIES,1,1510,2
INE510A01028,ENGINEERS,17,141,0
INE255A01020,ESSEL PROPACK,8,135,0
INE128A01029,EVEREADY INDUSTRIES,6,337,0
INE302A01020,EXIDE INDUSTRIES,5,228,0
INE061F01013,FORTIS HEALTHCARE,13,162,0
INE220J01025,FUTURE CONSUMER,20,59,0
INE452O01016,FUTURE LIFESTYLE FASHIONS,6,371,0
INE752P01024,FUTURE RETAIL,5,471,0
INE935Q01015,FUTURE SUPPLY CHAIN SOL,2,692,1
INE129A01019,GAIL,6,356,0
INE481Y01014,GENERAL INSURANCE CORP,4,410,0
INE322A01010,GILLETTE,1,4905,5
INE264A01014,GLAXOSMITHKLINE CONSUMER HEALT,1,5115,5
INE159A01016,GLAXOSMITHKLINE PHARMACEUTICAL,2,1685,2
INE935A01035,GLENMARK PHARMACEUTICALS,4,614,1
INE260B01028,GODFREY PHILLIPS,2,748,1
INE850D01014,GODREJ AGROVET,2,608,1
INE102D01028,GODREJ CONSUMER PRODUCTS,3,747,1
INE233A01035,GODREJ INDUSTRIES,2,628,1
INE484J01027,GODREJ PROPERTIES,3,602,1
INE047A01021,GRASIM INDUSTRIES,1,1178,1
INE544R01013,GREENLAM INDUSTRIES,2,1143,1
INE461C01038,GREENPLY INDUSTRIES,5,236,0
INE536A01023,GRINDWELL NORTON,3,443,0
INE473B01035,HATSUN AGRO PRODUCTS,2,762,1
INE176B01034,HAVELLS,5,515,1
INE860A01027,HCL TECHNOLOGIES,7,843,1
INE127D01025,HDFC ASSET MANAGEMENT CO,13,1100,1
INE040A01026,HDFC BANK,18,998,1
INE795G01014,HDFC STANDARD LIFE INS CO,3,356,0
INE158A01026,HERO MOTOCORP,2,3661,4
INE038A01020,HINDALCO INDUSTRIES,14,226,0
INE066F01012,HINDUSTAN AERONAUTICS,1,935,1
INE094A01015,HINDUSTAN PETROLEUM CORP,6,390,0
INE030A01027,HINDUSTAN UNILEVER,7,879,1
INE267A01025,HINDUSTAN ZINC,8,272,0
HONAUT,HONAUT,1,17049,17
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,8,1393,1
INE031A01017,HOUSING URBAN DEV CO HUDCO,32,70,0
INE415A01038,HSIL,6,408,0
INE275B01026,HUHTAMAKI PPL,3,325,0
INE090A01021,ICICI BANK,16,255,0
INE765G01017,ICICI LOMBARD GEN INSURANCE CO,4,708,1
INE726G01019,ICICI PRUDENTIAL LIFE INS CO,6,418,0
INE763G01038,ICICI SECURITIES ISEC,4,319,0
INE725G01011,ICRA,1,4181,4
INE559A01017,IFB INDUSTRIES,1,1400,1
INE530B01024,IIFL HOLDINGS,2,710,1
INE148I01020,INDIABULLS HOUSING FINANCE,1,1279,1
INE053A01029,INDIAN HOTELS CO,56,114,0
INE242A01010,INDIAN OIL CORPORATION,12,203,0
INE203G01027,INDRAPRASHTHA GAS,4,285,0
INE095A01012,INDUSIND BANK,1,2003,2
INE663F01024,INFO EDGE,3,1157,1
INE009A01021,INFOSYS,24,494,0
INE646L01027,INTERGLOBE AVIATION,2,1188,1
INE154A01025,ITC,40,249,0
INE175A01038,JAIN IRRIGATION SYSTEMS,10,118,0
INE573A01042,JK TYRE INDUSTRIES,14,176,0
INE782A01015,JOHNSON CONTROLS HITACHI AIR I,1,2106,2
INE019A01038,JSW STEEL,10,227,0
INE797F01012,JUBILANT FOODWORKS,4,772,1
INE217B01036,KAJARIA CERAMICS,3,717,1
INE531A01024,KANSAI NEROLAC PAINTS,5,485,0
INE455I01029,KAVERI SEED COMPANY,2,515,1
INE237A01028,KOTAK MAHINDRA BANK,2,1055,1
INE001B01026,KRBL,5,403,0
INE999A01015,KSB PUMPS,3,753,1
INE010V01017,L&T TECHNOLOGIES,1,1343,1
INE018A01030,LARSEN TOUBRO,7,1064,1
INE214T01019,LARSEN TOUBRO INFOTECH,1,1699,2
INE115A01026,LIC HOUSING FINANCE,3,707,1
INE498L01015,LT FINANCE HOLDINGS,6,177,0
INE326A01037,LUPIN,6,1509,2
INE536H01010,MAHINDRA CIE AUTOMOTIVE,4,244,0
INE998I01010,MAHINDRA HOLIDAYS RESORTS IN,6,375,0
INE766P01016,MAHINDRA LOGISTICS,2,490,0
INE101A01026,MAHINDRA MAHINDRA,4,696,1
INE774D01024,MAHINDRA MAHINDRA FINANCIAL,3,437,0
INE522D01027,MANAPPURAM FINANCE,10,125,0
INE196A01026,MARICO,7,328,0
INE585B01010,MARUTI SUZUKI,1,7411,7
INE274B01011,MONSANTO,2,2790,3
INE775A01035,MOTHERSON SUMI SYSTEMS,6,357,0
MRF,MRF,1,65870,66
INE745G01035,MULTI COMMODITY EXCHANGE,1,843,1
INE414G01012,MUTHOOT FINANCE,4,447,0
INE410P01011,NARAYANA HRUDAYALAYA,7,324,0
INE139A01034,NATIONAL ALUMINIUM CO,34,74,0
INE095N01031,NBCC,20,106,0
INE868B01028,NCC,21,110,0
INE239A01016,NESTLE,1,6693,7
INE848E01016,NHPC,40,28,0
INE310A01015,NILKAMAL,2,1815,2
INE589A01014,NLC,12,96,0
INE584A01023,NMDC,17,137,0
INE733E01010,NTPC,42,150,0
INE274J01014,OIL,10,226,0
INE213A01029,OIL NATURAL GAS CORPORATIO,25,197,0
INE603J01030,P I INDUSTRIES,1,910,1
PAGEIND,PAGEIND,1,21500,22
INE785M01013,PC JEWELLER,14,174,0
INE347G01014,PETRONET LNG,9,233,0
INE182A01018,PFIZER,1,1818,2
INE318A01026,PIDILITE INDUSTRIES,3,866,1
INE140A01024,PIRAMAL ENTERPRISES,2,2741,3
INE134E01011,POWER FINANCE CORPORATION,17,134,0
INE752E01010,POWER GRID CORPORATIONINDI,29,191,0
INE811K01011,PRESTIGE ESTATES PROJECTS LIMI,9,271,0
INE179A01014,PROCTER GAMBLE HYGIENE HEA,1,8019,8
INE323I01011,PURAVANKARA,23,94,0
INE191H01014,PVR,2,1465,1
INE615P01015,QUESS CORP,1,1036,1
INE343B01030,RAJESH EXPORTS,4,739,1
INE613A01020,RALLIS,10,248,0
INE131B01039,RELAXO FOOTWEARS,4,592,1
INE002A01018,RELIANCE INDUSTRIES,15,511,1
INE020B01018,RURAL ELECTRIFICATION CORPORAT,12,184,0
INE058A01010,SANOFI,1,4094,4
INE123W01016,SBI LIFE INSURANCE COMPANY,2,739,1
INE513A01014,SCHAEFFLER,1,5587,6
INE916U01025,SHEELA FOAM,1,1649,2
INE109A01011,SHIPPING CORP LT,27,82,0
INE498B01024,SHOPPERS STOP,5,424,0
INE087H01022,SHREE RENUKA SUGARS,100,13,0
SHREECEM,SHREECEM,1,16940,17
INE721A01013,SHRIRAM TRANSPORT FINANCE CO,1,1093,1
INE003A01024,SIEMENS,2,1360,1
INE640A01023,SKF,2,1693,2
INE671H01015,SOBHA,6,425,0
INE355A01028,SOMANY CERAMICS,1,883,1
INE062A01020,STATE BANK,20,248,0
INE044A01036,SUN PHARMACEUTICAL INDUSTRIES,15,737,1
INE660A01013,SUNDARAM FINANCE,1,1613,2
INE195A01028,SUPREME INDUSTRIES,2,1206,1
INE502K01016,TALWALKARS BETTER VALUE FITNES,8,303,0
INE627Z01019,TALWALKARS LIFESTYLES,11,41,0
INE092A01019,TATA CHEMICALS,4,695,1
INE493A01027,TATA COFFEE,15,152,0
INE467B01029,TATA CONSULTANCY SERVICES,16,1166,1
INE192A01025,TATA GLOBAL BEVERAGES,12,191,0
INE672A01018,TATA INVESTMENT CORPORATION LT,2,848,1
INE155A01022,TATA MOTORS,8,399,0
INE245A01021,TATA POWER CO,25,85,0
INE081A01012,TATA STEEL,14,494,0
INE669C01036,TECH MAHINDRA,6,474,0
INE470Y01017,THE NEW ASSURANCE CO,4,380,0
INE332A01027,THOMAS COOK,10,235,0
INE149A01033,TI FINANCIAL HOLDINGS,4,672,1
INE280A01028,TITAN COMPANY,6,647,1
INE849A01020,TRENT,7,300,0
INE690A01010,TTK PRESTIGE,1,6421,6
INE974X01010,TUBE INVESTMENTS,5,246,0
INE494B01023,TVS MOTOR COMPANY,6,588,1
INE516A01017,UFLEX,4,293,0
INE481G01011,ULTRATECH CEMENT,3,3697,4
INE686F01025,UNITED BREWERIES,2,955,1
INE854D01024,UNITED SPIRITS,25,495,0
INE628A01036,UPL,7,743,1
INE951I01027,V GUARD INDUSTRIES,4,253,0
INE200M01013,VARUN BEVERAGES,4,635,1
INE205A01025,VEDANTA,20,258,0
INE398A01010,VENKYS,1,2130,2
INE054A01027,VIP INDUSTRIES,9,255,0
INE669E01016,VODAFONE IDEA,41,74,0
INE226A01021,VOLTAS,4,547,1
INE366I01010,VRL LOGISTICS,6,395,0
INE710A01016,VST INDUSTRIES,1,3002,3
INE764D01017,VSTTILLERS TRACTORS,1,2075,2
INE342J01019,WABCO,1,6926,7
INE274F01020,WESTLIFE DEVELOPMENT,4,245,0
INE716A01013,WHIRLPOOL,2,1386,1
INE075A01022,WIPRO,22,256,0
INE066O01014,WONDERLA HOLIDAYS,3,377,0
INE256A01028,ZEE ENTERTAINMENT ENTERPRISES,10,510,1
INE565L01011,ZEE LEARN,47,46,0
