ADANIGAS, profit5, missing data
ADVENZYMES, dp3, 5.7
APLAPOLLO, d2e, 0.89
APOLLOHOSP, d2e, 0.83
APOLLOTYRE, roce3, 10.98
ASTERDM, d2e, 0.98
AUROPHARMA, dp3, 6.2
BAJAJHLDNG, sales5, 0.17
BAJFINANCE, dp3, 9.63
BALRAMCHIN, d2e, 0.83
BANKBARODA, dp3, 5.09
BASF, d2e, 0.65
BDL, profit5, missing data
BEML, roce3, 7.02
BHARATFORG, d2e, 0.59
BIOCON, roce3, 11.54
BIRLACORPN, d2e, 0.9
BLISSGVS, rank, 589.0
BPCL, d2e, 0.78
CADILAHC, d2e, 0.76
CANFINHOME, dp3, 9.86
CEATLTD, d2e, 0.54
CENTURYPLY, d2e, 0.54
CIPLA, roce3, 9.38
COROMANDEL, d2e, 0.88
CROMPTON, d2e, 0.59
DCBBANK, dp3, 8.69
DHFL, dp3, 6.08
DLF, d2e, 0.52
DRREDDY, roce3, 9.9
EIHOTEL, roce3, 6.99
ESCORTS, dp3, 8.3
FCONSUMER, d2e, 0.82
FDC, dp3, 7.16
FEDERALBNK, roe3, 9.28
FINEORG, profit5, missing data
FLFL, d2e, 0.52
FRETAIL, d2e, 0.69
GALAXYSURF, profit5, missing data
GESHIP, d2e, 0.88
GHCL, d2e, 0.66
GLENMARK, d2e, 0.79
GODFRYPHLP, sales5, 0.0
GRANULES, d2e, 0.65
GSFC, roce3, 7.34
GUJALKALI, dp3, 9.79
GULFOILLUB, sales5, missing data
HAL, profit5, missing data
HATHWAY, d2e, 0.54
HDFCAMC, profit5, missing data
HDFCLIFE, icr, missing data
HERITGFOOD, dp3, 9.85
HINDALCO, d2e, 0.91
HINDCOPPER, d2e, 0.66
HINDPETRO, d2e, 0.97
HONAUT, dp3, 9.21
HUDCO, roe3, 10.41
ICICIBANK, roe3, 6.94
ICICIGI, icr, missing data
IDFC, dp3, 6.49
INDHOTEL, d2e, 0.53
INDIACEM, d2e, 0.65
INDIANB, dp3, 6.83
INDUSINDBK, pledge, 26.33
INOXLEISUR, icr, 3.79
IOC, d2e, 0.86
IPCALAB, dp3, 6.82
IRCON, d2e, 0.78
ISEC, profit5, missing data
ITDC, roce3, 6.5
ITDCEM, d2e, 0.52
ITI, d2e, 0.7
JAMNAAUTO, rank, 511.0
JINDALSAW, d2e, 0.91
JKCEMENT, d2e, 0.82
JSWENERGY, d2e, 0.89
JYOTHYLAB, pledge, 26.66
KALPATPOWR, pledge, 39.07
KEC, d2e, 0.76
KEI, d2e, 0.77
KRBL, d2e, 0.52
KTKBANK, roe3, 8.21
LAURUSLABS, d2e, 0.67
LUPIN, d2e, 0.62
LUXIND, dp3, 5.62
MAGMA, roe3, 8.48
MAHLOG, profit5, missing data
MINDAIND, d2e, 0.63
MMTC, d2e, 0.62
MRPL, d2e, 0.85
NBVENTURES, d2e, 0.96
NCC, d2e, 0.59
NESCO, dp3, 9.36
NH, d2e, 0.75
NHPC, d2e, 0.65
NILKAMAL, rank, 548.0
NMDC, sales5, 0.16
OBEROIRLTY, roce3, 10.8
OFSS, profit5, 0.39
OIL, roce3, 11.86
ORIENTELEC, profit5, missing data
PARAGMILK, rank, 543.0
PCJEWELLER, d2e, 0.54
PETRONET, sales5, 0.34
PFC, roe3, 11.92
PGHL, icr, missing data
PNCINFRA, dp3, 5.06
QUESS, icr, 3.29
RAJESHEXPO, d2e, 0.7
RALLIS, profit5, 0.42
RBLBANK, roe3, 11.96
RELCAPITAL, dp3, 6.15
RELIANCE, d2e, 0.79
REPCOHOME, dp3, 6.79
RITES, profit5, missing data
SBILIFE, icr, missing data
SHILPAMED, dp3, 5.72
SHK, rank, 517.0
SIS, d2e, 0.78
SOUTHBANK, roe3, 6.64
SRF, d2e, 0.9
SRTRANSFIN, dp3, 9.33
SUDARSCHEM, d2e, 0.52
SUNTECK, dp3, 9.3
SYNGENE, dp3, 5.51
TAKE, rank, 534.0
TATAGLOBAL, roce3, 10.03
TIINDIA, profit5, missing data
TIMETECHNO, icr, 3.73
TIMKEN, dp3, 6.48
TRENT, icr, 3.44
TRIDENT, d2e, 0.83
TVTODAY, rank, 556.0
UJJIVAN, profit5, missing data
ULTRACEMCO, d2e, 0.8
VARROC, d2e, 0.79
VENKEYS, dp3, 6.3
WABAG, d2e, 0.57
WABCOINDIA, dp3, 5.94
WIPRO, dp3, 6.03
YESBANK, pledge, 40.78
ZYDUSWELL, roce3, 11.31
