3MINDIA, dp3, 0.0
ADANIGREEN, pledge, 37.23
ADANIPORTS, pledge, 32.1
ADANIPOWER, pledge, 29.32
ADANITRANS, pledge, 50.37
ADVENZYMES, rank, 547.0
AJANTPHARM, pledge, 13.37
ALBK, roe3, -36.84
ANDHRABANK, roe3, -17.58
APOLLOHOSP, pledge, 71.26
APOLLOTYRE, pledge, 15.02
ASIANPAINT, pledge, 11.95
ASTRAL, dp3, 4.45
ASTRAZEN, dp3, 0.0
AXISBANK, roe3, 4.71
BAJAJCON, pledge, 60.72
BAJAJELEC, d2e, 1.47
BAJAJFINSV, dp3, 1.17
BALMLAWRIE, rank, 530.0
BANKBARODA, roe3, 0.62
BANKINDIA, roe3, -13.28
BASF, roce3, 5.13
BBTC, dp3, 1.65
BHARATFORG, d2e, 0.59
BHEL, roce3, 5.42
BLISSGVS, rank, 589.0
BPCL, d2e, 0.78
CADILAHC, d2e, 0.76
CANBK, roe3, -1.86
CEATLTD, d2e, 0.54
CENTRALBK, roe3, -24.6
CENTURYPLY, d2e, 0.54
CGPOWER, rank, 503.0
CHALET, pledge, 32.12
CHAMBLFERT, pledge, 11.8
CHOLAHLDNG, dp3, 2.72
COFFEEDAY, pledge, 75.7
COROMANDEL, d2e, 0.88
CORPBANK, roce3, 3.52
CREDITACC, dp3, 0.0
CROMPTON, pledge, 48.85
CUB, dp3, 4.11
DBL, pledge, 27.56
DISHTV, pledge, 94.47
DLF, roce3, 5.75
DMART, dp3, 0.0
ECLERX, dp3, 1.36
EDELWEISS, pledge, 17.02
EMAMILTD, pledge, 46.81
EQUITAS, roe3, 5.59
ERIS, dp3, 0.0
FCONSUMER, pledge, 61.1
FLFL, pledge, 13.84
FRETAIL, pledge, 51.51
GESHIP, roce3, 5.24
GET&D, dp3, -3.14
GICRE, roe3, 5.31
GMRINFRA, pledge, 73.88
GODREJPROP, roce3, 5.8
GUJGASLTD, d2e, 1.01
HATHWAY, roce3, -0.51
HERITGFOOD, rank, 518.0
HIMATSEIDE, rank, 553.0
HINDPETRO, d2e, 0.97
HSCL, dp3, 2.97
IBREALEST, dp3, 0.0
IDBI, roe3, -37.88
IDEA, roce3, -3.07
IDFC, roe3, 2.77
IDFCFIRSTB, roe3, -0.13
IFCI, rank, 533.0
INDIANB, roe3, 5.6
INDUSINDBK, pledge, 26.33
IOB, roe3, -31.27
IOC, d2e, 0.86
ITDC, rank, 505.0
ITDCEM, rank, 542.0
ITI, dp3, 0.0
JAICORPLTD, rank, 552.0
JAMNAAUTO, rank, 511.0
JCHAC, dp3, 4.61
JINDALSTEL, pledge, 64.85
JKCEMENT, d2e, 0.82
JKTYRE, rank, 536.0
JSL, rank, 591.0
JSLHISAR, rank, 544.0
JSWENERGY, pledge, 58.09
JSWSTEEL, pledge, 49.13
JUSTDIAL, dp3, 0.0
JYOTHYLAB, pledge, 26.66
KALPATPOWR, pledge, 39.07
KEC, d2e, 0.76
KOTAKBANK, dp3, 2.17
KPRMILL, dp3, 1.82
KRBL, d2e, 0.52
LAURUSLABS, pledge, 31.46
LEMONTREE, pledge, 34.14
LINDEINDIA, roce3, 4.83
LT, d2e, 1.97
LUPIN, d2e, 0.62
MAHABANK, roce3, 2.84
MAHSCOOTER, roce3, 0.72
MAXINDIA, rank, 550.0
MFSL, pledge, 80.36
MMTC, roce3, 4.95
MOTHERSUMI, d2e, 1.05
MRF, dp3, 2.13
MRPL, d2e, 0.85
NBVENTURES, rank, 560.0
NCC, pledge, 41.35
NIACL, roce3, -2.45
NILKAMAL, rank, 548.0
NLCINDIA, d2e, 1.05
OMAXE, pledge, 56.63
ORIENTBANK, roe3, -16.14
ORIENTCEM, rank, 558.0
PARAGMILK, rank, 543.0
PNB, roe3, -16.81
POLYCAB, dp3, 4.84
PTC, rank, 519.0
QUESS, dp3, 0.0
RAJESHEXPO, dp3, 2.41
RELCAPITAL, pledge, 96.5
RELINFRA, pledge, 98.11
SADBHAV, pledge, 35.9
SAIL, roce3, 2.94
SBIN, roe3, -0.33
SFL, dp3, 0.0
SHK, rank, 517.0
SHOPERSTOP, pledge, 12.62
SOBHA, pledge, 20.37
SPARC, roce3, -95.45
SRF, d2e, 0.9
STAR, pledge, 13.02
STARCEMENT, dp3, 4.23
STRTECH, d2e, 1.2
SUDARSCHEM, rank, 509.0
SUNPHARMA, pledge, 10.97
TAKE, rank, 534.0
TATAINVEST, roe3, 3.04
TCNSBRANDS, dp3, 0.0
TEAMLEASE, dp3, 0.0
TIMETECHNO, rank, 526.0
TORNTPHARM, d2e, 1.28
TV18BRDCST, roce3, 2.82
TVTODAY, rank, 556.0
UBL, pledge, 18.2
UCOBANK, roe3, -31.12
UFLEX, rank, 583.0
UNIONBANK, roe3, -10.46
UPL, d2e, 1.99
VBL, d2e, 1.3
VEDL, d2e, 1.06
VMART, dp3, 4.94
WABAG, rank, 601.0
WELSPUNIND, d2e, 1.19
WOCKPHARMA, roce3, -0.95
YESBANK, pledge, 40.78
ZEEL, pledge, 63.98
