Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532419,SMARTLINK,Smartlink Holdings Ltd,28 Apr 2016,Buy Back of Shares ,29 Apr 2016,-,-,22 Apr 2016,28 Apr 2016,-
507685,WIPRO,WIPRO LTD.,05 May 2016,Buy Back of Shares ,06 May 2016,-,-,29 Apr 2016,05 May 2016,-
532784,SOBHA,Sobha Limited,03 Jun 2016,Buy Back of Shares ,06 Jun 2016,-,-,30 May 2016,03 Jun 2016,-
532380,BABA,BABA ARTS LTD.-$,09 Jun 2016,Buy Back of Shares ,10 Jun 2016,-,-,06 Jun 2016,09 Jun 2016,-
534816,INFRATEL,BHARTI INFRATEL LTD.,15 Jun 2016,Buy Back of Shares ,16 Jun 2016,-,-,09 Jun 2016,15 Jun 2016,-
524715,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,14 Jul 2016,Buy Back of Shares ,15 Jul 2016,-,-,08 Jul 2016,14 Jul 2016,-
500672,NOVARTIND,NOVARTIS INDIA LTD.,21 Jul 2016,Buy Back of Shares ,22 Jul 2016,-,-,15 Jul 2016,21 Jul 2016,-
532234,NATIONALUM,NATIONAL ALUMINIUM CO.LTD.,28 Jul 2016,Buy Back of Shares ,29 Jul 2016,-,-,22 Jul 2016,28 Jul 2016,-
533286,MOIL,MOIL LTD.,05 Aug 2016,Buy Back of Shares ,08 Aug 2016,-,-,01 Aug 2016,05 Aug 2016,-
526371,NMDC,NMDC LTD.,18 Aug 2016,Buy Back of Shares ,19 Aug 2016,-,-,10 Aug 2016,18 Aug 2016,-
522249,MAYURUNIQ,MAYUR UNIQUOTERS LTD.-$,25 Aug 2016,Buy Back of Shares ,26 Aug 2016,-,-,19 Aug 2016,25 Aug 2016,-
500530,BOSCHLTD,BOSCH LTD.,02 Sep 2016,Buy Back of Shares ,06 Sep 2016,-,-,29 Aug 2016,02 Sep 2016,-
533278,COALINDIA,COAL INDIA LTD.,08 Sep 2016,Buy Back of Shares ,09 Sep 2016,-,-,01 Sep 2016,08 Sep 2016,-
500049,BEL,BHARAT ELECTRONICS LTD.,26 Sep 2016,Buy Back of Shares ,27 Sep 2016,-,-,20 Sep 2016,26 Sep 2016,-
532735,RSYSTEMINT,R Systems International Limited,29 Sep 2016,Buy Back of Shares ,30 Sep 2016,-,-,29 Sep 2016,29 Sep 2016,-
500068,DISAQ,DISA INDIA LTD.,03 Oct 2016,Buy Back of Shares ,04 Oct 2016,-,-,27 Sep 2016,03 Oct 2016,-
532927,ECLERX,ECLERX SERVICES LTD.,27 Oct 2016,Buy Back of Shares ,28 Oct 2016,-,-,21 Oct 2016,26 Oct 2016,-
524348,AARTIDRUGS,AARTI DRUGS LTD.,01 Nov 2016,Buy Back of Shares ,02 Nov 2016,-,-,25 Oct 2016,01 Nov 2016,-
524208,AARTIIND,AARTI INDUSTRIES LTD.,01 Nov 2016,Buy Back of Shares ,02 Nov 2016,-,-,25 Oct 2016,01 Nov 2016,-
500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,07 Nov 2016,Buy Back of Shares ,08 Nov 2016,-,-,01 Nov 2016,07 Nov 2016,-
532749,ALLCARGO,ALLCARGO LOGISTICS LTD.,17 Nov 2016,Buy Back of Shares ,18 Nov 2016,-,-,17 Nov 2016,17 Nov 2016,-
508989,NAVNETEDUL,Navneet Education Limited,24 Nov 2016,Buy Back of Shares ,25 Nov 2016,-,-,18 Nov 2016,24 Nov 2016,-
502986,VTL,VARDHMAN TEXTILES LTD.,08 Dec 2016,Buy Back of Shares ,09 Dec 2016,-,-,02 Dec 2016,07 Dec 2016,-
533154,INFINITE,Infinite Computer Solutions (India) Ltd,22 Dec 2016,Buy Back of Shares ,23 Dec 2016,-,-,16 Dec 2016,22 Dec 2016,-
532889,KPRMILL,K.P.R. Mill Limited,29 Dec 2016,Buy Back of Shares ,31 Dec 2016,-,-,29 Dec 2016,29 Dec 2016,-
532129,HEXAWARE,HEXAWARE TECHNOLOGIES LTD.,05 Jan 2017,Buy Back of Shares ,06 Jan 2017,-,-,30 Dec 2016,05 Jan 2017,-
532663,SASKEN,Sasken Technologies Ltd,05 Jan 2017,Buy Back of Shares ,06 Jan 2017,-,-,30 Dec 2016,05 Jan 2017,-
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,12 Jan 2017,Buy Back of Shares ,13 Jan 2017,-,-,06 Jan 2017,12 Jan 2017,-
507717,DHANUKA,DHANUKA AGRITECH LTD.,12 Jan 2017,Buy Back of Shares ,13 Jan 2017,-,-,06 Jan 2017,12 Jan 2017,-
532259,APARINDS,APAR INDUSTRIES LTD.,19 Jan 2017,Buy Back of Shares ,20 Jan 2017,-,-,13 Jan 2017,19 Jan 2017,-
