YEAR, Qtr, Month, TXN#, Sale, Buy, Net, Portfolio
2008, Q1, all,  55,      0,  63138,  63138,   63138
2008, Q2, all,  12,  43940,      0, -43940,   19197
2008, Q3, all, 120, 197290,  86697, -110593,  -91396
2008, Q4, all,  80,  10866, 287930, 277064,  185668
2009, Q3, all,   3,      0,   8456,   8456,  194124
2009, Q4, all,   4,      0,   3492,   3492,  197616
2010, Q4, all,  27,      0,  17925,  17925,  215541
2013, Q1, all,   6,    791,  13291,  12499,  228040
2013, Q2, all,   3,      0,   8229,   8229,  236269
2013, Q3, all,   3,      0,   8713,   8713,  244982
2013, Q4, all,  63, 109486,  13688, -95798,  149183
2014, Q1, all,  22,      0,  28223,  28223,  177406
2014, Q2, all,  39,      0, 162515, 162515,  339921
2014, Q3, all,  25,      0,  29578,  29578,  369499
2014, Q4, all,  20,      0,  68095,  68095,  437594
2016, Q1, all,  10,      0,  54905,  54905,  492499
2016, Q2, all,  15,      0,  26640,  26640,  519139
2016, Q3, all,  41,      0,  89593,  89593,  608732
2017, Q1, all, 131,      0, 198079, 198079,  806811
2017, Q2, all,  85,      0, 237159, 237159, 1043970
2017, Q3, all, 100, 189876, 225147,  35270, 1079240
2017, Q4, all,  43,      0,  96048,  96048, 1175288
2018, Q1, all,  39,      0,  54999,  54999, 1230287
2018, Q4, all,  66,      0,  67582,  67582, 1297869
