comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ASIAN PNT,-,-,-,-,-,-,-,-,-,-,5,-,5
BHARTI AIRTEL,-,-,-,-,-,-,-,34,-,-,-,-,34
COAL,-,-,537,-,-,-,-,-,-,-,-,-,537
HCL TECHNOLOGIES,-,30,-,-,-,-,-,-,-,-,12,-,42
HDFC,-,-,18,-,-,-,-,-,-,-,-,-,18
HDFC BANK,-,-,-,-,-,-,114,-,-,-,-,-,114
HINDUSTAN UNILEVER,-,-,-,-,-,-,29,-,-,-,21,-,50
ICICI BANK,-,-,-,-,-,-,50,-,-,-,-,-,50
INFOSYS,-,-,-,-,-,57,-,-,-,66,-,-,123
ITC,-,-,-,-,-,-,196,125,-,-,-,-,321
LARSEN AND TOUBRO LT,-,-,-,-,-,-,-,36,-,-,-,-,36
NTPC,-,41,16,-,-,-,-,-,28,-,-,-,85
OIL AND NATURAL GAS,-,20,-,-,-,-,-,-,20,-,27,-,67
POWERGRID,-,-,24,-,-,-,-,-,-,-,-,-,24
STATE BANK ,-,-,-,-,-,26,-,-,-,-,-,-,26
SUN PHARMACEUTICAL I,-,-,-,-,-,-,-,-,9,-,-,-,9
TCS,-,39,-,-,-,27,-,6,-,-,19,-,91
TMOTORSOS F,-,-,-,-,-,-,-,1,-,-,-,-,1
WIPRO,-,18,-,-,-,-,4,-,-,-,-,-,22
Total,-,148,595,-,-,110,393,202,57,66,84,-,-
