amfi_rank, amfi_ticker, amfi_cname, plan_sku, cur_sku, tbd_sku
1, RELIANCE, Reliance industries, 10, 16, 0
2, TCS, Tata consultancy services, 10, 31, 0
3, HDFCBANK, Hdfc bank, 10, 0, 10
4, HINDUNILVR, Hindustan unilever, 10, 27, 0
5, ITC, Itc, 10, 42, 0
6, HDFC, Housing development finance co, 10, 25, 0
7, INFY, Infosys, 10, 31, 0
8, SBIN, State bank, 10, 6, 4
9, KOTAKBANK, Kotak mahindra bank, 10, 2, 8
10, ICICIBANK, Icici bank, 10, 12, 0
11, MARUTI, Maruti suzuki, 10, 26, 0
12, ONGC, Oil natural gas corporatio, 10, 25, 0
13, LT, Larsen toubro, 10, 32, 0
14, AXISBANK, Axis bank, 10, 0, 10
15, BAJFINANCE, Bajaj finance, 10, 3, 7
16, WIPRO, Wipro, 10, 7, 3
17, COALINDIA, Coal, 10, 25, 0
18, BHARTIARTL, Bharti airtel, 10, 17, 0
19, HCLTECH, Hcl technologies, 10, 6, 4
20, IOC, Indian oil corporation, 10, 22, 0
21, ASIANPAINT, Asian paints, 10, 15, 0
22, NTPC, Ntpc, 10, 23, 0
23, BAJAJFINSV, Bajaj finserv, 10, 6, 4
24, ULTRACEMCO, Ultratech cement, 10, 15, 0
25, HINDZINC, Hindustan zinc, 10, 20, 0
26, NESTLEIND, Nestle, 10, 0, 10
27, SUNPHARMA, Sun pharmaceutical industries, 10, 21, 0
28, POWERGRID, Power grid corporationindi, 10, 22, 0
29, TITAN, Titan company, 10, 5, 5
30, INDUSINDBK, Indusind bank, 10, 0, 10
31, DMART, Avenue supermarts, 10, 3, 7
32, BAJAJ-AUTO, Bajaj auto, 10, 12, 0
33, M&M, Mahindra mahindra, 10, 19, 0
34, BPCL, Bharat petroleum corporation l, 10, 6, 4
35, HDFCLIFE, Hdfc life insurance company li, 10, 2, 8
36, ADANIPORTS, Adani ports special econom, 10, 2, 8
37, GAIL, Gail, 10, 21, 0
38, TECHM, Tech mahindra, 10, 5, 5
39, DABUR, Dabur, 10, 5, 5
40, BRITANNIA, Britannia industries, 10, 9, 1
41, GODREJCP, Godrej consumer products, 10, 2, 8
42, JSWSTEEL, Jsw steel, 10, 7, 3
43, VEDL, Vedanta, 10, 22, 0
44, SHREECEM, Shree cement, 10, 18, 0
45, SBILIFE, Sbi life insurance company, 10, 3, 7
46, BANDHANBNK, Bandhan bank, 10, 0, 10
47, PIDILITIND, Pidilite industries, 10, 5, 5
48, TATAMOTORS, Tata motors, 10, 8, 2
49, TATASTEEL, Tata steel, 10, 18, 0
50, EICHERMOT, Eicher motors, 10, 23, 0
51, GRASIM, Grasim industries, 10, 3, 7
52, BOSCHLTD, Bosch, 10, 30, 0
53, HEROMOTOCO, Hero motocorp, 10, 33, 0
54, INFRATEL, Bharti infratel, 10, 6, 4
55, INDIGO, Interglobe aviation, 10, 3, 7
56, ICICIPRULI, Icici prudential life insurance company, 10, 3, 7
57, MARICO, Marico, 10, 11, 0
58, HAVELLS, Havells, 10, 11, 0
59, ICICIGI, Icici lombard general insurance company, 10, 3, 7
60, UPL, Upl, 10, 8, 2
61, HINDALCO, Hindalco industries, 10, 6, 4
62, YESBANK, Yes bank, 10, 0, 10
63, MOTHERSUMI, Motherson sumi systems, 10, 7, 3
64, DRREDDY, Drreddys laboratories, 10, 5, 5
65, CIPLA, Cipla, 10, 3, 7
66, AMBUJACEM, Ambuja cements, 10, 12, 0
67, PEL, Piramal enterprises, 10, 14, 0
68, DIVISLAB, Divis laboratories, 10, 0, 10
69, AUROPHARMA, Aurobindo pharma, 10, 3, 7
70, GICRE, General insurance corporation, 10, 15, 0
71, MCDOWELL-N, United spirits, 10, 14, 0
72, HINDPETRO, Hindustan petroleum corporatio, 10, 14, 0
73, SIEMENS, Siemens, 10, 5, 5
74, ZEEL, Zee entertainment enterprises, 10, 11, 0
75, UBL, United breweries, 10, 11, 0
76, BAJAJHLDNG, Bajaj holdings investment lt, 10, 5, 5
77, LUPIN, Lupin, 10, 10, 0
78, BIOCON, Biocon, 10, 1, 9
79, BANKBARODA, Bankbaroda, 10, 0, 10
80, DLF, Dlf, 10, 2, 8
81, IDEA, Vodafone idea, 10, 0, 10
82, PETRONET, Petronet lng, 10, 14, 0
83, PGHH, Procter gamble hygiene hea, 10, 20, 0
84, PNB, Punjab national bank, 10, 0, 10
85, COLPAL, Colgate palmolive, 10, 9, 1
86, HDFCAMC, Hdfc asset management company, 10, 14, 0
87, IDBI, Idbi bank, 10, 0, 10
88, CADILAHC, Cadila healthcare, 10, 5, 5
89, NMDC, Nmdc, 10, 13, 0
90, CONCOR, Container corporation, 10, 5, 5
91, IBULHSGFIN, Indiabulls housing finance, 10, 0, 10
92, GSKCONS, Glaxosmithkline consumer healt, 10, 0, 10
93, BERGEPAINT, Berger paints, 10, 3, 7
94, PFC, Power finance corporation, 10, 14, 0
95, OFSS, Oracle financial services soft, 10, 0, 10
96, LTI, Larsen toubro infotech, 10, 7, 3
97, TORNTPHARM, Torrent pharmaceuticals, 10, 0, 10
98, ABB, Abb, 10, 4, 6
99, NIACL, The new assurance company, 10, 0, 10
100, ACC, Acc, 10, 11, 0
101, RECLTD, Rec, 5, 16, 0
102, RBLBANK, Rbl bank, 5, 0, 5
103, L&TFH, L&t finance holdings, 5, 5, 0
104, ASHOKLEY, Ashok leyland, 5, 5, 0
105, SRTRANSFIN, Shriram transport finance col, 5, 4, 1
106, M&MFIN, Mahindra mahindra financial, 5, 6, 0
107, 3MINDIA, 3m, 5, 0, 5
108, LICHSGFIN, Lic housing finance, 5, 14, 0
109, PAGEIND, Page industries, 5, 24, 0
110, NHPC, Nhpc, 5, 13, 0
111, MRF, Mrf, 5, 0, 5
112, KANSAINER, Kansai nerolac paints, 5, 5, 0
113, BHEL, Bharat heavy electricals, 5, 18, 0
114, ADANITRANS, Adani transmission, 5, 0, 5
115, HAL, Hindustan aeronautics, 5, 12, 0
116, TVSMOTOR, Tvs motor company, 5, 0, 5
117, MUTHOOTFIN, Muthoot finance, 5, 5, 0
118, NAUKRI, Info edge, 5, 3, 2
119, BEL, Bharat electronics, 5, 20, 0
120, BHARATFORG, Bharat forge, 5, 5, 0
121, BANKINDIA, Bank, 5, 0, 5
122, GLAXO, Glaxosmithkline pharmaceutical, 5, 3, 2
123, GILLETTE, Gillette, 5, 12, 0
124, SUNTV, Sun tv network, 5, 3, 2
125, FRETAIL, Future retail, 5, 6, 0
126, IDFCFIRSTB, Idfc first bank, 5, 0, 5
127, ALKEM, Alkem laboratories, 5, 0, 5
128, SAIL, Steel authority, 5, 0, 5
129, IGL, Indraprastha gas, 5, 1, 4
130, CUMMINSIND, Cummins, 5, 11, 0
131, CHOLAFIN, Cholamandalam investment f, 5, 3, 2
132, ABCAPITAL, Aditya birla capital, 5, 0, 5
133, HONAUT, Honeywell automation, 5, 23, 0
134, GRUH, Gruh finance, 5, 0, 5
135, OIL, Oil, 5, 13, 0
136, CANBK, Canara bank, 5, 0, 5
137, VOLTAS, Voltas, 5, 5, 0
138, EXIDEIND, Exide industries, 5, 10, 0
139, TATAPOWER, Tata power co, 5, 10, 0
140, FEDERALBNK, Federal bank, 5, 0, 5
141, RAJESHEXPO, Rajesh exports, 5, 0, 5
142, DALBHARAT, Dalmia bharat, 5, 0, 5
143, GODREJPROP, Godrej properties, 5, 0, 5
144, WHIRLPOOL, Whirlpool, 5, 3, 2
145, OBEROIRLTY, Oberoi realty, 5, 0, 5
146, MPHASIS, Mphasis, 5, 0, 5
147, AUBANK, Au small finance bank, 5, 0, 5
148, ADANIPOWER, Adani power, 5, 0, 5
149, INDHOTEL, Indian hotels co, 5, 11, 0
150, EMAMILTD, Emami, 5, 12, 0
151, IBVENTURES, Indiabulls ventures, 5, 0, 5
152, JUBLFOOD, Jubilant foodworks, 5, 3, 2
153, APOLLOHOSP, Apollo hospitals enterprise lt, 5, 8, 0
154, GLENMARK, Glenmark pharmaceuticals, 5, 4, 1
155, LTTS, L&t technology services limite, 5, 6, 0
