stock_symbol, isin_code, comp_name, demat_sum_qty, demat_sum_acp, demat_sum_sku, demat_txn_last_type, demat_txn_last_date
,UNK_COMP_E,Westlife development,7,284.76,2,Buy,2018-11-09
ABB,INE117A01022,Abb,5,1216.55,6,Buy,2020-06-05
ACC,INE012A01025,Acc,7,1579.77,11,Buy,2019-12-09
ADANIENT,INE423A01024,Adani enterprises,23,142.25,3,Buy,2018-11-09
ADANIGAS,INE399L01023,Adani gas,17,72.0,1,Buy,2018-11-04
ADANIPORTS,INE742F01042,Adani port special econo,6,380.72,2,Buy,2018-07-03
AEGISCHEM,INE208C01025,Aegis logistics,9,239.17,2,Buy,2019-01-02
ALLCARGO,INE418H01029,Allcargo logistics,50,104.28,5,Buy,2020-03-16
AMARAJABAT,INE885A01032,Amara raja batteries,18,575.73,10,Buy,2020-03-23
AMBUJACEM,INE079A01024,Ambuja cements,59,202.63,12,Buy,2019-10-07
APOLLOHOSP,INE437A01024,Apollo hospitals enterprises l,7,1211.95,8,Buy,2018-11-09
APOLLOTYRE,INE438A01022,Apollo tyres,129,134.66,17,Buy,2020-03-11
ARVINDFASN,INE955V01021,Arvind fashions,11,308.53,3,Buy,2020-03-13
ASAHIINDIA,INE439A01020,Asahi glass,22,236.42,5,Buy,2020-06-16
ASHOKLEY,INE208A01029,Ashok leyland,79,68.34,5,Buy,2020-03-13
ASIANPAINT,INE021A01026,Asian paints,12,1209.08,15,Buy,2020-05-05
ASTRAZEN,INE203A01020,Astrazeneca pharma,1,2141.66,2,Buy,2019-09-23
AUROPHARMA,INE406A01037,Aurobindo pharma,4,754.79,3,Buy,2019-04-22
AVANTIFEED,INE871C01038,Avanti feeds,29,395.64,11,Buy,2020-03-13
BAJAJ-AUTO,INE917I01010,Bajaj auto,5,2425.31,12,Buy,2020-03-13
BAJAJFINSV,INE918I01018,Bajaj finserv,1,5668.89,6,Buy,2017-09-19
BAJAJHLDNG,INE118A01012,Bajaj holdings investment li,2,2488.03,5,Buy,2020-04-27
BAJFINANCE,INE296A01024,Bajaj finance,1,2973.91,3,Buy,2018-08-24
BALKRISIND,INE787D01026,Balkrishna industries,5,1039.9,5,Buy,2020-01-13
BALRAMCHIN,INE119A01028,Balrampur chini mills,18,131.55,2,Buy,2019-01-02
BANDHANBNK,INE545U01014,Bandhan bank,10,276.34,3,Buy,2020-06-17
BASF,INE373A01013,Basf,4,1466.48,6,Buy,2020-07-01
BATAINDIA,INE176A01028,Bata,7,902.82,6,Buy,2020-06-18
BDL,INE171Z01018,Bharat dynamics,21,293.75,6,Buy,2020-02-04
BEL,INE263A01024,Bharat electronics,246,82.2,20,Buy,2020-03-11
BERGEPAINT,INE463A01038,Berger paints,17,352.7,6,Buy,2020-06-17
