stock_symbol, isin_code, comp_name, demat_summary_qty, demat_summary_acp, demat_summary_sku, demat_txn_last_type, demat_txn_last_date
,UNK_COMP_E,Westlife development,7,284.76,2,Buy,09-Nov-2018
ABB,INE117A01022,Abb,5,1216.55,6,Buy,05-Jun-2020
ACC,INE012A01025,Acc,7,1579.77,11,Buy,09-Dec-2019
ADANIENT,INE423A01024,Adani enterprises,23,142.25,3,Buy,09-Nov-2018
ADANIGAS,INE399L01023,Adani gas,17,72.00,1,Buy,04-Nov-2018
ADANIPORTS,INE742F01042,Adani port special econo,6,380.72,2,Buy,03-Jul-2018
AEGISCHEM,INE208C01025,Aegis logistics,9,239.17,2,Buy,02-Jan-2019
ALLCARGO,INE418H01029,Allcargo logistics,50,104.28,5,Buy,16-Mar-2020
AMARAJABAT,INE885A01032,Amara raja batteries,18,575.73,10,Buy,23-Mar-2020
AMBUJACEM,INE079A01024,Ambuja cements,59,202.63,12,Buy,07-Oct-2019
APOLLOHOSP,INE437A01024,Apollo hospitals enterprises l,7,1211.95,8,Buy,09-Nov-2018
APOLLOTYRE,INE438A01022,Apollo tyres,129,134.66,17,Buy,11-Mar-2020
ARVINDFASN,INE955V01021,Arvind fashions,11,308.53,3,Buy,13-Mar-2020
ASAHIINDIA,INE439A01020,Asahi glass,22,236.42,5,Buy,16-Jun-2020
ASHOKLEY,INE208A01029,Ashok leyland,79,68.34,5,Buy,13-Mar-2020
ASIANPAINT,INE021A01026,Asian paints,12,1209.08,15,Buy,05-May-2020
ASTRAZEN,INE203A01020,Astrazeneca pharma,1,2141.66,2,Buy,23-Sep-2019
AUROPHARMA,INE406A01037,Aurobindo pharma,4,754.79,3,Buy,22-Apr-2019
AVANTIFEED,INE871C01038,Avanti feeds,29,395.64,11,Buy,13-Mar-2020
BAJAJ-AUTO,INE917I01010,Bajaj auto,5,2425.31,12,Buy,13-Mar-2020
BAJAJFINSV,INE918I01018,Bajaj finserv,1,5668.89,6,Buy,19-Sep-2017
BAJAJHLDNG,INE118A01012,Bajaj holdings investment li,2,2488.03,5,Buy,27-Apr-2020
BAJFINANCE,INE296A01024,Bajaj finance,1,2973.91,3,Buy,24-Aug-2018
BALKRISIND,INE787D01026,Balkrishna industries,5,1039.9,5,Buy,13-Jan-2020
BALRAMCHIN,INE119A01028,Balrampur chini mills,18,131.55,2,Buy,02-Jan-2019
BANDHANBNK,INE545U01014,Bandhan bank,10,276.34,3,Buy,17-Jun-2020
BASF,INE373A01013,Basf,2,1729.7,3,Buy,04-Apr-2018
BATAINDIA,INE176A01028,Bata,7,902.82,6,Buy,18-Jun-2020
BDL,INE171Z01018,Bharat dynamics,21,293.75,6,Buy,04-Feb-2020
BEL,INE263A01024,Bharat electronics,246,82.2,20,Buy,11-Mar-2020
