stock_symbol, isin_code, comp_name, buy_qty, sale_qty, buy_price, sale_price, demat_txn_last_type, demat_txn_last_date
HINDZINC,INE267A01025,Hindustan zinc,79,37,16316,6261,Buy,20-Jun-2019
HONAUT,INE671A01010,Honeywell automation,2,1,35088,14951,Buy,12-Mar-2019
HUDCO,INE031A01017,Housing urban dev co hudco,32,0,2156,0,Buy,03-Jul-2018
ICICIBANK,INE090A01021,Icici bank,25,6,10374,4043,Buy,04-Dec-2018
ICICIGI,INE765G01017,Icici lombard gen insurance co,4,0,2750,0,Buy,03-Jul-2018
ICICIPRULI,INE726G01019,Icici prudential life ins co,9,0,3390,0,Buy,04-Dec-2018
ICRA,INE725G01011,Icra,3,0,10120,0,Buy,20-Jun-2019
IGL,INE203G01027,Indraprashtha gas,4,0,1108,0,Buy,07-Sep-2018
INDHOTEL,INE053A01029,Indian hotels co,114,50,13437,2400,Buy,09-Nov-2018
INDIGO,INE646L01027,Interglobe aviation,3,0,3299,0,Buy,09-Nov-2018
INFRATEL,INE121J01017,Bharti infratel,7,0,2299,0,Buy,09-Nov-2018
INFY,INE009A01021,Infosys,40,1,22956,2313,Buy,22-Oct-2019
IOC,INE242A01010,Indian oil corporation,81,5,12168,2112,Buy,11-Dec-2019
ISEC,INE763G01038,Icici securities isec,4,0,1240,0,Buy,26-Jul-2018
ITC,INE154A01025,Itc,105,25,24181,7478,Buy,18-Jun-2019
JCHAC,INE782A01015,Johnson controls hitachi air i,1,0,2065,0,Buy,17-Oct-2017
JISLJALEQS,INE175A01038,Jain irrigation systems,24,0,2200,0,Buy,09-Nov-2018
JSWSTEEL,INE019A01038,Jsw steel,13,0,3240,0,Buy,09-Nov-2018
JUBLFOOD,INE797F01012,Jubilant foodworks,4,0,3017,0,Buy,03-Jul-2018
KAJARIACER,INE217B01036,Kajaria ceramics,5,0,2942,0,Buy,09-Nov-2018
KANSAINER,INE531A01024,Kansai nerolac paints,7,0,3326,0,Buy,02-Jan-2019
KOTAKBANK,INE237A01028,Kotak mahindra bank,2,0,2050,0,Buy,04-Apr-2018
KRBL,INE001B01026,Krbl,5,0,1957,0,Buy,03-Jul-2018
KSB,INE999A01015,Ksb,3,0,2197,0,Buy,04-Apr-2018
KSCL,INE455I01029,Kaveri seed company,4,0,2134,0,Buy,02-Jan-2019
L&TFH,INE498L01015,Lt finance holdings,6,0,1032,0,Buy,28-May-2018
LALPATHLAB,INE600L01024,Dr lal pathlabs,2,0,1723,0,Buy,03-Jul-2018
LAOPALA,INE059D01020,La opala rg,12,0,2184,0,Buy,25-Sep-2019
LEMONTREE,INE970X01018,Lemon tree hotels,15,0,1065,0,Buy,05-Feb-2019
LICHSGFIN,INE115A01026,Lic housing finance,5,0,2953,0,Buy,04-Dec-2018
LT,INE018A01030,Larsen toubro,19,1,24094,1492,Buy,11-Oct-2019
LTI,INE214T01019,Larsen toubro infotech,4,0,6638,0,Buy,03-Dec-2019
LTTS,INE010V01017,L&t technologies,4,0,5705,0,Buy,03-Dec-2019
LUPIN,INE326A01037,Lupin,7,0,9801,0,Buy,09-Nov-2018
M&M,INE101A01026,Mahindra mahindra,56,28,31331,13514,Buy,03-Dec-2019
M&MFIN,INE774D01024,Mahindra mahindra financial,5,0,2159,0,Buy,04-Dec-2018
MAHINDCIE,INE536H01010,Mahindra cie automotive,4,0,948,0,Buy,28-May-2018
MAHLOG,INE766P01016,Mahindra logistics,2,0,952,0,Buy,02-Feb-2018
MANAPPURAM,INE522D01027,Manappuram finance,18,0,2202,0,Buy,22-Apr-2019
MARICO,INE196A01026,Marico,30,0,10405,0,Buy,02-Dec-2019
MARUTI,INE585B01010,Maruti suzuki,33,30,44876,19368,Buy,18-Jun-2019
MCDOWELL-N,INE854D01024,United spirits,28,1,14662,782,Buy,05-Dec-2018
MHRIL,INE998I01010,Mahindra holidays resorts in,11,0,3242,0,Buy,02-Jan-2019
MINDTREE,INE018I01017,Mindtree,10,0,7130,0,Buy,02-Dec-2019
MOTHERSUMI,INE775A01035,Motherson sumi systems,15,0,2985,0,Buy,06-Nov-2018
MUTHOOTFIN,INE414G01012,Muthoot finance,6,0,2628,0,Buy,04-Dec-2018
NATIONALUM,INE139A01034,National aluminium co,216,8,10992,376,Buy,18-Dec-2019
NAUKRI,INE663F01024,Info edge,3,0,3371,0,Buy,03-Jul-2018
NBCC,INE095N01031,Nbcc,38,0,3104,0,Buy,02-Jan-2019
NCC,INE868B01028,Ncc,21,0,2244,0,Buy,04-Apr-2018
NH,INE410P01011,Narayana hrudayalaya,12,0,3163,0,Buy,02-Jan-2019
NHPC,INE848E01016,Nhpc,80,0,2080,0,Buy,09-Nov-2018
NILKAMAL,INE310A01015,Nilkamal,7,0,8393,0,Buy,29-Jul-2019
NLCINDIA,INE589A01014,Nlc,24,0,2100,0,Buy,26-Oct-2018
NMDC,INE584A01023,Nmdc,28,0,3324,0,Buy,02-Jan-2019
NTPC,INE733E01010,Ntpc,108,25,14833,3700,Buy,06-Nov-2019
OIL,INE274J01014,Oil,10,0,2196,0,Buy,06-Apr-2018
ONGC,INE213A01029,Oil natural gas corporatio,84,21,18261,9948,Buy,21-Nov-2019
PAGEIND,INE761H01022,Page industries,2,1,41310,20998,Buy,12-Mar-2019
PAPERPROD,INE275B01026,Huhtamaki ppl,3,0,948,0,Buy,28-May-2018
PEL,INE140A01024,Piramal enterprises,6,0,11176,0,Buy,14-Jan-2020
PETRONET,INE347G01014,Petronet lng,14,0,3178,0,Buy,02-Jan-2019
PFC,INE134E01011,Power finance corporation,27,0,3229,0,Buy,09-Nov-2018
PFIZER,INE182A01018,Pfizer,7,5,8107,2470,Buy,06-May-2019
PGHH,INE179A01014,Procter gamble hygiene hea,2,0,19442,0,Buy,27-Dec-2019
PGHL,INE199A01012,Procter gamble health,1,0,4700,0,Buy,23-Sep-2019
PIDILITIND,INE318A01026,Pidilite industries,3,0,2528,0,Buy,04-Apr-2018
PIIND,INE603J01030,P i industries,2,0,1753,0,Buy,02-Jan-2019
POWERGRID,INE752E01010,Power grid corporationindi,76,20,12621,2280,Buy,06-Nov-2019
PRESTIGE,INE811K01011,Prestige estates projects limi,9,0,2373,0,Buy,03-Jul-2018
PVR,INE191H01014,Pvr,3,0,4433,0,Buy,02-Jan-2019
QUESS,INE615P01015,Quess corp,8,0,4420,0,Buy,05-Jul-2019
RALLIS,INE613A01020,Rallis,17,0,3439,0,Buy,30-Apr-2019
RECLTD,INE020B01018,Rec,85,65,9933,4355,Buy,09-Nov-2018
RELAXO,INE131B01039,Relaxo footwears,10,0,3039,0,Buy,05-Jul-2019
RELIANCE,INE002A01018,Reliance industries,23,7,14059,6083,Buy,09-Nov-2018
SANOFI,INE058A01010,Sanofi,1,0,4053,0,Buy,19-Sep-2017
SBILIFE,INE123W01016,Sbi life insurance company,4,0,2604,0,Buy,09-Nov-2018
SBIN,INE062A01020,State bank,27,3,10420,7144,Buy,09-Nov-2018
SCHAEFFLER,INE513A01014,Schaeffler,2,0,9543,0,Buy,25-Oct-2019
SFL,INE916U01025,Sheela foam,1,0,1608,0,Buy,02-Feb-2018
SHREECEM,INE070A01015,Shree cements,2,1,36556,18424,Buy,12-Mar-2019
SIEMENS,INE003A01024,Siemens,5,2,4472,624,Buy,02-Jan-2019
SKFINDIA,INE640A01023,Skf,6,4,4212,668,Buy,03-Jul-2018
SOLARINDS,INE343H01029,Solar industries,2,0,2090,0,Buy,06-Dec-2019
SRTRANSFIN,INE721A01013,Shriram transport finance co,2,0,2298,0,Buy,09-Nov-2018
SUNDARMFIN,INE660A01013,Sundaram finance,1,0,1571,0,Buy,07-Sep-2018
SUNPHARMA,INE044A01036,Sun pharmaceutical industries,17,0,11985,0,Buy,09-Nov-2018
SUPREMEIND,INE195A01028,Supreme industries,2,0,2343,0,Buy,04-Apr-2018
SYMPHONY,INE225D01027,Symphony,5,0,5615,0,Buy,05-Dec-2019
TATACHEM,INE092A01019,Tata chemicals,7,3,3278,516,Buy,04-Apr-2018
TATACOFFEE,INE493A01027,Tata coffee,26,0,3284,0,Buy,09-Nov-2018
TATAELXSI,INE670A01012,Tata elxsi,26,25,5920,2575,Buy,29-Oct-2018
TATAGLOBAL,INE192A01025,Tata global beverages,18,1,3974,537,Buy,09-Nov-2018
TATAMOTORS,INE155A01022,Tata motors,47,30,12667,13330,Buy,29-Oct-2018
TATAPOWER,INE245A01021,Tata power co,26,1,2895,743,Buy,04-Apr-2018
TATASTEEL,INE081A01012,Tata steel,19,5,8067,1935,Buy,03-Jul-2018
TCS,INE467B01029,Tata consultancy services,29,12,28664,9754,Buy,09-Nov-2018
TECHM,INE669C01036,Tech mahindra,7,0,3480,0,Buy,02-Jan-2019
THOMASCOOK,INE332A01027,Thomas cook,14,0,3256,0,Buy,26-Apr-2019
THYROCARE,INE594H01019,Thyrocare technologies,2,0,1064,0,Buy,12-Mar-2019
TIINDIA,INE974X01010,Tube investments,8,0,2257,0,Buy,02-Jan-2019
TITAN,INE280A01028,Titan company,7,0,4706,0,Buy,02-Jan-2019
TRENT,INE849A01020,Trent lakme,7,0,2039,0,Buy,04-Apr-2018
TTKPRESTIG,INE690A01010,Ttk prestige,2,0,12114,0,Buy,24-Dec-2019
TVSSRICHAK,INE421C01016,Tvs srichakra,4,1,7429,1686,Buy,13-Jan-2020
UBL,INE686F01025,United breweries,9,0,10628,0,Buy,06-Nov-2019
UFLEX,INE516A01017,Uflex,8,0,2268,0,Buy,09-Oct-2018
ULTRACEMCO,INE481G01011,Ultratech cement,8,4,17484,1388,Buy,05-Dec-2018
UNK_TICKER,UNK_ISIN,Uti gold etf,7826,6,923751,3942,Buy,25-Oct-2019
UPL,INE628A01036,Upl,10,0,5159,0,Buy,15-Jul-2019
VBL,INE200M01013,Varun beverages,7,0,3265,0,Buy,07-Aug-2019
VEDL,INE205A01025,Vedanta,52,0,10335,0,Buy,18-Dec-2019
VENKEYS,INE398A01010,Venkys,2,0,4079,0,Buy,30-Apr-2019
VGUARD,INE951I01027,V guard industries,9,0,2099,0,Buy,22-Apr-2019
VIPIND,INE054A01027,Vip industries,11,0,3240,0,Buy,02-Jan-2019
VOLTAS,INE226A01021,Voltas,6,0,3172,0,Buy,09-Nov-2018
VRLLOG,INE366I01010,Vrl logistics,10,0,3392,0,Buy,30-Apr-2019
VSTIND,INE710A01016,Vst industries,1,0,2960,0,Buy,29-Jun-2018
VSTTILLERS,INE764D01017,Vsttillers tractors,2,0,3344,0,Buy,22-Apr-2019
WHIRLPOOL,INE716A01013,Whirlpool,2,0,2697,0,Buy,04-Apr-2018
WIPRO,INE075A01022,Wipro,44,11,11171,3837,Buy,15-Mar-2019
WONDERLA,INE066O01014,Wonderla holidays,21,0,6102,0,Buy,25-Jun-2019
ZEEL,INE256A01028,Zee entertainment enterprises,26,10,9740,1290,Buy,28-Jan-2019
ZEELEARN,INE565L01011,Zee learn,342,0,8920,0,Buy,29-Jul-2019
ZYDUSWELL,INE768C01010,Zydus wellness,1,0,1300,0,Buy,22-Apr-2019
