stock_symbol, isin_code, comp_name, buy_qty, sale_qty, buy_price, sale_price, demat_txn_last_type, demat_txn_last_date
,UNK_COMP_E,Westlife development,22,1,29845,1002,Buy,09-Nov-2018
ABB,INE117A01022,Abb,4,1,4891,511,Buy,02-Jan-2019
ACC,INE012A01025,Acc,20,13,20297,8954,Buy,09-Dec-2019
ADANIENT,INE423A01024,Adani enterprises,23,0,3178,0,Buy,09-Nov-2018
ADANIGAS,INE399L01023,Adani gas,17,0,1224,0,Buy,04-Nov-2018
ADANIPORTS,INE742F01042,Adani port special econo,6,0,2217,0,Buy,03-Jul-2018
AEGISCHEM,INE208C01025,Aegis logistics,9,0,2092,0,Buy,02-Jan-2019
ALLCARGO,INE418H01029,Allcargo logistics,15,0,2030,0,Buy,02-Jan-2019
AMARAJABAT,INE885A01032,Amara raja batteries,12,0,7856,0,Buy,25-Jun-2019
AMBUJACEM,INE079A01024,Ambuja cements,118,59,17845,6341,Buy,07-Oct-2019
APOLLOHOSP,INE437A01024,Apollo hospitals enterprises l,7,0,8363,0,Buy,09-Nov-2018
APOLLOTYRE,INE438A01022,Apollo tyres,29,0,5644,0,Buy,13-Jan-2020
ARVINDFASN,INE955V01021,Arvind fashions,1,0,590,0,Buy,08-Mar-2019
ASAHIINDIA,INE439A01020,Asahi glass,47,35,6328,1680,Buy,05-Dec-2018
ASHOKLEY,INE208A01029,Ashok leyland,9,0,1026,0,Buy,29-Oct-2018
ASIANPAINT,INE021A01026,Asian paints,9,0,9494,0,Buy,09-Nov-2018
ASTRAZEN,INE203A01020,Astrazeneca pharma,1,0,2100,0,Buy,23-Sep-2019
AUROPHARMA,INE406A01037,Aurobindo pharma,4,0,2934,0,Buy,22-Apr-2019
AVANTIFEED,INE871C01038,Avanti feeds,9,0,5205,0,Buy,29-Oct-2018
BAJAJ-AUTO,INE917I01010,Bajaj auto,2,0,5594,0,Buy,04-Apr-2018
BAJAJFINSV,INE918I01018,Bajaj finserv,1,0,5619,0,Buy,19-Sep-2017
BAJAJHLDNG,INE118A01012,Bajaj holdings investment li,1,0,2993,0,Buy,24-Aug-2018
BAJFINANCE,INE296A01024,Bajaj finance,1,0,2932,0,Buy,24-Aug-2018
BALKRISIND,INE787D01026,Balkrishna industries,8,3,7798,2901,Buy,13-Jan-2020
BALRAMCHIN,INE119A01028,Balrampur chini mills,18,0,2292,0,Buy,02-Jan-2019
BASF,INE373A01013,Basf,2,0,3378,0,Buy,04-Apr-2018
BATAINDIA,INE176A01028,Bata,5,0,3570,0,Buy,09-Nov-2018
BDL,INE171Z01018,Bharat dynamics,3,0,1053,0,Buy,17-Sep-2018
BEL,INE263A01024,Bharat electronics,30,7,12892,4613,Buy,18-Apr-2019
BERGEPAINT,INE463A01038,Berger paints,12,0,3344,0,Buy,02-Jan-2019
BHARTIARTL,INE397D01024,Bharti airtel,51,20,21072,10548,Buy,09-Nov-2018
BHEL,INE257A01026,Bharat heavy electricals,46,5,4805,1040,Buy,02-Jan-2019
BIOCON,INE376G01013,Biocon,4,0,1216,0,Buy,21-Jun-2019
BLUEDART,INE233B01017,Blue dart express,3,0,9966,0,Buy,20-Jun-2019
BLUESTARCO,INE472A01039,Blue star,3,0,1884,0,Buy,09-Nov-2018
BOROSIL,INE666D01022,Borosil glass works,12,0,2088,0,Buy,23-Sep-2019
BOSCHLTD,INE323A01026,Bosch,2,1,43518,20790,Buy,12-Mar-2019
BPCL,INE029A01011,Bharat petroleum,24,16,8048,5458,Buy,02-Jan-2019
BRIGADE,INE791I01019,Brigade enterprises,18,0,2686,0,Buy,11-Sep-2019
BRITANNIA,INE216A01030,Britannia industries,4,0,8710,0,Buy,04-Apr-2018
BSE,INE118H01025,Bse,18,0,10340,0,Buy,18-Dec-2019
CADILAHC,INE010B01027,Cadila healthcare,5,0,2119,0,Buy,03-Jul-2018
CARBORUNIV,INE120A01034,Carborundum universal,7,0,2386,0,Buy,09-Nov-2018
CARERATING,INE752H01013,Care ratings,10,0,10266,0,Buy,20-Jun-2019
CASTROLIND,INE172A01027,Castrol,69,0,10403,0,Buy,20-Jun-2019
CDSL,INE736A01011,Central depository ser ind,7,0,2103,0,Buy,03-Jul-2018
CEATLTD,INE482A01020,Ceat,3,0,4226,0,Buy,09-Oct-2018
CENTURYPLY,INE348B01021,Century plyboards,45,0,8137,0,Buy,25-Jun-2019
CERA,INE739E01017,Cera sanitaryware,1,0,3037,0,Buy,14-Jun-2017
CHOLAFIN,INE121A01024,Cholamandalam investment f,5,0,1475,0,Buy,24-Aug-2018
CHOLAHLDNG,INE149A01033,Cholamandalam fin holdings,4,0,2610,0,Buy,03-Jul-2018
CIPLA,INE059A01026,Cipla,16,10,5054,3202,Buy,02-Jan-2019
COALINDIA,INE522F01014,Coal,63,6,17169,2022,Buy,17-Dec-2019
COLPAL,INE259A01022,Colgate palmolive,2,0,2166,0,Buy,04-Apr-2018
CONCOR,INE111A01025,Container corporation,15,10,11126,6650,Buy,18-Feb-2019
COROMANDEL,INE169A01031,Coromandel international limit,7,0,3127,0,Buy,09-Nov-2018
CRISIL,INE007A01025,Crisil,7,0,10876,0,Buy,20-Jun-2019
CUMMINSIND,INE298A01020,Cummins,17,0,10617,0,Buy,25-Oct-2019
DABUR,INE016A01026,Dabur,10,0,3430,0,Buy,02-Jan-2019
DCMSHRIRAM,INE499A01024,Dcm shriram,3,0,1194,0,Buy,24-Oct-2018
DELTACORP,INE124G01033,Delta corp,4,0,1016,0,Buy,18-Apr-2019
DISHTV,INE836F01026,Dish tv,93,0,4009,0,Buy,28-Jan-2019
DLF,INE271C01023,Dlf,31,21,14488,5877,Buy,02-Jan-2018
DMART,INE192R01011,Avenue supermarts dmart,2,0,2658,0,Buy,09-Nov-2018
DRREDDY,INE089A01023,Dr reddys laboratories,22,20,15563,11460,Buy,04-Apr-2018
EICHERMOT,INE066A01013,Eicher motors,2,1,55207,31200,Buy,12-Mar-2019
EIDPARRY,INE126A01031,Eid parry,11,0,3010,0,Buy,02-Jan-2019
EIHOTEL,INE230A01023,Eih,21,0,3235,0,Buy,02-Jan-2019
EMAMILTD,INE548C01032,Emami,7,0,3529,0,Buy,19-Feb-2019
ENGINERSIN,INE510A01028,Engineers,93,0,10234,0,Buy,09-Dec-2019
ENIL,INE265F01028,Entertainment network,2,0,1080,0,Buy,13-Mar-2019
ESSELPACK,INE255A01020,Essel propack,14,0,1646,0,Buy,09-Oct-2018
EVEREADY,INE128A01029,Eveready industries,41,0,5112,0,Buy,17-Sep-2019
EXIDEIND,INE302A01020,Exide industries,54,0,10095,0,Buy,25-Oct-2019
FINCABLES,INE235A01022,Finolex cables,10,0,3510,0,Buy,05-Dec-2019
FLFL,INE452O01016,Future lifestyle fashions,6,0,2160,0,Buy,01-Feb-2018
FRETAIL,INE752P01024,Future retail,5,0,2286,0,Buy,01-Feb-2018
FSC,INE935Q01015,Future supply chain sol,2,0,1344,0,Buy,02-Feb-2018
GAIL,INE129A01019,Gail,86,8,13053,2309,Buy,25-Oct-2019
GICRE,INE481Y01014,General insurance corp,8,0,2712,0,Buy,04-Dec-2018
GILLETTE,INE322A01010,Gillette,2,0,11700,0,Buy,03-Dec-2019
GLAXO,INE159A01016,Glaxosmithkline pharmaceutical,2,0,3329,0,Buy,21-Sep-2018
GLENMARK,INE935A01035,Glenmark pharmaceuticals,4,0,2384,0,Buy,03-Jul-2018
GODFRYPHLP,INE260B01028,Godfrey phillips,2,0,1452,0,Buy,29-Jun-2018
GODREJAGRO,INE850D01014,Godrej agrovet,4,0,2232,0,Buy,09-Nov-2018
GODREJCP,INE102D01028,Godrej consumer products,3,0,2176,0,Buy,25-Sep-2018
GODREJIND,INE233A01035,Godrej industries,4,0,2172,0,Buy,09-Nov-2018
GRASIM,INE047A01021,Grasim industries,3,1,3659,1050,Buy,09-Nov-2018
GREENLAM,INE544R01013,Greenlam industries,2,0,2221,0,Buy,01-Feb-2018
GREENPLY,INE461C01038,Greenply industries,5,0,1145,0,Buy,28-Jun-2018
GRINDWELL,INE536A01023,Grindwell norton,5,0,2273,0,Buy,09-Nov-2018
GSKCONS,INE264A01014,Glaxosmithkline consumer healt,1,0,5069,0,Buy,19-Sep-2017
HAL,INE066F01012,Hindustan aeronautics,1,0,907,0,Buy,12-Sep-2018
HATSUN,INE473B01035,Hatsun agro products,2,0,1482,0,Buy,05-Sep-2018
HAVELLS,INE176B01034,Havells,17,0,10640,0,Buy,30-Oct-2019
HCLTECH,INE860A01027,Hcl technologies,21,7,6972,4613,Buy,17-Dec-2019
HDFC,INE001A01036,Housing development finance co,13,0,20900,0,Buy,11-Oct-2019
HDFCAMC,INE127D01025,Hdfc asset management co,13,0,14300,0,Buy,02-Aug-2018
HDFCLIFE,INE795G01014,Hdfc life insurance com,6,0,2229,0,Buy,04-Dec-2018
HEIDELBERG,INE578A01017,Heidelberg cement,8,0,1072,0,Buy,26-Oct-2018
HEROMOTOCO,INE158A01026,Hero motocorp,8,1,21290,720,Buy,11-Oct-2019
HINDALCO,INE038A01020,Hindalco industries,30,16,4601,1792,Buy,03-Jul-2018
HINDPETRO,INE094A01015,Hindustan petroleum corp,39,27,9968,5799,Buy,09-Oct-2018
HINDUNILVR,INE030A01027,Hindustan unilever,31,16,24866,6961,Buy,27-Dec-2019
