name_alias, name_real
Amr int, Amara Raja
Amr, Amara Raja
Asianpaints, Asian paints
Asian pnt, Asian paints
Balkrishna industris, Balkrishna industries
Balkrishnaindustries, Balkrishna industries
Bluedart, Blue Dart
Brigade, Brigade Enterprises
Bel, Bharat electronics
Carborundum universa, Carborundum Universal
Colgatepalmolive, Colgate palmolive
Container corporatio, Container corporation
Coromandel internat, Coromandel international
Cox and Kings ltd, Cox & Kings ltd
Dr lal pathlabs lim, Dr Lal Pathlabs limited
Future lifestyle fas, Future lifestyle fashions
Hindustan unilever l, Hindustan unilever
Icici Pru, Icici Prudential
Indianulls housing, Indiabulls housing finance
Indiabulls housing, Indiabulls housing finance
Jubliant foodworks l, Jubilant foodworks
Larsen and toubro lt, Larsen & toubro ltd
Lichousingfinanceltd, LIC Housing Finance
Mahindra and mahindr, Mahindra & Mahindra
Muthoot fin ltd, Muthoot Finance
National aluminium c, National aluminium company
Nerolac, Kansai Nerolac
Oil and Natural Gas, Oil & Natural Gas
Power grid corporati, Power grid corp
Powergrid corporatio, Power grid corp
Powergrid corp ltd, Power grid corp
Rajesh expo, Rajesh exports
Rural eletrification, Rural electrification
Stfc, Shriram Transport Finance
Talwalkars better va, Talwalkars better value fitness 
Tcl, Tata chemicals
Tcoffee, Tata coffee
Tgbl, Tata global beverages
Tmotorsos f, Tata Motors 
The new india assura, New India Assurance
The indian hotels co, Indian hotels
Ti financial holding, Ti financial holdings
Tube investments of, Tube investments
Ubl, United breweries
Usl, United spirits
Vst, Vst tillers tractors
