Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
UNIBR,UNITED BREWERIES LTD,INE686F01025,3,1069.37,1377.00,+ 1.59,3208.11,4131.00,0.00,922.89,28.77,
UNISPI,UNITED SPIRITS LIMITED,INE854D01024,27,507.45,623.95,+ 0.77,13701.15,16846.65,(395.31),3145.50,22.96,
AMARAJ,AMARA RAJA BATTERIES LTD,INE885A01032,3,817.16,724.10,- 1.17,2451.48,2172.30,0.00,-279.18,(11.39),
APOTYR,APOLLO TYRES LTD,INE438A01022,9,258.84,228.50,- 0.82,2329.56,2056.50,0.00,-273.06,(11.72),
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,12,287.68,261.00,+ 1.52,3452.16,3132.00,(1346.15),-320.16,(9.27),
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,9,116.96,98.85,- 1.10,1052.64,889.65,0.00,-162.99,(15.48),
BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,2,2837.95,2705.00,+ 0.58,5675.90,5410.00,0.00,-265.90,(4.68),
BAJHOL,BAJAJ HOLDINGS & INVESTMENT LI,INE118A01012,1,3034.71,2948.10,- 0.06,3034.71,2948.10,0.00,-86.61,(2.85),
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,3,904.07,908.00,- 0.47,2712.21,2724.00,0.00,11.79,0.43,
CEAT,CEAT LIMITED,INE482A01020,3,1445.64,1294.25,+ 0.39,4336.92,3882.75,0.00,-454.17,(10.47),
ENDTEC,ENDURANCE TECHNOLOGIES LIMITED,INE913H01037,1,1510.35,1247.50,+ 0.39,1510.35,1247.50,0.00,-262.85,(17.40),
EXIIND,EXIDE INDUSTRIES LTD,INE302A01020,9,243.47,258.85,- 0.98,2191.23,2329.65,0.00,138.42,6.32,
FAGBEA,SCHAEFFLER INDIA LIMITED,INE513A01014,1,5587.21,5590.05,- 1.48,5587.21,5590.05,0.00,2.84,0.05,
GOOIND,GOODYEAR INDIA LTD,INE533A01012,1,951.62,933.75,- 0.33,951.62,933.75,0.00,-17.87,(1.88),
HERHON,HERO MOTOCORP LIMITED,INE158A01026,2,3661.38,3016.65,- 0.97,7322.76,6033.30,(191.79),-1289.46,(17.61),
JKTYRE,JK TYRE AND INDUSTRIES LIMITED,INE573A01042,14,175.79,104.45,+ 0.38,2461.06,1462.30,0.00,-998.76,(40.58),
MAHCIE,MAHINDRA CIE AUTOMOTIVE LTD,INE536H01010,4,243.74,244.20,- 1.63,974.96,976.80,0.00,1.84,0.19,
MAHMAH,MAHINDRA & MAHINDRA LIMITED,INE101A01026,6,715.01,727.00,- 1.96,4290.06,4362.00,(2035.36),71.94,1.68,
MARUTI,MARUTI SUZUKI INDIA LTD,INE585B01010,2,7563.02,7301.55,+ 0.46,15126.04,14603.10,(4371.96),-522.94,(3.46),
MOTSUM,MOTHERSON SUMI SYSTEMS LIMITED,INE775A01035,15,204.72,161.60,- 1.25,3070.80,2424.00,0.00,-646.80,(21.06),
SKFIND,SKF INDIA LIMITED,INE640A01023,2,1693.46,1905.00,+ 0.31,3386.92,3810.00,(284.35),423.08,12.49,
