name_alias, ticker_real
Amr int, AMARAJABAT
Amr,  AMARAJABAT
Apollo hospitals ent, APOLLOHOSP
Asahi india glass li, ASAHIINDIA
Asianpaints, ASIANPAINT
Asian pnt, ASIANPAINT
Balkrishna industris, BALKRISIND
Balkrishnaindustries, BALKRISIND
Bluedart, BLUEDART
Bluedart express, BLUEDART
Brigade, BRIGADE
Brigade enterprises, BRIGADE
Bel, BEL
Carborundum universa, CARBORUNIV
Ceat dt, CEATLTD
Cgcel, CROMPTON
Colgatepalmolive, COLPAL
Container corporatio, CONCOR
Coromandel internat, COROMANDEL
Coromandel internati, COROMANDEL
Cox and Kings ltd, COX&KINGS
Cox & Kings ltd, COX&KINGS
Cox & kings, COX&KINGS
Dr lal pathlabs lim, LALPATHLAB
Dr lal pathlabs, LALPATHLAB
Dr reddy's laborato, DRREDDY
Future lifestyle fas, FLFL
Hindustan unilever l, HINDUNILVR
Hdfc interim, HDFC
Hdfc bank ltd, HDFCBANK
Hdfc life insurance, HDFCLIFE
Icici Pru, ICICIPRULI 
Indianulls housing, IBULHSGFIN
Indiabulls housing, IBULHSGFIN
Indian oil corpn, IOC
Indian oil corpn , IOC
Indraprastha gas lim, IGL
Infoedge india limi, NAUKRI
Jk tyre and, JKTYRE
Jubliant foodworks l, JUBLFOOD
L&t finance holdings, L&TFH
Larsen and toubro lt, LT
Larsen & toubro ltd, LT
L&t technology serv, LTTS
L&t technology servi, LTTS
Larsen & toubro info, LTI
Lichousingfinanceltd, LICHSGFIN
Mahindra and mahindr, M&M
Mahindra & mahindra, M&M
Mahindra logistics l, MAHLOG
Mahindra holidays &, MHRIL
Motherson sumi syste, MOTHERSUMI
Muthoot fin ltd, MUTHOOTFIN 
National aluminium c, NATIONALUM
Nerolac, KANSAINER
Oil and Natural Gas, ONGC
Pidilite fn, PIDILITIND
Power grid corpn, POWERGRID
Power grid corporati, POWERGRID
Power grid corp, POWERGRID
Power grid corpPowergrid corporatio, POWERGRID
Powergrid corp ltd, POWERGRID
Prestige estates pro, PRESTIGE
Procter & gamble hyg, PGHH
Rajesh expo, RAJESHEXPO 
Rural eletrification, RECLTD
Sbi life insurance c, SBILIFE
Shriram transport fi, SRTRANSFIN
Stfc, SRTRANSFIN
Sun pharmaceutical i, SUNPHARMA
Talwalkars better va, TALWALKARS
Tatasteelfp, TATASTEEL
Tata steel fp, TATASTEEL
Tcl, TATACHEM 
Tcs interim, TCS
Tatacoffe, TATACOFFEE
Tcoffee, TATACOFFEE
Tcook, THOMASCOOK
Tgbl, TATAGLOBAL
Tp hdfc std lifins, HDFCLIFE
Tpl, TATAPOWER
Tpower, TATAPOWER
T power, TATAPOWER
Tmotorsos f,  TATAMOTORS
The new india assura, NIACL
The indian hotels co, INDHOTEL
Ti financial holding, TIFIN
Ticl, TATAINVEST
Tube investments of, TIINDIA
Tvs motor company l, TVSMOTOR
Ubl, UBL
Usl, UNITDSPR
Venky's india ltd, VENKYS
Vguard industries l, VGUARD
Vrl logistics, VRLLOG
Vst, VSTTILLERS
Vst industries, VSTIND
Wonderla holidays, WONDERLA
Zee entertainment en, ZEEL
Zee learn, ZEELEARN
