Date, Company, Dividend
03/08/2017,,11
29/08/2017,AKZO NOBEL INDIA,22
21/08/2017,AMR FIN DIV,4
30/11/2017,AMR INT1 DIV,2
28/09/2017,APOLLO HOSPITALS,30
07/07/2017,APOLLO TYRES,15
28/06/2017,ASIAN PAINTS,53
03/11/2017,,18
28/02/2018,AUROBINDO PHARMA,3
30/11/2017,AUROBINDO PHARMA,3
17/08/2017,AVANTI FEEDS,9
27/07/2017,AXIS BANK,10
14/08/2017,Adani Enterprises,4
27/02/2018,Aegis Logistics,2
10/08/2017,Ambuja Cements,8
16/08/2017,Asahi India Glass,4
24/07/2017,BAJAJ AUTO,55
21/11/2017,BALKRISHNA,2
11/08/2017,,2
13/09/2017,,2
26/02/2018,,3
03/10/2017,,1
28/07/2017,BATA INDIA LTD.,7
28/08/2017,BAYER DIV,17
28/02/2018,BEL INT DIV,9
18/08/2017,BERGER PAINTS,7
05/03/2018,BHARAT PETROLEUM,70
26/07/2017,BHARTI AIRTEL,25
05/02/2018,BHARTI AIRTEL,76
28/02/2018,,12
03/08/2017,,15
04/10/2017,,10
09/08/2017,BRITANNIA,22
22/02/2018,BSE,5
05/03/2018,CARBORUNDUM,4
11/12/2017,CARE RATINGS,6
24/08/2017,CARE RATINGS,10
23/02/2018,CARE RATINGS,12
18/09/2017,CARE RATINGS,6
13/09/2017,,9
11/08/2017,CEAT DIV,11
08/09/2017,CENTURY PLYBOARDS,4
01/08/2017,CERA SANITARYWARE,12
16/08/2017,CIPLA,4
23/03/2018,COAL INDIA,512
05/10/2017,CONTAINER,7
14/02/2018,CONTAINER,9
04/08/2017,COROMANDEL,15
11/10/2017,COX AND KINGS,4
10/08/2017,CRISIL,6
10/11/2017,CRISIL,6
10/11/2017,Colgate-Palmolive,4
29/12/2017,Colgate-Palmolive,4
01/03/2018,Cummins India,15
01/09/2017,Cummins India,9
17/08/2017,DABUR INDIA,4
22/11/2017,DABUR INDIA,5
10/08/2017,,110
07/10/2017,DLF,12
31/03/2018,DLF,12
04/12/2017,Dr. Lal PathLabs,1
03/08/2017,EIH,7
04/08/2017,EMAMI,5
23/03/2018,ENGINEERS INDIA,18
25/09/2017,ENGINEERS INDIA,4
28/07/2017,EXIDE INDUSTRIES,4
08/11/2017,EXIDE INDUSTRIES,8
01/09/2017,Future Lifestyle,2
30/01/2018,GAIL (INDIA),38
03/10/2017,GAIL (INDIA),8
27/11/2017,GILLETTE INDIA,10
03/10/2017,GLENMARK,4
21/02/2018,GODREJ CONSUMER,1
22/11/2017,GODREJ CONSUMER,1
25/08/2017,Greenlam,1
05/02/2018,HCL TECHNOLOGIES,12
09/11/2017,HCL TECHNOLOGIES,12
11/08/2017,HCL TECHNOLOGIES,12
02/06/2017,HCL TECHNOLOGIES,36
26/07/2017,HDFC BANK,198
27/07/2017,HDFC FINAL DIV,105
29/03/2018,HDFC INT DIV,28
28/12/2017,HDFC STANDARD,4
19/07/2017,HERO MOTOCORP,30
23/02/2018,HERO MOTOCORP,55
18/09/2017,HINDALCO,9
19/09/2017,HINDUSTAN,2
14/11/2017,HINDUSTAN,48
05/07/2017,HINDUSTAN UNILEVER,60
10/11/2017,HINDUSTAN ZINC,10
10/08/2017,HSIL,12
14/03/2018,HUDCO,6
07/03/2018,Hindustan,87
30/06/2017,ICICI,25
06/11/2017,ICICI,2
11/08/2017,ICICI,11
20/11/2017,ICICI,20
11/08/2017,ICRA,27
07/11/2017,INDIABULLS,9
14/02/2018,INDIAN OIL,114
04/09/2017,INDIAN OIL,3
08/02/2018,INDIANULLS,14
04/11/2017,,143
27/06/2017,,162
01/09/2017,INTERGLOBE,34
31/07/2017,ITC,162
05/10/2017,ITDC,2
27/07/2017,Info-Edge India,1
16/02/2018,Info-Edge India,3
15/11/2017,Info-Edge India,5
