bhav_ticker,bhav_last,bhav_isin
20MICRONS,28.5,INE144J01027
21STCENMGM,10.05,INE253B01015
3IINFOTECH,3.45,INE748C01020
3MINDIA,18259.9,INE470A01017
63MOONS,71.75,INE111B01023
A2ZINFRA,4.05,INE619I01012
AAKASH,50.5,INE087Z01016
AARTIDRUGS,809.85,INE767A01016
AARTIIND,1024.0,INE769A01020
AARVEEDEN,11.15,INE273D01019
AARVI,40.8,INE754X01016
AAVAS,1396.0,INE216P01012
ABAN,23.5,INE421A01028
ABB,867.0,INE117A01022
ABBOTINDIA,16395.1,INE358A01014
ABCAPITAL,63.2,INE674K01013
ABFRL,132.5,INE647O01011
ABSLBANETF,213.25,INF209KB1O58
ABSLNN50ET,282.0,INF209KB1B87
ACC,1415.35,INE012A01025
ACCELYA,1033.3,INE793A01012
ACE,72.25,INE731H01025
ADANIENT,310.0,INE423A01024
ADANIGAS,193.5,INE399L01023
ADANIGREEN,747.0,INE364U01010
ADANIPORTS,353.95,INE742F01042
ADANIPOWER,37.05,INE814H01011
ADANITRANS,247.5,INE931S01010
ADFFOODS,429.8,INE982B01019
ADHUNIKIND,19.7,INE452L01012
ADORWELD,244.95,INE045A01017
ADROITINFO,5.25,INE737B01033
ADSL,23.3,INE102I01027
ADVANIHOTR,43.1,INE199C01026
ADVENZYMES,334.0,INE837H01020
AEGISCHEM,228.0,INE208C01025
AFFLE,2884.95,INE00WC01019
AGARIND,92.5,INE204E01012
AGCNET,350.0,INE676A01019
AGRITECH,29.55,INE449G01018
AGROPHOS,9.1,INE740V01019
AHLEAST,143.25,INE926K01017
AHLUCONT,238.4,INE758C01029
AHLWEST,274.95,INE915K01010
AIAENG,1833.1,INE212H01026
AIONJSW,18.1,INE743C01021
AIRAN,12.7,INE645W01026
AJANTPHARM,1604.0,INE031B01049
AJMERA,81.55,INE298G01027
AKSHARCHEM,224.4,INE542B01011
AKSHOPTFBR,5.6,INE523B01011
AKZOINDIA,2157.0,INE133A01011
ALANKIT,17.75,INE914E01040
ALBERTDAVD,433.95,INE155C01010
ALCHEM,5.1,INE964B01033
ALEMBICLTD,110.65,INE426A01027
ALICON,325.0,INE062D01024
ALKALI,46.5,INE773I01017
ALKEM,2745.0,INE540L01014
ALKYLAMINE,3255.0,INE150B01021
ALLCARGO,123.8,INE418H01029
ALLSEC,259.8,INE835G01018
ALMONDZ,11.0,INE326B01027
ALOKINDS,20.5,INE270A01029
ALPA,30.3,INE385I01010
ALPHAGEO,155.1,INE137C01018
ALPSINDUS,1.4,INE093B01015
AMARAJABAT,754.0,INE885A01032
AMBER,2040.0,INE371P01015
AMBIKCO,675.0,INE540G01014
AMBUJACEM,221.45,INE079A01024
AMDIND,16.6,INE005I01014
AMJLAND,19.2,INE606A01024
AMRUTANJAN,427.45,INE098F01031
ANANTRAJ,31.0,INE242C01024
ANDHRACEMT,4.85,INE666E01012
ANDHRAPAP,199.2,INE435A01028
ANDHRSUGAR,305.0,INE715B01013
ANIKINDS,12.6,INE087B01017
ANSALAPI,4.1,INE436A01026
ANSALHSG,3.95,INE880B01015
ANUP,650.0,INE294Z01018
APARINDS,289.8,INE372A01015
APCL,186.95,INE071F01012
APCOTEXIND,145.7,INE116A01032
APEX,261.0,INE346W01013
APLAPOLLO,2956.65,INE702C01019
APLLTD,931.0,INE901L01018
APOLLO,115.95,INE713T01010
APOLLOHOSP,2098.0,INE437A01024
APOLLOPIPE,394.2,INE126J01016
APOLLOTYRE,132.7,INE438A01022
APOLSINHOT,515.0,INE451F01024
APTECHT,120.0,INE266F01018
ARCHIDPLY,24.8,INE877I01016
ARCHIES,11.95,INE731A01020
ARENTERP,11.25,INE610C01014
ARIES,77.85,INE298I01015
ARIHANT,15.35,INE413D01011
ARIHANTSUP,20.0,INE643K01018
ARMANFIN,535.0,INE109C01017
AROGRANITE,25.5,INE210C01013
ARROWGREEN,50.0,INE570D01018
ARSHIYA,14.75,INE968D01022
ARSSINFRA,13.6,INE267I01010
ARTEMISMED,156.0,INE025R01013
ARVIND,34.05,INE034A01011
ARVINDFASN,125.5,INE955V01021
ARVSMART,88.7,INE034S01021
ASAHIINDIA,209.05,INE439A01020
ASAHISONG,213.95,INE228I01012
ASAL,20.55,INE900C01027
ASALCBR,259.05,INE073G01016
ASHAPURMIN,76.3,INE348A01023
ASHIANA,74.0,INE365D01021
ASHOKA,65.65,INE442H01029
ASHOKLEY,76.25,INE208A01029
ASIANHOTNR,56.0,INE363A01022
ASIANPAINT,2044.05,INE021A01026
ASIANTILES,291.0,INE022I01019
ASPINWALL,130.75,INE991I01015
ASTEC,1101.0,INE563J01010
ASTERDM,133.15,INE914M01019
ASTRAL,1207.6,INE006I01046
ASTRAMICRO,114.15,INE386C01029
ASTRAZEN,4305.0,INE203A01020
ASTRON,47.1,INE646X01014
ATFL,700.0,INE209A01019
ATLANTA,6.6,INE285H01022
ATUL,6120.0,INE100A01010
ATULAUTO,168.8,INE951D01028
AUBANK,663.9,INE949L01017
AURIONPRO,70.75,INE132H01018
AUROPHARMA,821.95,INE406A01037
AUSOMENT,47.5,INE218C01016
AUTOAXLES,704.8,INE449A01011
AUTOIND,33.95,INE718H01014
AUTOLITIND,20.05,INE448A01013
AVADHSUGAR,178.0,INE349W01017
AVANTIFEED,499.75,INE871C01038
AVTNPL,45.5,INE488D01021
AXISBANK,442.05,INE238A01034
AXISCADES,50.3,INE555B01013
AXISGOLD,43.85,INF846K01W80
AXISNIFTY,117.98,INF846K01W98
AYMSYNTEX,24.0,INE193B01039
BAFNAPH,43.8,INE878I01022
BAGFILMS,2.55,INE116D01028
BAJAJ-AUTO,2999.0,INE917I01010
BAJAJCON,181.3,INE933K01021
BAJAJELEC,493.15,INE193E01025
BAJAJFINSV,6050.0,INE918I01018
BAJAJHIND,4.9,INE306A01021
BAJAJHLDNG,2450.05,INE118A01012
BAJFINANCE,3444.0,INE296A01024
BALAJITELE,69.9,INE794B01026
BALAMINES,806.45,INE050E01027
BALKRISHNA,13.5,INE875R01011
BALKRISIND,1463.0,INE787D01026
BALMLAWRIE,103.95,INE164A01016
BALPHARMA,42.6,INE083D01012
BALRAMCHIN,152.2,INE119A01028
BANARBEADS,52.1,INE655B01011
BANARISUG,1300.0,INE459A01010
BANCOINDIA,89.4,INE213C01025
BANDHANBNK,286.8,INE545U01014
BANG,18.0,INE863I01016
BANKBARODA,41.8,INE028A01039
BANKBEES,223.4,INF204KB15I9
BANKINDIA,40.75,INE084A01016
BANSWRAS,74.75,INE629D01012
