+-------------+-----------+--------------+
| bhav_ticker | bhav_last |  bhav_isin   |
+-------------+-----------+--------------+
|  20MICRONS  |    29.5   | INE144J01027 |
|  21STCENMGM |    10.3   | INE253B01015 |
|  3IINFOTECH |    2.95   | INE748C01020 |
|   3MINDIA   |  18190.0  | INE470A01017 |
|   63MOONS   |   66.55   | INE111B01023 |
|   A2ZINFRA  |    4.1    | INE619I01012 |
|  AARTIDRUGS |   2960.4  | INE767A01016 |
|   AARTIIND  |   1008.0  | INE769A01020 |
|  AARVEEDEN  |    10.7   | INE273D01019 |
|    AARVI    |   39.55   | INE754X01016 |
|    AAVAS    |   1371.0  | INE216P01012 |
|     ABAN    |    23.9   | INE421A01028 |
|     ABB     |   851.0   | INE117A01022 |
|  ABBOTINDIA |  16180.0  | INE358A01014 |
|  ABCAPITAL  |    62.9   | INE674K01013 |
|    ABFRL    |   129.0   | INE647O01011 |
|  ABSLBANETF |   208.0   | INF209KB1O58 |
|  ABSLNN50ET |   282.0   | INF209KB1B87 |
|     ACC     |   1336.2  | INE012A01025 |
|   ACCELYA   |  1031.85  | INE793A01012 |
|     ACE     |   68.35   | INE731H01025 |
|   ADANIENT  |   281.05  | INE423A01024 |
|   ADANIGAS  |   184.45  | INE399L01023 |
|  ADANIGREEN |   647.75  | INE364U01010 |
|  ADANIPORTS |   326.3   | INE742F01042 |
|  ADANIPOWER |    36.6   | INE814H01011 |
|  ADANITRANS |   248.75  | INE931S01010 |
|   ADFFOODS  |   418.0   | INE982B01019 |
|  ADHUNIKIND |    18.1   | INE452L01012 |
|   ADORWELD  |   244.0   | INE045A01017 |
|  ADROITINFO |    4.9    | INE737B01033 |
|     ADSL    |    22.2   | INE102I01027 |
|  ADVANIHOTR |    41.4   | INE199C01026 |
|  ADVENZYMES |   290.65  | INE837H01020 |
|  AEGISCHEM  |   222.5   | INE208C01025 |
|    AFFLE    |  2895.05  | INE00WC01019 |
|   AGARIND   |   90.65   | INE204E01012 |
|    AGCNET   |   345.0   | INE676A01019 |
|   AGRITECH  |    29.7   | INE449G01018 |
|   AGROPHOS  |    9.5    | INE740V01019 |
|   AHLEAST   |   144.45  | INE926K01017 |
|   AHLUCONT  |   233.0   | INE758C01029 |
|   AHLWEST   |   268.0   | INE915K01010 |
|    AIAENG   |  1789.45  | INE212H01026 |
|   AIONJSW   |   18.15   | INE743C01021 |
|    AIRAN    |    11.8   | INE645W01026 |
|  AJANTPHARM |   1550.8  | INE031B01049 |
|    AJMERA   |    81.5   | INE298G01027 |
|  AKSHARCHEM |   219.15  | INE542B01011 |
|  AKSHOPTFBR |    5.85   | INE523B01011 |
|  AKZOINDIA  |   2015.0  | INE133A01011 |
|   ALANKIT   |   15.95   | INE914E01040 |
|  ALBERTDAVD |   411.95  | INE155C01010 |
|    ALCHEM   |    5.3    | INE964B01033 |
|  ALEMBICLTD |   106.0   | INE426A01027 |
|    ALICON   |   334.9   | INE062D01024 |
|    ALKALI   |    46.0   | INE773I01017 |
|    ALKEM    |   2800.0  | INE540L01014 |
|  ALKYLAMINE |   3155.0  | INE150B01021 |
|   ALLCARGO  |   128.1   | INE418H01029 |
