+--------------+------------+---------------+-----------+--------------+
| ftwhl_ticker | ftwhl_high | ftwhl_high_dt | ftwhl_low | ftwhl_low_dt |
+--------------+------------+---------------+-----------+--------------+
|  20MICRONS   |    42.0    |  27-SEP-2019  |    19.0   | 24-MAR-2020  |
|  21STCENMGM  |   17.25    |  10-JAN-2020  |    10.0   | 11-AUG-2020  |
|  3IINFOTECH  |    2.95    |  09-JAN-2020  |    1.15   | 15-APR-2020  |
|   3MINDIA    |  25200.0   |  11-FEB-2020  |  15700.0  | 25-MAR-2020  |
|    5PAISA    |   465.0    |  27-JUL-2020  |    90.0   | 24-MAR-2020  |
|   A2ZINFRA   |   11.25    |  25-SEP-2019  |    2.9    | 25-MAR-2020  |
|  AARTIDRUGS  |   2550.0   |  07-AUG-2020  |   421.0   | 23-MAR-2020  |
|   AARTIIND   |   1192.0   |  05-MAY-2020  |   668.0   | 23-MAR-2020  |
|    AARVI     |    39.9    |  08-JUL-2020  |    24.7   | 24-JUN-2020  |
|    AAVAS     |   2101.0   |  09-JAN-2020  |   849.05  | 25-MAR-2020  |
|     ABAN     |   37.25    |  20-SEP-2019  |   12.85   | 30-MAR-2020  |
|     ABB      |   1601.0   |  23-SEP-2019  |   722.0   | 27-MAY-2020  |
|  ABBOTINDIA  |  18679.8   |  12-MAY-2020  |   8700.0  | 23-AUG-2019  |
|  ABCAPITAL   |   115.35   |  13-JAN-2020  |   37.35   | 24-MAR-2020  |
|    ABFRL     |   282.67   |  24-FEB-2020  |   96.04   | 06-MAY-2020  |
|  ABSLBANETF  |   330.0    |  19-NOV-2019  |   161.21  | 25-MAR-2020  |
|  ABSLNN50ET  |   340.0    |  13-JAN-2020  |   193.0   | 23-MAR-2020  |
|     ACC      |   1709.0   |  23-SEP-2019  |   895.15  | 25-MAR-2020  |
|   ACCELYA    |   1245.2   |  19-NOV-2019  |   701.0   | 23-AUG-2019  |
|     ACE      |   93.95    |  16-JAN-2020  |   31.35   | 03-APR-2020  |
|   ADANIENT   |   261.0    |  20-FEB-2020  |   116.4   | 24-MAR-2020  |
|   ADANIGAS   |   194.5    |  20-FEB-2020  |    76.6   | 25-MAR-2020  |
|  ADANIGREEN  |   486.75   |  24-JUN-2020  |    42.5   | 26-AUG-2019  |
|  ADANIPORTS  |   428.85   |  22-OCT-2019  |   203.0   | 23-MAR-2020  |
