ftwhl_ticker,ftwhl_high,ftwhl_high_dt,ftwhl_low,ftwhl_low_dt
AGCNET,456.5,26-FEB-2020,107.45,15-OCT-2019
AGRITECH,53.85,16-JAN-2020,16.2,25-MAR-2020
AGROPHOS,155.4,26-DEC-2019,4.95,07-APR-2020
AHLEAST,222.4,06-MAR-2020,111.4,24-MAR-2020
AHLUCONT,370.0,27-FEB-2020,136.0,08-APR-2020
AHLWEST,401.55,02-DEC-2019,215.7,20-MAY-2020
AIAENG,1989.95,10-FEB-2020,1102.2,23-MAR-2020
AIONJSW,20.3,24-AUG-2020,8.0,26-MAR-2020
AIRAN,19.55,12-JUN-2020,8.2,03-JUN-2020
AJANTPHARM,1759.95,10-AUG-2020,903.4,04-NOV-2019
AJMERA,155.6,10-JAN-2020,52.5,19-MAR-2020
AKSHARCHEM,337.95,19-FEB-2020,134.0,24-MAR-2020
AKSHOPTFBR,9.7,23-JAN-2020,2.7,26-MAR-2020
AKZOINDIA,2500.0,17-FEB-2020,1750.0,25-MAR-2020
ALANKIT,22.85,27-SEP-2019,8.25,24-MAR-2020
ALBERTDAVD,567.7,12-FEB-2020,263.0,23-MAR-2020
ALCHEM,7.75,31-AUG-2020,0.6,16-DEC-2019
ALEMBICLTD,122.8,18-SEP-2020,24.8,24-MAR-2020
ALICON,450.45,17-JAN-2020,157.1,24-MAR-2020
ALKALI,59.0,05-NOV-2019,22.0,24-MAR-2020
ALKEM,3090.0,07-AUG-2020,1871.0,26-SEP-2019
ALKYLAMINE,3573.7,26-AUG-2020,825.0,15-OCT-2019
ALLCARGO,139.7,26-AUG-2020,48.6,25-MAR-2020
ALLSEC,348.7,24-JAN-2020,106.5,25-MAR-2020
ALMONDZ,17.5,26-FEB-2020,8.35,17-OCT-2019
ALOKINDS,58.5,03-JUL-2020,3.8,01-APR-2020
ALPA,32.3,27-AUG-2020,11.0,13-MAR-2020
ALPHAGEO,277.9,11-FEB-2020,104.95,03-APR-2020
ALPSINDUS,2.5,01-JAN-2020,0.25,14-OCT-2019
AMARAJABAT,813.85,27-JAN-2020,348.55,24-MAR-2020
AMBER,2113.9,15-SEP-2020,855.0,26-SEP-2019
AMBIKCO,952.0,27-SEP-2019,390.0,25-MAR-2020
AMBUJACEM,231.85,19-AUG-2020,136.55,26-MAR-2020
AMDIND,21.95,11-NOV-2019,8.1,24-MAR-2020
AMJLAND,24.85,31-JAN-2020,12.55,24-MAR-2020
AMRUTANJAN,555.0,13-FEB-2020,253.0,23-MAR-2020
ANANTRAJ,40.75,15-JAN-2020,13.0,24-MAR-2020
ANDHRACEMT,10.65,01-JUL-2020,1.45,16-MAR-2020
ANDHRAPAP,450.9,26-SEP-2019,112.0,25-MAR-2020
ANDHRSUGAR,392.0,14-JAN-2020,117.05,24-MAR-2020
ANIKINDS,17.5,08-JUL-2020,5.15,18-OCT-2019
ANSALAPI,6.8,25-FEB-2020,3.35,31-MAR-2020
ANSALHSG,9.3,13-NOV-2019,2.55,30-MAR-2020
ANUP,678.65,07-FEB-2020,225.05,25-MAR-2020
APARINDS,581.0,27-SEP-2019,239.2,13-MAR-2020
APCL,214.7,16-SEP-2020,83.5,25-MAR-2020
APCOTEXIND,213.7,26-SEP-2019,63.0,24-MAR-2020
APEX,444.85,16-JAN-2020,132.0,24-MAR-2020
APLAPOLLO,2840.0,15-SEP-2020,1030.0,19-MAR-2020
APLLTD,1128.9,07-AUG-2020,434.8,23-MAR-2020
APOLLO,142.9,14-JUL-2020,39.5,25-MAR-2020
APOLLOHOSP,2047.0,25-SEP-2020,1047.05,31-MAR-2020
APOLLOPIPE,524.95,11-FEB-2020,210.0,25-MAR-2020
APOLLOTYRE,196.75,01-NOV-2019,73.4,24-MAR-2020
APOLSINHOT,865.0,30-SEP-2019,280.0,25-MAR-2020
APTECHT,193.45,05-NOV-2019,65.55,25-MAR-2020
ARCHIDPLY,36.2,20-JAN-2020,12.0,24-MAR-2020
ARCHIES,24.4,06-DEC-2019,8.05,27-MAR-2020
ARENTERP,18.8,04-MAR-2020,8.5,26-MAY-2020
ARIES,93.45,19-AUG-2020,34.0,23-MAR-2020
ARIHANT,33.5,13-NOV-2019,10.4,26-MAR-2020
ARIHANTSUP,43.9,26-SEP-2019,15.75,20-MAY-2020
ARMANFIN,1121.1,27-FEB-2020,280.0,28-MAY-2020
AROGRANITE,46.8,01-OCT-2019,14.65,24-MAR-2020
ARROWGREEN,67.2,07-FEB-2020,30.3,19-MAR-2020
ARSHIYA,22.4,04-OCT-2019,6.45,31-MAR-2020
ARSSINFRA,26.8,29-NOV-2019,9.0,30-MAR-2020
ARTEMISMED,300.95,01-FEB-2020,106.7,24-MAR-2020
ARVIND,55.55,04-NOV-2019,19.0,24-MAR-2020
ARVINDFASN,432.34,23-OCT-2019,110.0,20-MAY-2020
ARVSMART,113.0,18-AUG-2020,60.5,26-MAY-2020
ASAHIINDIA,273.0,04-FEB-2020,119.0,25-MAR-2020
ASAHISONG,254.85,26-AUG-2020,62.7,26-MAR-2020
ASAL,44.3,30-OCT-2019,11.75,25-MAR-2020
ASALCBR,297.75,17-FEB-2020,123.05,25-MAR-2020
ASHAPURMIN,91.55,21-SEP-2020,18.55,31-MAR-2020
ASHIANA,125.8,13-FEB-2020,39.0,19-MAY-2020
ASHOKA,121.75,22-JAN-2020,37.05,03-APR-2020
ASHOKLEY,87.5,24-JAN-2020,33.7,25-MAR-2020
ASIANHOTNR,114.9,27-NOV-2019,44.2,29-MAY-2020
ASIANPAINT,2069.95,11-SEP-2020,1431.2,19-MAR-2020
ASIANTILES,314.9,21-SEP-2020,109.3,19-MAY-2020
ASPINWALL,175.0,20-AUG-2020,71.4,23-MAR-2020
ASTEC,1367.0,21-AUG-2020,310.0,23-MAR-2020
ASTERDM,181.8,12-FEB-2020,78.0,24-MAR-2020
ASTRAL,1314.7,08-SEP-2020,745.65,23-MAR-2020
ASTRAMICRO,134.9,28-AUG-2020,45.25,25-MAR-2020
ASTRAZEN,4970.0,08-SEP-2020,1885.0,23-MAR-2020
ASTRON,114.15,26-SEP-2019,24.15,24-MAR-2020
ATFL,828.8,25-AUG-2020,348.2,24-MAR-2020
ATLANTA,11.6,06-JUL-2020,2.65,01-APR-2020
ATUL,7019.75,16-SEP-2020,2923.2,25-MAR-2020
ATULAUTO,298.45,21-JAN-2020,116.8,23-MAR-2020
AUBANK,1218.0,02-MAR-2020,366.0,27-MAY-2020
AURIONPRO,111.9,27-SEP-2019,27.2,16-MAR-2020
AUROPHARMA,967.5,10-AUG-2020,288.85,23-MAR-2020
AUSOMENT,48.45,20-NOV-2019,23.0,26-MAY-2020
AUTOAXLES,1009.0,27-SEP-2019,335.6,24-MAR-2020
AUTOIND,45.7,13-AUG-2020,9.1,31-MAR-2020
AUTOLITIND,28.65,20-JAN-2020,10.4,24-MAR-2020
AVADHSUGAR,364.0,17-JAN-2020,88.5,25-MAR-2020
AVANTIFEED,770.0,17-JAN-2020,250.5,24-MAR-2020
AVTNPL,51.0,17-SEP-2020,20.0,25-MAR-2020
AXISBANK,765.85,31-DEC-2019,286.0,25-MAR-2020
AXISCADES,83.2,30-SEP-2019,26.5,26-MAR-2020
AXISGOLD,53.2,28-JUL-2020,32.4,01-OCT-2019
AXISNIFTY,140.0,27-AUG-2020,82.1,23-MAR-2020
AYMSYNTEX,41.7,24-JAN-2020,13.15,27-MAR-2020
BAFNAPH,36.15,25-SEP-2020,4.4,02-MAR-2020
BAGFILMS,3.5,25-JUN-2020,1.35,11-OCT-2019
BAJAJ-AUTO,3315.15,03-FEB-2020,1788.65,24-MAR-2020
BAJAJCON,271.2,17-OCT-2019,116.55,25-MAR-2020
BAJAJELEC,544.95,26-AUG-2020,260.0,03-APR-2020
BAJAJFINSV,9950.0,30-JAN-2020,3985.3,27-MAY-2020
BAJAJHIND,8.45,13-NOV-2019,2.35,27-MAR-2020
BAJAJHLDNG,3950.0,05-FEB-2020,1460.15,24-MAR-2020
BAJFINANCE,4923.4,20-FEB-2020,1783.0,27-MAY-2020
BALAJITELE,101.8,07-AUG-2020,27.9,23-MAR-2020
BALAMINES,994.8,26-AUG-2020,200.0,24-MAR-2020
BALKRISHNA,31.85,01-OCT-2019,7.6,07-APR-2020
BALKRISIND,1431.9,21-SEP-2020,679.0,23-MAR-2020
BALMLAWRIE,142.2,30-OCT-2019,69.0,13-MAR-2020
BALPHARMA,53.9,28-JAN-2020,23.0,23-MAR-2020
BALRAMCHIN,195.0,07-JAN-2020,68.95,24-MAR-2020
BANARBEADS,69.9,21-AUG-2020,23.0,23-MAR-2020
BANARISUG,1590.0,14-FEB-2020,638.6,24-MAR-2020
BANCOINDIA,121.05,31-OCT-2019,54.1,25-MAR-2020
BANDHANBNK,650.0,29-OCT-2019,152.2,25-MAR-2020
BANG,29.55,26-SEP-2019,10.45,27-MAR-2020
BANKBARODA,108.25,29-NOV-2019,36.0,20-MAY-2020
BANKBEES,332.95,02-JAN-2020,169.55,24-MAR-2020
BANKINDIA,79.8,28-NOV-2019,30.4,13-MAR-2020
BANSWRAS,148.2,19-FEB-2020,60.3,12-AUG-2020
BASF,1875.0,24-AUG-2020,809.15,26-FEB-2020
BASML,169.4,01-NOV-2019,62.25,27-MAR-2020
BATAINDIA,1895.45,07-FEB-2020,1000.0,19-MAR-2020
BAYERCROP,6601.25,21-SEP-2020,2925.0,25-MAR-2020
BBL,982.9,26-SEP-2019,424.95,25-MAR-2020
BBTC,1565.0,10-AUG-2020,535.0,24-MAR-2020
BCG,12.5,17-JUN-2020,2.45,24-OCT-2019
BCP,23.0,28-JAN-2020,4.2,30-JUL-2020
BDL,481.7,14-AUG-2020,145.3,23-MAR-2020
BEL,122.1,04-NOV-2019,56.0,24-MAR-2020
BEML,1108.95,30-OCT-2019,369.5,24-MAR-2020
BEPL,74.65,25-SEP-2020,22.75,25-MAR-2020
BERGEPAINT,597.0,05-FEB-2020,389.35,19-MAR-2020
BFINVEST,377.0,01-NOV-2019,151.0,25-MAR-2020
BFUTILITIE,361.3,10-DEC-2019,134.1,26-MAR-2020
BGRENERGY,65.35,08-JUL-2020,19.0,24-MAR-2020
BHAGERIA,154.95,14-FEB-2020,64.95,24-MAR-2020
BHAGYANGR,28.6,13-JAN-2020,11.5,24-MAR-2020
BHAGYAPROP,25.5,30-JUL-2020,16.0,15-APR-2020
BHANDARI,1.8,01-JUL-2020,0.55,25-MAR-2020
BHARATFORG,533.9,16-JAN-2020,207.5,07-APR-2020
BHARATGEAR,88.9,05-NOV-2019,21.75,27-MAR-2020
BHARATRAS,11700.0,11-AUG-2020,4500.0,24-MAR-2020
BHARATWIRE,40.0,24-OCT-2019,10.3,26-MAR-2020
BHARTIARTL,612.0,20-MAY-2020,325.5,24-OCT-2019
BHEL,61.1,30-OCT-2019,18.4,13-MAR-2020
BILENERGY,1.6,25-JUN-2020,0.4,27-FEB-2020
BINDALAGRO,16.0,29-JAN-2020,6.2,26-MAR-2020
BIOCON,463.9,18-SEP-2020,212.2,27-SEP-2019
BIRLACABLE,90.0,06-NOV-2019,24.9,24-MAR-2020
BIRLACORPN,807.0,01-FEB-2020,372.2,07-MAY-2020
BIRLAMONEY,45.2,04-SEP-2020,16.2,24-MAR-2020
BIRLATYRE,53.1,03-JUL-2020,2.7,30-MAR-2020
BKMINDST,1.65,03-JUL-2020,0.35,13-APR-2020
BLISSGVS,167.0,26-AUG-2020,81.25,13-MAR-2020
BLS,126.3,19-AUG-2020,27.0,20-MAY-2020
BLUEDART,3450.0,06-MAR-2020,1822.35,24-MAR-2020
BLUESTARCO,887.55,29-JAN-2020,408.9,24-MAR-2020
BODALCHEM,88.65,18-FEB-2020,34.0,24-MAR-2020
BOMDYEING,101.75,30-JAN-2020,36.0,24-MAR-2020
BORORENEW,224.0,19-FEB-2020,27.5,25-MAR-2020
BOSCHLTD,17260.3,27-NOV-2019,7850.0,24-MAR-2020
BPCL,549.0,21-NOV-2019,252.0,24-MAR-2020
BPL,25.9,29-JUN-2020,8.4,24-MAR-2020
BRIGADE,254.9,20-FEB-2020,90.5,22-MAY-2020
BRITANNIA,4010.0,21-JUL-2020,2100.0,23-MAR-2020
BRNL,79.85,13-JAN-2020,27.2,23-MAR-2020
BROOKS,62.25,25-SEP-2020,13.85,27-MAR-2020
BSE,608.0,16-SEP-2020,275.0,24-MAR-2020
BSELINFRA,1.6,01-JUL-2020,0.7,07-APR-2020
BSL,39.95,24-JAN-2020,17.05,31-MAR-2020
BSLGOLDETF,5445.0,07-AUG-2020,3402.05,01-OCT-2019
BSLNIFTY,138.0,01-FEB-2020,85.27,23-MAR-2020
BSOFT,206.5,18-SEP-2020,46.7,24-MAR-2020
BURNPUR,2.4,06-JUL-2020,0.5,24-MAR-2020
BYKE,24.5,26-SEP-2019,7.2,25-MAR-2020
CADILAHC,423.0,18-SEP-2020,202.0,13-MAR-2020
CAMLINFINE,102.15,25-SEP-2020,33.0,26-MAR-2020
CANBK,234.25,29-NOV-2019,73.65,24-MAR-2020
CANFINHOME,519.0,12-FEB-2020,253.3,03-APR-2020
CANTABIL,357.95,17-FEB-2020,192.55,03-APR-2020
CAPACITE,245.9,07-NOV-2019,70.2,03-APR-2020
CAPLIPOINT,686.0,07-AUG-2020,176.2,24-MAR-2020
CAPTRUST,211.05,13-JAN-2020,44.4,30-MAR-2020
CARBORUNIV,362.0,20-FEB-2020,178.95,23-MAR-2020
CAREERP,202.95,23-APR-2020,81.3,17-OCT-2019
CARERATING,727.0,01-JAN-2020,235.0,26-MAR-2020
CASTROLIND,162.2,14-FEB-2020,89.55,24-MAR-2020
CCHHL,4.5,26-SEP-2019,1.7,27-MAR-2020
CCL,292.2,25-AUG-2020,137.0,24-MAR-2020
CDSL,513.9,03-SEP-2020,179.8,23-MAR-2020
CEATLTD,1094.4,20-FEB-2020,600.0,24-MAR-2020
CEBBCO,18.7,27-NOV-2019,6.75,24-MAR-2020
CELEBRITY,7.35,31-DEC-2019,3.55,31-MAR-2020
CENTENKA,218.75,17-JAN-2020,94.5,25-MAR-2020
CENTEXT,6.55,25-JUN-2020,1.45,24-MAR-2020
CENTRALBK,25.5,04-NOV-2019,10.1,23-MAR-2020
CENTRUM,29.4,13-JAN-2020,7.75,26-MAR-2020
CENTUM,495.0,14-JAN-2020,175.4,24-MAR-2020
CENTURYPLY,191.95,15-SEP-2020,95.15,23-MAR-2020
CENTURYTEX,939.9,26-SEP-2019,218.6,25-MAR-2020
CERA,2749.0,02-JAN-2020,1986.0,23-MAR-2020
CEREBRAINT,45.1,12-FEB-2020,16.75,01-APR-2020
CESC,846.0,05-NOV-2019,365.25,30-MAR-2020
CESCVENT,395.5,26-SEP-2019,109.0,31-MAR-2020
CGCL,252.0,21-SEP-2020,115.15,13-APR-2020
CGPOWER,26.25,17-SEP-2020,4.75,13-MAR-2020
CHALET,402.0,31-DEC-2019,99.6,29-MAY-2020
CHAMBLFERT,185.0,31-JAN-2020,93.8,23-MAR-2020
CHEMBOND,249.9,08-JAN-2020,120.0,24-MAR-2020
CHEMFAB,221.75,20-JAN-2020,91.0,25-MAR-2020
CHENNPETRO,185.9,01-OCT-2019,47.6,27-MAY-2020
CHOLAFIN,349.0,06-FEB-2020,117.4,07-APR-2020
CHOLAHLDNG,569.85,16-JAN-2020,222.35,26-MAY-2020
CIGNITITEC,410.0,23-SEP-2020,178.8,31-MAR-2020
CIMMCO,29.35,21-AUG-2020,9.1,24-MAR-2020
CINELINE,46.0,13-JAN-2020,16.35,19-MAR-2020
CIPLA,819.3,18-SEP-2020,355.3,13-MAR-2020
CLNINDIA,608.0,14-JUL-2020,183.25,23-MAR-2020
CMICABLES,76.55,07-NOV-2019,19.05,26-MAR-2020
CNOVAPETRO,11.75,10-FEB-2020,4.55,05-MAR-2020
COALINDIA,217.55,05-NOV-2019,113.9,25-SEP-2020
COCHINSHIP,491.7,20-JAN-2020,209.1,24-MAR-2020
COFORGE,2325.85,25-SEP-2020,735.35,24-MAR-2020
COLPAL,1642.6,08-NOV-2019,1065.0,19-MAR-2020
COMPINFO,21.0,27-JAN-2020,7.5,24-MAR-2020
COMPUSOFT,11.1,11-JUN-2020,3.15,23-MAR-2020
CONCOR,666.0,01-OCT-2019,263.4,25-MAR-2020
CONFIPET,32.5,26-SEP-2019,12.2,24-MAR-2020
CONSOFINVT,43.5,26-SEP-2019,17.25,23-MAR-2020
CONTROLPR,318.05,31-OCT-2019,145.1,25-MAR-2020
CORALFINAC,34.75,29-JUN-2020,9.25,23-MAR-2020
CORDSCABLE,57.85,24-JAN-2020,22.4,23-MAR-2020
COROMANDEL,838.95,16-SEP-2020,399.95,10-OCT-2019
COSMOFILMS,491.4,20-AUG-2020,185.6,25-MAR-2020
COUNCODOS,2.45,04-OCT-2019,0.7,01-APR-2020
CPSEETF,25.11,04-NOV-2019,11.54,23-MAR-2020
CREATIVE,137.8,26-AUG-2020,58.0,14-OCT-2019
CREDITACC,1000.0,20-FEB-2020,305.2,07-APR-2020
CREST,118.7,14-JAN-2020,44.05,25-MAR-2020
CRISIL,2068.0,23-DEC-2019,1052.7,23-MAR-2020
CROMPTON,301.45,20-FEB-2020,177.3,23-MAR-2020
CSBBANK,313.5,05-DEC-2019,95.6,25-MAR-2020
CTE,38.0,06-JAN-2020,11.5,17-MAR-2020
CUB,249.35,16-JAN-2020,110.0,07-APR-2020
CUBEXTUB,25.4,27-FEB-2020,8.15,01-APR-2020
CUMMINSIND,652.8,29-JAN-2020,280.0,08-APR-2020
CUPID,296.75,26-AUG-2020,120.0,24-MAR-2020
CYBERTECH,71.45,08-SEP-2020,22.1,25-MAR-2020
CYIENT,513.6,06-FEB-2020,184.0,22-MAY-2020
DAAWAT,63.3,11-AUG-2020,13.0,13-MAR-2020
DABUR,528.0,10-AUG-2020,386.05,23-MAR-2020
DALBHARAT,919.0,29-JAN-2020,402.7,24-MAR-2020
DALMIASUG,153.8,24-AUG-2020,39.75,25-MAR-2020
DAMODARIND,34.5,24-JAN-2020,15.0,19-MAR-2020
DATAMATICS,90.0,17-SEP-2020,27.4,24-MAR-2020
DBCORP,163.0,27-OCT-2019,58.0,26-MAY-2020
DBL,474.3,01-NOV-2019,190.0,25-MAR-2020
DBREALTY,12.5,03-DEC-2019,3.65,22-APR-2020
DBSTOCKBRO,12.45,15-JAN-2020,6.65,15-APR-2020
DCAL,216.8,05-AUG-2020,46.05,30-MAR-2020
DCBBANK,211.0,26-SEP-2019,58.0,26-MAY-2020
DCM,27.55,26-SEP-2019,12.55,03-APR-2020
DCMNVL,39.55,20-JAN-2020,19.25,19-MAY-2020
DCMSHRIRAM,430.9,17-JAN-2020,172.6,24-MAR-2020
DCW,18.65,26-SEP-2019,6.55,25-MAR-2020
DECCANCE,379.9,26-SEP-2019,161.0,24-MAR-2020
DEEPAKFERT,185.58,25-AUG-2020,54.95,19-MAR-2020
DEEPAKNTR,888.0,18-SEP-2020,286.05,09-OCT-2019
DEEPIND,130.0,17-JAN-2020,42.4,24-MAR-2020
DELTACORP,224.8,02-DEC-2019,53.8,25-MAR-2020
DELTAMAGNT,46.95,12-FEB-2020,17.0,25-SEP-2020
DEN,115.05,22-JUL-2020,25.5,25-MAR-2020
DENORA,258.4,11-NOV-2019,110.3,24-MAR-2020
DFMFOODS,391.0,15-SEP-2020,154.0,24-MAR-2020
DHAMPURSUG,245.95,02-JAN-2020,65.55,26-MAR-2020
DHANBANK,18.3,31-OCT-2019,7.15,26-MAR-2020
DHANUKA,935.7,20-JUL-2020,275.0,23-MAR-2020
DHARSUGAR,9.0,20-JAN-2020,4.0,29-MAY-2020
DHFL,46.95,26-SEP-2019,8.35,01-APR-2020
DHUNINV,299.8,06-DEC-2019,105.5,19-MAR-2020
DIAMONDYD,989.0,07-NOV-2019,435.1,12-MAY-2020
DICIND,443.0,02-MAR-2020,235.2,24-MAR-2020
DIGISPICE,10.15,09-JUN-2020,2.8,25-MAR-2020
DISHTV,21.8,27-SEP-2019,3.9,03-APR-2020
DIVISLAB,3389.0,18-SEP-2020,1595.05,03-OCT-2019
DIXON,10289.5,14-SEP-2020,2662.55,07-NOV-2019
DLF,266.55,01-FEB-2020,114.55,25-MAR-2020
DLINKINDIA,136.0,27-AUG-2020,49.1,25-MAR-2020
DMART,2560.0,13-FEB-2020,1700.0,11-DEC-2019
DNAMEDIA,0.9,22-JUN-2020,0.2,26-MAR-2020
DOLAT,83.8,30-OCT-2019,27.3,24-MAR-2020
DOLLAR,214.9,26-SEP-2019,96.1,23-MAR-2020
DONEAR,35.2,31-OCT-2019,18.25,23-MAR-2020
DPSCLTD,14.5,31-JUL-2020,4.4,19-MAR-2020
DPWIRES,98.0,20-JAN-2020,41.15,30-MAR-2020
DQE,2.95,30-SEP-2019,0.6,13-FEB-2020
DREDGECORP,413.7,21-NOV-2019,121.0,24-MAR-2020
DRREDDY,5512.65,21-SEP-2020,2495.05,19-MAR-2020
DSSL,35.6,20-JAN-2020,13.1,25-MAR-2020
DTIL,275.0,27-AUG-2020,90.0,23-MAR-2020
DUCON,7.25,10-FEB-2020,2.35,01-APR-2020
DWARKESH,42.0,07-JAN-2020,13.35,25-MAR-2020
DYNAMATECH,1316.0,26-SEP-2019,436.45,01-APR-2020
DYNPRO,283.8,24-SEP-2020,81.0,23-MAR-2020
EASTSILK,1.55,13-DEC-2019,0.45,17-OCT-2019
EBANK,3953.96,26-DEC-2019,1832.01,27-MAR-2020
EBBETF0423,1144.5,21-MAY-2020,830.9,04-MAY-2020
EBBETF0425,1101.0,31-JUL-2020,988.0,31-AUG-2020
EBBETF0430,1190.0,03-AUG-2020,991.1,23-MAR-2020
EBBETF0431,1008.47,29-JUL-2020,972.0,01-SEP-2020
EBIXFOREX,573.95,27-APR-2020,240.0,27-DEC-2019
ECLERX,812.0,25-AUG-2020,320.0,24-MAR-2020
EDELWEISS,134.6,15-NOV-2019,30.15,26-MAR-2020
EICHERMOT,2387.25,24-AUG-2020,1245.01,07-APR-2020
EIDPARRY,325.0,15-SEP-2020,102.15,24-MAR-2020
EIHAHOTELS,349.75,26-SEP-2019,151.1,23-MAR-2020
EIHOTEL,186.04,30-SEP-2019,54.21,19-MAY-2020
EIMCOELECO,384.0,17-JAN-2020,186.0,23-MAR-2020
ELECON,43.7,17-JAN-2020,16.2,25-MAR-2020
ELECTCAST,19.0,16-JAN-2020,8.0,23-MAR-2020
ELECTHERM,169.8,07-FEB-2020,75.95,11-MAY-2020
ELGIEQUIP,154.0,01-OCT-2019,50.6,07-APR-2020
ELGIRUBCO,27.0,02-JUL-2020,9.3,07-APR-2020
EMAMILTD,407.55,15-SEP-2020,130.95,30-MAR-2020
EMAMIPAP,154.6,27-JAN-2020,48.1,31-MAR-2020
EMKAY,84.6,07-NOV-2019,23.75,26-MAR-2020
EMMBI,139.9,17-JAN-2020,40.0,30-MAR-2020
ENDURANCE,1204.95,27-JAN-2020,564.5,22-APR-2020
ENERGYDEV,8.95,03-JUL-2020,3.25,24-MAR-2020
ENGINERSIN,123.0,04-NOV-2019,49.2,13-MAR-2020
ENIL,368.95,26-SEP-2019,98.0,24-MAR-2020
EQ30,352.36,20-JAN-2020,238.0,25-MAR-2020
EQUITAS,120.7,31-JAN-2020,32.5,24-MAR-2020
ERIS,595.0,02-JUN-2020,321.0,13-MAR-2020
ESABINDIA,1727.95,14-FEB-2020,867.9,24-MAR-2020
ESCORTS,1280.7,18-SEP-2020,526.05,19-MAR-2020
ESSELPACK,318.6,21-AUG-2020,105.15,25-OCT-2019
ESTER,83.45,16-SEP-2020,22.35,26-MAR-2020
EUROTEXIND,13.95,04-OCT-2019,6.05,06-MAR-2020
EVEREADY,157.95,10-AUG-2020,34.3,17-OCT-2019
EVERESTIND,358.25,26-SEP-2019,117.2,13-MAR-2020
EXCELINDUS,1015.0,27-SEP-2019,375.5,24-MAR-2020
EXIDEIND,208.25,27-JAN-2020,124.7,19-MAR-2020
EXPLEOSOL,567.7,18-SEP-2020,112.6,25-MAR-2020
FACT,54.9,27-JAN-2020,20.5,13-MAR-2020
FAIRCHEM,756.05,11-AUG-2020,355.05,24-MAR-2020
FCL,37.0,21-AUG-2020,12.45,25-MAR-2020
FCONSUMER,30.2,26-SEP-2019,5.75,09-APR-2020
FCSSOFT,0.8,01-JUL-2020,0.1,30-MAR-2020
FDC,367.35,18-SEP-2020,158.15,15-OCT-2019
FEDERALBNK,96.95,24-JAN-2020,35.7,25-MAR-2020
FEL,29.5,05-NOV-2019,7.55,07-APR-2020
FELDVR,27.9,02-DEC-2019,8.25,07-APR-2020
FIEMIND,683.2,21-AUG-2020,203.3,24-MAR-2020
FILATEX,43.5,17-FEB-2020,15.05,25-MAR-2020
FINCABLES,429.95,17-JAN-2020,162.4,23-MAR-2020
FINEORG,3260.0,15-SEP-2020,1521.7,23-MAR-2020
FINPIPE,626.9,22-OCT-2019,289.95,24-MAR-2020
FLFL,456.0,26-SEP-2019,81.25,25-SEP-2020
FLUOROCHEM,750.0,16-OCT-2019,217.35,25-MAR-2020
FMGOETZE,666.45,17-DEC-2019,238.3,25-MAR-2020
FMNL,44.65,23-OCT-2019,8.5,31-MAR-2020
FORCEMOT,1504.0,21-JAN-2020,591.2,24-MAR-2020
