YEAR, Qtr, Month, TXN#, Sale, Buy, Net, Portfolio
2008, Q1, all,  24,      0,  28532,  28532,   28532
2008, Q2, all,   8,  31957,      0, -31957,   -3425
2008, Q3, all,  72,  88552,  30141, -58411,  -61836
2008, Q4, all,  42,   7530, 158477, 150947,   89111
2009, Q3, all,   3,      0,   8456,   8456,   97567
2009, Q4, all,   4,      0,   3492,   3492,  101059
2010, Q4, all,  20,      0,  14277,  14277,  115336
2013, Q1, all,   5,      0,  13291,  13291,  128627
2013, Q2, all,   3,      0,   8229,   8229,  136856
2013, Q3, all,   3,      0,   8713,   8713,  145569
2013, Q4, all,  50, 100812,  11293, -89519,   56049
2014, Q1, all,  22,      0,  28223,  28223,   84272
2014, Q2, all,  39,      0, 162519, 162519,  246791
2014, Q3, all,  25,      0,  29578,  29578,  276369
2014, Q4, all,  20,      0,  68095,  68095,  344464
2016, Q1, all,   8,      0,  49644,  49644,  394108
2016, Q2, all,  12,      0,  18455,  18455,  412563
2016, Q3, all,  41,      0, 101046, 101046,  513609
2017, Q1, all, 112,      0, 178983, 178983,  692592
2017, Q2, all,  67,      0, 202981, 202981,  895573
2017, Q3, all,  79, 106362, 145976,  39613,  935186
2017, Q4, all,  43,      0,  96048,  96048, 1031234
2018, Q1, all,  56,      0, 124626, 124626, 1155860
2018, Q2, all,  54,      0,  91213,  91213, 1247073
2018, Q3, all, 103,      0, 168896, 168896, 1415969
2018, Q4, all,  50,      0,  52189,  52189, 1468158
2019, Q1, all,  40,      0, 136378, 136378, 1604536
2019, Q2, all,  29,      0,  51809,  51809, 1656345
2019, Q3, all,  57,   2486, 348846, 346360, 2002705
2019, Q4, all,  60,      0, 169232, 169232, 2171937
2020, Q1, all,  71,      0, 207190, 207190, 2379127
2020, Q4, all, 186,   5589, 718060, 712470, 3091597
