Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
539098,FILTRA,Filtra Consultants and Engineers Ltd,06 Apr 2016,Bonus issue 3:2,08 Apr 2016,-,-,31 Mar 2016,06 Apr 2016,-
532526,DISHMAN,DISHMAN PHARMACEUTICALS & CHEMICALS LTD.,02 May 2016,Bonus issue 1:1,03 May 2016,-,-,26 Apr 2016,02 May 2016,-
539223,AMBITION,Ambition Mica Ltd,11 May 2016,Bonus issue 1:1,12 May 2016,-,-,05 May 2016,11 May 2016,-
538595,GLOSTER,Gloster Ltd,20 May 2016,Bonus issue 1:1,23 May 2016,-,-,16 May 2016,20 May 2016,-
507488,GMBREW,G.M.BREWERIES LTD.,30 May 2016,Bonus issue 1:4,31 May 2016,-,-,24 May 2016,30 May 2016,-
537259,SUYOG,Suyog Telematics Ltd,13 Jun 2016,Bonus issue 1:5,14 Jun 2016,-,-,07 Jun 2016,13 Jun 2016,-
538771,PINCON,Pincon Spirit Ltd,23 Jun 2016,Bonus issue 1:1,25 Jun 2016,-,-,20 Jun 2016,23 Jun 2016,-
500875,ITC,ITC LTD.,01 Jul 2016,Bonus issue 1:2,04 Jul 2016,-,-,27 Jun 2016,01 Jul 2016,-
500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.,13 Jul 2016,Bonus issue 1:1,14 Jul 2016,-,-,07 Jul 2016,13 Jul 2016,-
531531,HATSUN,HATSUN AGRO PRODUCT LTD.,13 Jul 2016,Bonus issue 2:5,14 Jul 2016,-,-,07 Jul 2016,13 Jul 2016,-
526367,GANESHHOUC,GANESH HOUSING CORPORATION LTD.-$,14 Jul 2016,Bonus issue 1:2,15 Jul 2016,-,-,12 Jul 2016,14 Jul 2016,-
506076,GRINDWELL,GRINDWELL NORTON LTD.-$,14 Jul 2016,Bonus issue 1:1,15 Jul 2016,-,-,08 Jul 2016,14 Jul 2016,-
509480,BERGEPAINT,BERGER PAINTS INDIA LTD.,15 Jul 2016,Bonus issue 2:5,18 Jul 2016,-,-,11 Jul 2016,15 Jul 2016,-
501298,INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,19 Jul 2016,Bonus issue 2:1,20 Jul 2016,-,-,15 Jul 2016,19 Jul 2016,-
539225,JIYAECO,Jiya Eco-Products Ltd,27 Jul 2016,Bonus issue 1:5,28 Jul 2016,-,-,25 Jul 2016,27 Jul 2016,-
508980,FRONTCAP,Frontier Capital Ltd,28 Jul 2016,Bonus issue 1:3,29 Jul 2016,-,-,22 Jul 2016,28 Jul 2016,-
538019,OBIL,Oceanaa Biotek Industries Ltd,28 Jul 2016,Bonus issue 7:10,30 Jul 2016,-,-,25 Jul 2016,28 Jul 2016,-
539196,AEL,Amba Enterprises Ltd,08 Aug 2016,Bonus issue 1:5,09 Aug 2016,-,-,02 Aug 2016,08 Aug 2016,-
590018,HISARMET,HISAR METAL INDUSTRIES LTD.-$,09 Aug 2016,Bonus issue 1:2,10 Aug 2016,-,-,03 Aug 2016,09 Aug 2016,-
533289,KTIL,KESAR TERMINALS & INFRASTRUCTURE LTD.,11 Aug 2016,Bonus issue 1:25,13 Aug 2016,-,-,08 Aug 2016,11 Aug 2016,-
532810,PFC,POWER FINANCE CORPORATION LTD.,26 Aug 2016,Bonus issue 1:1,29 Aug 2016,-,-,22 Aug 2016,26 Aug 2016,-
523828,MENONBE,MENON BEARINGS LTD.-$,30 Aug 2016,Bonus issue 1:5,31 Aug 2016,-,-,24 Aug 2016,30 Aug 2016,-
538547,OASIS,Oasis Tradelink Ltd,30 Aug 2016,Bonus issue 1:3,31 Aug 2016,-,-,24 Aug 2016,30 Aug 2016,-
513023,NBVENTURES,NAVA BHARAT VENTURES LTD.,01 Sep 2016,Bonus issue 1:1,03 Sep 2016,-,-,29 Aug 2016,01 Sep 2016,-
533281,TECHNO,TECHNO ELECTRIC AND ENGINEERING CO. LTD.,06 Sep 2016,Bonus issue 1:1,07 Sep 2016,-,-,31 Aug 2016,06 Sep 2016,-
500034,BAJFINANCE,Bajaj Finance Limited,08 Sep 2016,Bonus issue 1:1,10 Sep 2016,-,-,02 Sep 2016,08 Sep 2016,-
538706,ULTRACAB,Ultracab (India) Ltd,08 Sep 2016,Bonus issue 1:2,09 Sep 2016,-,-,01 Sep 2016,08 Sep 2016,-
526586,WIMPLAST,WIM PLAST LTD.-$,08 Sep 2016,Bonus issue 1:1,09 Sep 2016,-,-,01 Sep 2016,08 Sep 2016,-
538713,ATISHAY,Atishay Ltd,14 Sep 2016,Bonus issue 1:4,15 Sep 2016,-,-,12 Sep 2016,14 Sep 2016,-
500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,14 Sep 2016,Bonus issue 2:1,15 Sep 2016,-,-,07 Sep 2016,14 Sep 2016,-
517385,SYMPHONY,Symphony Limited,14 Sep 2016,Bonus issue 1:1,15 Sep 2016,-,-,07 Sep 2016,14 Sep 2016,-
507779,KANPRPLA,KANPUR PLASTIPACK LTD.,23 Sep 2016,Bonus issue 1:2,26 Sep 2016,-,-,20 Sep 2016,23 Sep 2016,-
537069,ARNOLD,Arnold Holdings Ltd,27 Sep 2016,Bonus issue 5:1,28 Sep 2016,-,-,21 Sep 2016,27 Sep 2016,-
537524,VIAANINDUS,Viaan Industries Ltd,27 Sep 2016,Bonus issue 2:1,-,29 Sep 2016,29 Sep 2016,22 Sep 2016,28 Sep 2016,-
532955,RECLTD,RURAL ELECTRIFICATION CORPORATION LTD.,28 Sep 2016,Bonus issue 1:1,29 Sep 2016,-,-,22 Sep 2016,28 Sep 2016,-
502015,ASIIL,ASI Industries Ltd,29 Sep 2016,Bonus issue 1:4,30 Sep 2016,-,-,26 Sep 2016,29 Sep 2016,-
