isin_code, comp_name, hold_qty, hold_price, hold_units_1k, last_txn_type, last_txn_date
Ine001a01036,Housing development finance co,8,10973,10,Buy,06-Dec-2017
Ine001b01026,Krbl ,2,970,0,Buy,22-Sep-2017
Ine002a01018,Reliance industries,15,6869,6,Buy,27-Nov-2017
Ine003a01024,Siemens ,2,2789,2,Buy,02-Jan-2018
Ine007a01025,Crisil ,2,3725,3,Buy,04-Apr-2018
Ine008i01026,Cox kings ,8,2060,2,Buy,01-Feb-2018
Ine009a01021,Infosys ,11,9275,9,Buy,17-Mar-2017
Ine010b01027,Cadila healthcare ,2,970,0,Buy,19-Sep-2017
Ine010v01017,L&t technologies ,1,1304,1,Buy,28-May-2018
Ine012a01025,Acc ,2,3923,3,Buy,01-Nov-2017
Ine016a01026,Dabur ,7,2179,2,Buy,02-Jan-2018
Ine018a01030,Larsen toubro ,7,6892,6,Buy,04-Apr-2018
Ine019a01038,Jsw steel ,10,2200,2,Buy,06-Dec-2017
Ine020b01018,Rural electrification corporat,12,4612,4,Buy,01-Nov-2017
Ine021a01026,Asian paints ,8,8215,8,Buy,06-Dec-2017
Ine022i01019,Asian granito ,2,1064,1,Buy,02-Feb-2018
Ine029a01011,Bharat petroleum corpn ,5,1542,1,Buy,02-Jan-2018
Ine030a01027,Hindustan unilever ,7,2393,2,Buy,04-Apr-2018
Ine031a01017,Housing urban dev co hudco,12,1056,1,Buy,19-Sep-2017
Ine034a01011,Arvind ,3,1233,1,Buy,18-Sep-2017
Ine038a01020,Hindalco industries ,9,1705,1,Buy,01-Sep-2017
Ine040a01026,Hdfc bank ,18,15451,15,Buy,14-Mar-2017
Ine044a01036,Sun pharmaceutical industries,15,10790,10,Buy,10-Mar-2017
Ine047a01021,Grasim industries ,1,1746,1,Buy,16-Oct-2017
Ine053a01029,Indian hotels co ,56,9869,9,Buy,06-Dec-2017
Ine054a01027,Vip industries ,9,2231,2,Buy,02-Jan-2018
Ine058a01010,Sanofi ,1,4052,4,Buy,19-Sep-2017
Ine059a01026,Cipla ,4,811,0,Buy,02-Jan-2018
Ine061f01013,Fortis healthcare ,13,2040,2,Buy,04-Apr-2018
Ine062a01020,State bank of ,20,2112,2,Buy,05-May-2017
Ine066o01014,Wonderla holidays ,3,1095,1,Buy,18-Apr-2018
Ine075a01022,Wipro ,22,6380,6,Buy,21-Jun-2017
Ine079a01024,Ambuja cements ,9,1977,1,Buy,02-Jan-2018
Ine081a01012,Tata steel ,11,4464,4,Buy,25-Jan-2017
Ine085a01013,Chambal fertilisers chemical,7,1008,1,Buy,16-Oct-2017
Ine089a01023,Dr reddys laboratories ,2,4120,4,Buy,04-Apr-2018
Ine090a01021,Icici bank ,16,5251,5,Buy,06-Dec-2017
Ine092a01019,Tata chemicals ,4,2762,2,Buy,04-Apr-2018
Ine094a01015,Hindustan petroleum corp,6,3140,3,Buy,02-Jan-2018
Ine095n01031,Nbcc ,20,2050,2,Buy,04-Apr-2018
Ine101a01026,Mahindra mahindra ,4,4502,4,Buy,28-Dec-2017
Ine102d01028,Godrej consumer products ,1,935,0,Buy,25-Sep-2017
Ine109a01011,Shipping corp of lt,27,2133,2,Buy,04-Apr-2018
Ine111a01017,Container corporation of ,2,4474,4,Buy,04-Apr-2018
Ine115a01026,Lic housing finance ,3,2060,2,Buy,01-Nov-2017
Ine117a01022,Abb ,2,3062,3,Buy,02-Jan-2018
Ine118h01025,Bse ,1,982,0,Buy,28-Sep-2017
Ine119a01028,Balrampur chini mills ,8,1272,1,Buy,13-Nov-2017
Ine120a01034,Carborundum universal ,4,1312,1,Buy,17-Oct-2017
Ine121j01017,Bharti infratel ,3,1227,1,Buy,03-Oct-2017
Ine123w01016,Sbi life insurance company ,2,1436,1,Buy,03-Oct-2017
Ine126a01031,Eid parry ,6,1977,1,Buy,01-Feb-2018
Ine128a01029,Eveready industries ,6,1959,1,Buy,01-Nov-2017
Ine129a01019,Gail ,6,2312,2,Buy,10-Apr-2018
Ine131b01039,Relaxo footwears ,4,2298,2,Buy,02-Jan-2018
Ine133a01011,Akzo nobel ,1,1810,1,Buy,17-Jul-2017
Ine134e01011,Power finance corporation ,17,2211,2,Buy,01-Nov-2017
Ine139a01034,National aluminium co ,34,2916,2,Buy,01-Sep-2017
Ine140a01024,Piramal enterprises ,2,5399,5,Buy,04-Apr-2018
Ine148i01020,Indiabulls housing finance ,1,1242,1,Buy,03-Oct-2017
Ine149a01033,Ti financial holdings ,2,1366,1,Buy,02-Jun-2017
Ine154a01025,Itc ,40,5611,5,Buy,02-Nov-2017
Ine155a01022,Tata motors ,8,-2231,-3,Buy,08-Sep-2017
Ine158a01026,Hero motocorp ,1,3916,3,Buy,09-Jun-2017
Ine169a01031,Coromandel international limit,5,2275,2,Buy,01-Nov-2017
Ine172a01027,Castrol ,12,2424,2,Buy,04-Jan-2018
Ine175a01038,Jain irrigation systems ,10,1140,1,Buy,29-Nov-2017
Ine176a01028,Bata ,4,2560,2,Buy,06-Dec-2017
Ine176b01034,Havells ,3,1431,1,Buy,31-Jul-2017
Ine179a01014,Procter gamble hygiene hea,1,7950,7,Buy,09-Jun-2017
Ine182a01018,Pfizer ,1,2506,2,Buy,19-Sep-2017
Ine191h01014,Pvr ,2,2848,2,Buy,02-Jan-2018
Ine192a01025,Tata global beverages ,12,2372,2,Buy,01-Nov-2017
Ine192r01011,Avenue supermarts dmart,1,1231,1,Buy,16-Oct-2017
Ine195a01028,Supreme industries ,2,2343,2,Buy,04-Apr-2018
Ine196a01026,Marico ,7,2229,2,Buy,02-Jan-2018
Ine200m01013,Varun beverages ,4,2466,2,Buy,02-Jan-2018
Ine205a01025,Vedanta ,20,5100,5,Buy,25-Jan-2017
Ine208c01025,Aegis logistics ,4,1072,1,Buy,02-Feb-2018
Ine213a01029,Oil natural gas corporatio,25,3130,3,Buy,06-Dec-2017
Ine214t01019,Larsen toubro infotech ,1,1657,1,Buy,28-May-2018
Ine216a01022,Britannia industries ,2,8708,8,Buy,04-Apr-2018
Ine217b01036,Kajaria ceramics ,3,2089,2,Buy,01-Nov-2017
Ine220j01025,Future consumer ,20,1140,1,Buy,02-Feb-2018
Ine226a01021,Voltas ,4,2126,2,Buy,01-Nov-2017
